EGC Index	Other Names	RA	DEC	Mag 	Size	Constellation	Desc
1	M 54,NGC 6715	18 55 06	-30 29 30	7.7		Sgr	Globular Cluster of Sgr Dwarf
2	NGC 1835	05 05 06	-69 24 30	10.2		Dor	Globular Cluster of LMC
3	NGC 1916	05 18 36	-69 24 30	10.4		Dor	Globular Cluster of LMC
4	NGC 121	00 26 48	-71 32 30	11.2		Tuc	Globular Cluster of SMC
5	NGC 1049	02 39 48	-34 15 30	12.6		For	Globular Cluster of Fornax Dwarf
6	Fornax-4	02 40 06	-34 32 30	13.6		For	Globular Cluster of Fornax Dwarf
7	Fornax-5	02 42 24	-34 06 30	13.6		For	Globular Cluster of Fornax Dwarf
8	G001,Mayall II	00 32 47	+39 34 40	13.8	36"	And	Globular Cluster of M31
9	Fornax-2	02 38 42	-34 49 30	14.1		For	Globular Cluster of Fornax Dwarf
10	G280,Bol 225	00 44 30	+41 21 37	14.2	2.7"	And	Globular Cluster of M31
11	G078,Bol 023	00 41 01	+41 13 45	14.2	3.2"	And	Globular Cluster of M31
12	G076,Bol 338	00 40 59	+40 35 47	14.2	3.6"	And	Globular Cluster of M31
13	G185,Bol 127	00 42 44	+41 14 42	14.5		And	Globular Cluster of M31
14	G213,Bol 158	00 43 14	+41 07 21	14.7	2.5"	And	Globular Cluster of M31
15	Reticulum	04 36 12	-58 51 30	14.7		Dor	Globular Cluster of LMC
16	Bol 124,VDB 2	00 42 41	+41 15 24	14.8		And	Globular Cluster of M31
17	G272,Bol 218	00 44 14	+41 19 20	14.8	3.4"	And	Globular Cluster of M31
18	G205,Bol 151	00 43 10	+41 21 33	14.8	2.9"	And	Globular Cluster of M31
19	SC 7	19 46 00	-14 33 30	14.8		Sgr	Globular Cluster of NGC 6822
20	G073,Bol 020	00 40 55	+41 41 25	14.9		And	Globular Cluster of M110 (NGC 205)
21	G072,Bol 019	00 40 53	+41 18 53	14.9	2.2"	And	Globular Cluster of M31
22	G119,Bol 058	00 41 53	+40 47 09	15.0	2.7"	And	Globular Cluster of M31
23	G229,Bol 178	00 43 31	+41 21 16	15.0	3.4"	And	Globular Cluster of M31
24	G217,Bol 163	00 43 18	+41 27 46	15.0	2.6"	And	Globular Cluster of M31
25	G257,Bol 206	00 43 59	+41 30 18	15.1	3.2"	And	Globular Cluster of M31
26	G064,Bol 012	00 40 32	+41 21 44	15.1	2.3"	And	Globular Cluster of M31
27	G148,Bol 086	00 42 19	+41 14 01	15.2	2.9"	And	Globular Cluster of M31
28	Bol D195,VDB 0	00 40 29	+40 36 15	15.2		And	Globular Cluster of M31
29	Bol 472,	00 43 48	+41 26 53	15.2		And	Globular Cluster of M31
30	G351,Bol 405	00 49 40	+41 35 29	15.2		And	Globular Cluster of M31
31	Bol D091,	00 43 01	+41 30 17	15.2		And	Globular Cluster of M31
32	G302,Bol 240	00 45 25	+41 06 24	15.2	2.5"	And	Globular Cluster of M31
33	G219,Mayall IV	00 43 18	+39 49 14	15.2		And	Globular Cluster of M31
34	G165,Bol 103	00 42 30	+41 17 57	15.2	2.9"	And	Globular Cluster of M31
35	G172,Bol 110	00 42 33	+41 03 28	15.3	2.4"	And	Globular Cluster of M31
36	G222,Bol 171	00 43 26	+41 15 37	15.3	3.2"	And	Globular Cluster of M31
37	G244,Bol 193	00 43 46	+41 36 58	15.3	2.6"	And	Globular Cluster of M31
38	G318,Bol 383	00 46 12	+41 19 43	15.3		And	Globular Cluster of M31
39	G230,Bol 179	00 43 31	+41 18 14	15.4	2.9"	And	Globular Cluster of M31
40	G150,Bol 088	00 42 21	+41 32 14	15.4	2.7"	And	Globular Cluster of M31
41	G233,Bol 182	00 43 37	+41 08 12	15.4	2.6"	And	Globular Cluster of M31
42	G189,Bol 131	00 42 51	+41 17 08	15.4		And	Globular Cluster of M31
43	G033,Bol 311	00 39 34	+40 31 14	15.4	2.3"	And	Globular Cluster of M31
44	G279,Bol 224	00 44 27	+41 28 51	15.4	4.9"	And	Globular Cluster of M31
45	SC 6	19 45 36	-14 41 30	15.4		Sgr	Globular Cluster of NGC 6822
46	G256,Bol 205	00 43 58	+41 24 38	15.5	3.1"	And	Globular Cluster of M31
47	G096,Bol 034	00 41 28	+40 53 49	15.5	2.7"	And	Globular Cluster of M31
48	G226,Bol 174	00 43 30	+41 38 57	15.5	3.8"	And	Globular Cluster of M31
49	G263,Bol 212	00 44 03	+41 04 57	15.5	2.5"	And	Globular Cluster of M31
50	G058,Bol 006	00 40 26	+41 27 26	15.5	2.3"	And	Globular Cluster of M31
51	G035,Bol 312	00 39 40	+40 57 02	15.5	2.9"	And	Globular Cluster of M31
52	G144,Bol 082	00 42 16	+41 01 14	15.5	2.8"	And	Globular Cluster of M31
53	G235,Bol 185	00 43 37	+41 14 43	15.5	2.5"	And	Globular Cluster of M31
54	G322,Bol 386	00 46 27	+42 01 53	15.5	2.3"	And	Globular Cluster of M31
55	G156,Bol 094	00 42 25	+40 57 17	15.6	2.5"	And	Globular Cluster of M31
56	G087,Bol 027	00 41 15	+40 55 51	15.6	2.9"	And	Globular Cluster of M31
57	G305,Bol 373	00 45 42	+41 45 35	15.6	2.2"	And	Globular Cluster of M31
58	G124,Bol 063	00 42 01	+41 29 10	15.7	2.3"	And	Globular Cluster of M31
59	G286,Bol 232	00 44 40	+41 15 01	15.7	2.5"	And	Globular Cluster of M31
60	G052,Bol 005	00 40 20	+40 43 58	15.7	2.3"	And	Globular Cluster of M31
61	G254,Bol 204	00 43 57	+41 22 03	15.8		And	Globular Cluster of M31
62	G319,Bol 384	00 46 22	+40 17 00	15.8		And	Globular Cluster of M31
63	G315,Bol 381	00 46 06	+41 21 00	15.8		And	Globular Cluster of M31
64	G287,Bol 233	00 44 42	+41 43 56	15.8	2.2"	And	Globular Cluster of M31
65	G108,Bol 045	00 41 43	+41 34 21	15.8	2.5"	And	Globular Cluster of M31
66	G002,Mayall III	00 33 34	+39 31 19	15.8		And	Globular Cluster of M31
67	G157,Bol 095	00 42 26	+41 05 36	15.8		And	Globular Cluster of M31
68	Bol 144,	00 43 00	+41 16 06	15.9		And	Globular Cluster of M31
69	G250,Bol 201	00 43 53	+41 09 58	15.9	3.4"	And	Globular Cluster of M31
70	G169,Bol 107	00 42 31	+41 19 39	15.9	2.4"	And	Globular Cluster of M31
71	G327,Mayall VI	00 46 50	+42 44 45	15.9	2.7"	And	Globular Cluster of M31
72	G070,Bol 017	00 40 49	+41 12 07	15.9	2.3"	And	Globular Cluster of M31
73	G127,Bol 344	00 42 03	+41 52 03	15.9		And	Globular Cluster of M31
74	G234,Bol 183	00 43 37	+41 02 02	15.9	2.7"	And	Globular Cluster of M31
75	G101,Bol 039	00 41 38	+41 20 50	16.0	2.5"	And	Globular Cluster of M31
76	G134,Bol 073	00 42 07	+40 59 21	16.0	2.7"	And	Globular Cluster of M31
77	G291,Bol 366	00 44 47	+42 03 50	16.0	3.4"	And	Globular Cluster of M31
78	G198,Bol 143	00 43 00	+41 19 19	16.0	2.4"	And	Globular Cluster of M31
79	G231,Bol 180	00 43 32	+41 07 46	16.0	2.5"	And	Globular Cluster of M31
80	G168,Bol 106	00 42 31	+41 12 18	16.0	2.5"	And	Globular Cluster of M31
81	G177,Bol 115	00 42 34	+41 14 02	16.0	2.5"	And	Globular Cluster of M31
82	G192,Bol 135	00 42 52	+41 31 08	16.0	2.3"	And	Globular Cluster of M31
83	G200,Bol 148	00 43 04	+41 18 05	16.1	2.3"	And	Globular Cluster of M31
84	G283,Bol 230	00 44 35	+40 57 13	16.1	2.5"	And	Globular Cluster of M31
85	G352,Bol 407	00 50 10	+41 41 01	16.1		And	Globular Cluster of M31
86	G114,Bol 051	00 41 47	+41 25 19	16.1	2.6"	And	Globular Cluster of M31
87	WLM-1	00 01 57	-15 27 30	16.1		Cet	Globular Cluster of WLM
88	U49	01 33 48	+30 48 30	16.3		Tri	Globular Cluster of M33
89	Hubble VII	19 44 57	-14 49 30	16.3		Sgr	Globular Cluster of NGC 6822
90	Hodge V	00 39 12	+48 23 30	16.7		Cas	Globular Cluster of NGC 185
91	Hodge III	00 33 18	+48 27 30	16.8		Cas	Globular Cluster of NGC 147
