sequence	Target	AlternateID	WDS	Con	RA2000	Dec2000	Mag	MaxSepSec	Notes
1	HD 21700	BD+27 514	STFA 7	Tau	03 31.1	+27 44	[6.8, 7.4, 7.8]	44.1	2,󰥮10cm,45x,winter(1)<NEWLINE>AB (Physical), PA: 234, Sep: 44.1<SECS>, Mag: 7.4/7.8 Wide pair. Nearly equal. Oriented NE to SW. Yellow or orange and blue. Beside double HR 1065.
2	Phi Tau	52 Tau, Alkalbain I	SHJ  40	Tau	04 20.4	+27 21	[5.0, 5.1, 7.5]	118.1	3,󰥮9cm,45x,winter(1)<NEWLINE>AB (Optical), PA: 259, Sep: 48.7<SECS>, Mag: 5.1/7.5 Widely separated. Intense colours, gold and blue. Unrelated bright orange-red star opposite B.<NEWLINE>AC (Uncertain), PA: 25, Sep: 118.1<SECS>, Mag: 5.1/12.3 Very dim partner, NNE.
3	32 Eri	HR 1212	STF 470	Eri	03 54.3	-02 57	[4.5, 4.8, 5.9]	164.7	3,󰥮9cm,140x,winter(1)<NEWLINE>AB (Uncertain), PA: 349, Sep: 6.9<SECS>, Mag: 4.8/5.9 Colourful pair, yellow and pale blue. Tight. May be called HR 1211 as opposed to HR 1212.<NEWLINE>AC (Optical), PA: 5, Sep: 164.7<SECS>, Mag: 4.8/10.5 Dim star beyond secondary, further north. Colourless.
4	Keid	Omicron 2 Eri	STF 518	Eri	04 15.2	-07 40	[4.4, 4.4, 9.3]	481.4	4,󰥮10cm,25x,winter(1)<NEWLINE>AB (Physical), PA: 102, Sep: 83.7<SECS>, Mag: 4.4/9.3 Very wide. Primary is orange or yellow. B is blue or red? B nearly due east.<NEWLINE>AC (Physical), PA: 98, Sep: 78.1<SECS>, Mag: 4.4/11.2 Another dim companion. C is very close to B, 9<SECS> apart! C north of B.<NEWLINE>AD (Optical), PA: 38, Sep: 481.4<SECS>, Mag: 4.4/12.6 Very faint and a long ways away. Looks like a field star. To the NE.
5	1 Cam	DL Cam	STF 550	Cam	04 32.0	+53 55	[5.4, 5.8, 6.8]	150.9	3,󰥮9cm,70x,winter(1)<NEWLINE>AB (Uncertain), PA: 309, Sep: 10.4<SECS>, Mag: 5.8/6.8 A and B bright. B NW of A. Very tight. Both look blue-white. A showcase pair for many.<NEWLINE>BC (Optical), PA: 217, Sep: 150.9<SECS>, Mag: 6.8/11.4 C much dimmer and well away to the SW. Looks pale blue?
6	Beta Cam	10 Cam	S  459	Cam	05 03.4	+60 27	[4.0, 4.1, 7.4]	84.2	3,󰥮10cm,60x,winter(1)<NEWLINE>AB (Uncertain), PA: 209, Sep: 84.2<SECS>, Mag: 4.1/7.4 Wide pair. Yellow and deep blue. B to the SW. Lots of field stars.<NEWLINE>BC (Physical), PA: 170, Sep: 14.8<SECS>, Mag: 7.4/12.4 Interesting triple. Very dim. Close to B. In a hockey stick shape. C south of B.
7	Rho Ori	17 Ori	STF 654	Ori	05 13.3	+02 52	[4.6, 4.6, 8.5]	183.4	3,󰥮15cm,100x,winter(1)<NEWLINE>AB (Uncertain), PA: 65, Sep: 6.4<SECS>, Mag: 4.6/8.5 Fantastic colours. Gold and deep blue. Quite tight. To the NE.<NEWLINE>AC (Optical), PA: 157, Sep: 183.4<SECS>, Mag: 4.6/11.4 90° to A and B. Very far away, 20 to 25 times!
8	Mintaka	Delta Ori, 34 Ori	STFA 14	Ori	05 32.0	-00 18	[2.4, 2.4, 6.8]	56.2	2,󰥮9cm,45x,winter(1)<NEWLINE>AC (Optical), PA: 4, Sep: 56.2<SECS>, Mag: 2.4/6.8 Widely separated, very attractive. Primary is white, a little yellow. Next star medium blue.
9	HR 1887	HD 36960	STF 747	Ori	05 35.0	-06 00	[4.3, 4.7, 5.5]	68.2	3,󰥮9cm,45x,winter(1)<NEWLINE>AB (Physical), PA: 225, Sep: 36.0<SECS>, Mag: 4.7/5.5 Very similar, pale yellow. Easily separated at 145x. Near Iota Orionis and Messier 42.<NEWLINE>AC (Physical), PA: 12, Sep: 68.2<SECS>, Mag: 4.7/9.0 Faint companion to the N.
10	Trapezium	Theta 1 Ori, 41 Ori	STF 748	Ori	05 35.3	-05 23	[6.2, 6.6, 7.5]	21.5	7,󰥮9cm,150x,winter(1)<NEWLINE>AB (Uncertain), PA: 32, Sep: 8.8<SECS>, Mag: 6.6/7.5 The Trapezium in the middle of M42. Stunning. B is NNE of A. Both white. Some report diff. colours.<NEWLINE>AC (Optical), PA: 132, Sep: 12.8<SECS>, Mag: 6.6/5.1 A, B, C, and D are all fairly easy. C is SE of A.<NEWLINE>AD (Uncertain), PA: 97, Sep: 21.5<SECS>, Mag: 6.6/6.4 A, B, C, and D are all fairly easy. D is kitty-corner from and east of A.<NEWLINE>AE (Uncertain), PA: 352, Sep: 4.6<SECS>, Mag: 6.6/11.1 E and F get harder. Need good seeing. E is between A and B (but not in-line).<NEWLINE>BF (Uncertain), PA: 154, Sep: 20.5<SECS>, Mag: 7.5/11.5 And higher magnification. F is SE of C.<NEWLINE>CZ (Uncertain), PA: 338, Sep: 6.5<SECS>, Mag: 5.1/12.7 Bonus points!
11	Beta Mon	11 Mon	STF 919	Mon	06 28.8	-07 02	[4.0, 4.6, 5.0]	26.6	4,󰥮9cm,100x,winter(1)<NEWLINE>AB (Uncertain), PA: 133, Sep: 7.1<SECS>, Mag: 4.6/5.0 Same colour, white. Extremely tight. Bright. B a tiny bit dimmer than A. SE of A.<NEWLINE>AC (Uncertain), PA: 125, Sep: 9.8<SECS>, Mag: 4.6/5.4 At low power B is not round. B very tight to C. C slightly dimmer than B. SE of B.<NEWLINE>AD (Uncertain), PA: 55, Sep: 26.6<SECS>, Mag: 4.6/12.1 Four or five times the AB sep., to the NE, a right angle to A-B-C. Very faint, needs averted.
12	HD 34071	TYC 5902-1722-1	GAL 378	Lep	05 14.1	-16 40	[7.5, 7.8, 9.2]	39.1	2,󰥮10cm,50x,winter(1)<NEWLINE>AB (Optical), PA: 318, Sep: 39.1<SECS>, Mag: 7.8/9.2 Yellow and orange. Nice. Primary is a K2 star. Near Mu Lep. Shown as single star in PSA.
13	Gamma Lep	Kursi al Jabbar, 13 Lep	H 6  40	Lep	05 44.5	-22 27	[3.5, 3.6, 6.3]	112.1	3,󰥮9cm,25x,winter(1)<NEWLINE>AB (Physical), PA: 350, Sep: 97.4<SECS>, Mag: 3.6/6.3 Colourful, unequal stars. Bright primary, yellow. Faint secondary, orange.<NEWLINE>BC (Optical), PA: 8, Sep: 112.1<SECS>, Mag: 6.3/11.4 Faint distant companion to the N.
14	HD 51502	PPM 123322	STTA 80	Gem	06 58.1	+14 14	[6.6, 7.3, 7.4]	124.1	4,󰥮10cm,25x,winter(1)<NEWLINE>AB (Optical), PA: 53, Sep: 124.1<SECS>, Mag: 7.3/7.4 Appears as a little triangle of stars in finder. Yellow primary, yellow secondary. To the NE.<NEWLINE>AC (Uncertain), PA: 112, Sep: 81.2<SECS>, Mag: 7.3/8.4 The tertiary star was orange. To the SE. Neat! In a rich field.<NEWLINE>AD (Optical), PA: 286, Sep: 86.3<SECS>, Mag: 7.3/10.3 Dim. Orange-red. To the W.
