Target	Alternate ID	SAO	HIP	WDS	Con	RA 2000	Dec 2000	Mm	X	PSA	season	Parent	Pair	PA	SepSec	MagC	M1	M2	Notes	Type
HD 21700	BD+27 514	SAO 75964	HIP 16386	STFA 7	Tau	03 31.1	+27 44	100.0	45.0	15.0	winter(1)	STFA 7	AB	234	44.1	6.8	7.4	7.8	Wide pair. Nearly equal. Oriented NE to SW. Yellow or orange and blue. Beside double HR 1065.	Physical
Phi Tau	52 Tau, Alkalbain I	SAO 76558	HIP 20250	SHJ  40	Tau	04 20.4	+27 21	90.0	45.0	15.0	winter(1)	SHJ  40	AB	259	48.7	5.0	5.1	7.5	Widely separated. Intense colours, gold and blue. Unrelated bright orange-red star opposite B.	Optical
				WAL  29							winter(1)		AC	25	118.1		5.1	12.3	Very dim partner, NNE.	Uncertain
32 Eri	HR 1212	SAO 130806	HIP 18255	STF 470	Eri	03 54.3	-02 57	90.0	140.0	17.0	winter(1)	STF 470	AB	349	6.9	4.5	4.8	5.9	Colourful pair, yellow and pale blue. Tight. May be called HR 1211 as opposed to HR 1212.	Uncertain
				STF 470							winter(1)		AC	5	164.7		4.8	10.5	Dim star beyond secondary, further north. Colourless.	Optical
Keid	Omicron 2 Eri	SAO 131063	HIP 19849	STF 518	Eri	04 15.2	-07 40	100.0	25.0	17.0	winter(1)	STF 518	AB	102	83.7	4.4	4.4	9.3	Very wide. Primary is orange or yellow. B is blue or red? B nearly due east.	Physical
				STF 518							winter(1)		AC	98	78.1		4.4	11.2	"Another dim companion. C is very close to B, 9"" apart! C north of B."	Physical
				STF 518							winter(1)		AD	38	481.4		4.4	12.6	Very faint and a long ways away. Looks like a field star. To the NE.	Optical
1 Cam	DL Cam	SAO 24672	HIP 21148	STF 550	Cam	04 32.0	+53 55	90.0	70.0	12.0	winter(1)	STF 550	AB	309	10.4	5.4	5.8	6.8	A and B bright. B NW of A. Very tight. Both look blue-white. A showcase pair for many.	Uncertain
				STF 550							winter(1)		BC	217	150.9		6.8	11.4	C much dimmer and well away to the SW. Looks pale blue?	Optical
Beta Cam	10 Cam	SAO 13351	HIP 23522	S  459	Cam	05 03.4	+60 27	100.0	60.0	11.0	winter(1)	S 459	AB	209	84.2	4.0	4.1	7.4	Wide pair. Yellow and deep blue. B to the SW. Lots of field stars.	Uncertain
				ES  58							winter(1)		BC	170	14.8		7.4	12.4	Interesting triple. Very dim. Close to B. In a hockey stick shape. C south of B.	Physical
Rho Ori	17 Ori	SAO 112528	HIP 24331	STF 654	Ori	05 13.3	+02 52	150.0	100.0	14.0	winter(1)	STF 654	AB	65	6.4	4.6	4.6	8.5	Fantastic colours. Gold and deep blue. Quite tight. To the NE.	Uncertain
				STF 654							winter(1)		AC	157	183.4		4.6	11.4	90° to A and B. Very far away, 20 to 25 times!	Optical
Mintaka	Delta Ori, 34 Ori	SAO 132220	HIP 25930	STFA 14	Ori	05 32.0	-00 18	90.0	45.0	16.0	winter(1)	BU 558	AC	4	56.2	2.4	2.4	6.8	Widely separated, very attractive. Primary is white, a little yellow. Next star medium blue.	Optical
HR 1887	HD 36960	SAO 132301	HIP 26199	STF 747	Ori	05 35.0	-06 00	90.0	45.0	16.0	winter(1)	STF 747	AB	225	36.0	4.3	4.7	5.5	Very similar, pale yellow. Easily separated at 145x. Near Iota Orionis and Messier 42.	Physical
				CLL  22							winter(1)		AC	12	68.2		4.7	9.0	Faint companion to the N.	Physical
Trapezium	Theta 1 Ori, 41 Ori	SAO 132314	HIP 26220	STF 748	Ori	05 35.3	-05 23	90.0	150.0	16.0	winter(1)	STF 748	AB	32	8.8	6.2	6.6	7.5	The Trapezium in the middle of M42. Stunning. B is NNE of A. Both white. Some report diff. colours.	Uncertain
				STF 748							winter(1)		AC	132	12.8		6.6	5.1	A, B, C, and D are all fairly easy. C is SE of A.	Optical
				STF 748							winter(1)		AD	97	21.5		6.6	6.4	A, B, C, and D are all fairly easy. D is kitty-corner from and east of A.	Uncertain
				STF 748							winter(1)		AE	352	4.6		6.6	11.1	E and F get harder. Need good seeing. E is between A and B (but not in-line).	Uncertain
				STF 748							winter(1)		BF	154	20.5		7.5	11.5	And higher magnification. F is SE of C.	Uncertain
				MZA  16							winter(1)		CZ	338	6.5		5.1	12.7	Bonus points!	Uncertain
Beta Mon	11 Mon	SAO 133316	HIP 30867	STF 919	Mon	06 28.8	-07 02	90.0	100.0	27.0	winter(1)	STF 919	AB	133	7.1	4.0	4.6	5.0	Same colour, white. Extremely tight. Bright. B a tiny bit dimmer than A. SE of A.	Uncertain
				STF 919							winter(1)		AC	125	9.8		4.6	5.4	At low power B is not round. B very tight to C. C slightly dimmer than B. SE of B.	Uncertain
				BU 570							winter(1)		AD	55	26.6		4.6	12.1	Four or five times the AB sep., to the NE, a right angle to A-B-C. Very faint, needs averted.	Uncertain
