# RASC Double Star Observing Program Checklist;;;;;;;;;;;;;
# Version 6.0a. Edited on 10 July 2021.;;;;;;;;;;;;;
Target;Alternate ID;SAO;HIP;WDS;Con;MagC;RA 2000;Dec 2000;Mm;X;PSA;Seen?;Season
HD 21700;BD+27 514;SAO 75964;HIP 16386;STFA 7;Tau;6,8;03 31.1;+27 44;100;45;15;q;Winter 1
Phi Tau;52 Tau, Alkalbain I;SAO 76558;HIP 20250;SHJ 40;Tau;5,0;04 20.4;+27 21;90;45;15;q;Winter 1
32 Eri;HR 1212;SAO 130806;HIP 18255;STF 470;Eri;4,5;03 54.3;-02 57;90;140;17;q;Winter 1
Keid;Omicron 2 Eri;SAO 131063;HIP 19849;STF 518;Eri;4,4;04 15.2;-07 40;100;25;17;q;Winter 1
1 Cam;DL Cam;SAO 24672;HIP 21148;STF 550;Cam;5,4;04 32.0;+53 55;90;70;12;q;Winter 1
Beta Cam;10 Cam;SAO 13351;HIP 23522;S 459;Cam;4,0;05 03.4;+60 27;100;60;11;q;Winter 1
Rho Ori;17 Ori;SAO 112528;HIP 24331;STF 654;Ori;4,6;05 13.3;+02 52;150;100;14;q;Winter 2
Mintaka;Delta Ori, 34 Ori;SAO 132220;HIP 25930;BU 558 / STFA 14;Ori;2,4;05 32.0;-00 18;90;45;16;q;Winter 2
HR 1887;HD 36960;SAO 132301;HIP 26199;STF 747;Ori;4,3;05 35.0;-06 00;90;45;16;q;Winter 2
The Trapezium;Theta 1 Ori, 41 Ori;SAO 132314;HIP 26220;STF 748;Ori;6,2;05 35.3;-05 23;90;150;16;q;Winter 2
Beta Mon;11 Mon;SAO 133316;HIP 30867;STF 919;Mon;4,0;06 28.8;-07 02;90;100;27;q;Winter 2
HD 34071;TYC 5902-1722-1;SAO 150258;;GAL 378;Lep;7,5;05 14.1;-16 40;100;50;16;q;Winter 2
Gamma Lep;Kursi al Jabbar, 13 Lep;SAO 170759;HIP 27072;H 6 40;Lep;3,5;05 44.5;-22 27;90;25;16;q;Winter 2
HD 51502;PPM 123322;SAO 96325;HIP 33529;STTA 80;Gem;6,6;06 58.1;+14 14;100;25;25;q;Winter 2
Mekbuda;Zeta Gem, 43 Gem;SAO 79031;HIP 34088;SHJ 77;Gem;4,1;07 04.1;+20 34;100;25;25;q;Winter 2
HR 2764;Winter Albireo, 145 CMa;SAO 173349;HIP 35210;HJ 3945;CMa;4,6;07 16.6;-23 19;90;45;27;q;Winter 2
19 Lyn;HD 57103, HR 2784;SAO 26312;HIP 35785;STF1062;Lyn;5,4;07 22.9;+55 17;90;45;23;q;Winter 2
HD 75353;TYC 2491-00983-3;SAO 61077;HIP 43426;STF1282;Lyn;6,9;08 50.7;+35 04;150;140;22;q;Winter 2
Alpha Lyn;40 Lyn, HD 80493;SAO 61414;HIP 45860;STT 571;Lyn;3,3;09 21.0;+34 24;100;25;33;q;Winter 2
HR 2910;N Pup, HD 60585;SAO 174020;HIP 36817;H N 19;Pup;5,1;07 34.3;-23 28;90;100;27;q;Winter 2
2 Pup;HR 3010;SAO 153363;HIP 37843;STF1138;Pup;5,5;07 45.5;-14 41;90;45;26;q;Winter 2
Tegmen;Zeta 1 Cnc, 16 Cnc;SAO 97645;HIP 40167;STF1196;Cnc;4,5;08 12.2;+17 39;90;100;24;q;Spring 1
HR 3395;HD 72945;SAO 116929;HIP 42172;STF1245;Cnc;5,7;08 35.8;+06 37;90;70;24;q;Spring 1
HD 75646;TYC 1946-02159-1;SAO 80467;HIP 43535;STTA 96;Cnc;7,3;08 52.0;+25 43;90;45;24;q;Spring 1
HD 73668;TYC 0223-01420-1;SAO 117000;HIP 42488;STF1255;Hya;7,0;08 39.7;+05 46;90;45;24;q;Spring 1
Tau 1 Hya;31 Hya, Ukdah I;SAO 136895;HIP 46509;HJ 1167;Hya;4,5;09 29.2;-02 46;90;25;37;q;Spring 1
HR 3963;HD 87344, SHJ 110;SAO 155704;HIP 49321;BU 1072;Hya;5,8;10 04.0;-18 06;90;70;37;q;Spring 1
HR 4363;HD 97855;SAO 27970;HIP 55044;STF1520;UMa;6,2;11 16.1;+52 46;90;70;32;q;Spring 1
HD 100054;TYC 3831-00765-1;SAO 28043;HIP 56202;STF1544;UMa;6,8;11 31.3;+59 42;90;70;32;q;Spring 1
83 Leo;HR 4414;SAO 118864;HIP 55846;STF1540;Leo;6,2;11 26.7;+03 01;90;45;34;q;Spring 1
Tau Leo;84 Leo;SAO 118875;HIP 55945;STFA 19;Leo;5,0;11 27.9;+02 51;100;25;34;q;Spring 1
HD 105590;TYC 5522-01685-1;SAO 157111;HIP 59272;STF1604;Crv;6,8;12 09.5;-11 51;100;70;47;q;Spring 2
Algorab;Delta Crv, 7 Crv;SAO 157323;HIP 60965;SHJ 145;Crv;3,0;12 29.9;-16 31;100;50;47;q;Spring 2
HD 109556;TYC 5530-02065-1;SAO 157384;HIP 61466;STF1659;Crv;7,3;12 35.7;-12 01;100;40;47;q;Spring 2
2 CVn;HR 4666;SAO 44097;HIP 59831;STF1622;CVn;5,8;12 16.1;+40 40;90;70;43;q;Spring 2
Cor Caroli;Alpha 2 CVn, 12 CVn;SAO 63257;HIP 63125;STF1692;CVn;2,8;12 56.0;+38 19;90;70;43;q;Spring 2
HR 4698;HD 107398;SAO 82254;HIP 60197;STF1633;Com;6,3;12 20.7;+27 03;90;100;45;q;Spring 2
12 Com;HR 4707;SAO 82273;HIP 60351;SHJ 143;Com;4,9;12 22.5;+25 51;100;25;45;q;Spring 2
24 Com;HR 4792;SAO 100160;HIP 61418;STF1657;Com;4,8;12 35.1;+18 23;90;70;45;q;Spring 2
HD 110932;TYC 0881-00563-1;SAO 100236;HIP 62248;STF1678;Com;6,7;12 45.4;+14 22;90;45;45;q;Spring 2
32 Com;HR 4884;SAO 100309;HIP 62807;STFA 23;Com;6,0;12 52.2;+17 04;90;25;45;q;Spring 2
HD 112278;TYC 0885-01206-1;SAO 100337;HIP 63081;STF1689;Vir;6,9;12 55.5;+11 30;100;50;45;q;Spring 2
Asellus Tertius;Kappa 2 Boo, 17 Boo;SAO 29046;HIP 69483;STF1821;Boo;4,4;14 13.5;+51 47;90;100;42;q;Spring 2
Iota Boo;Asellus Secundus, 21 Boo;SAO 29071;HIP 69713;STFA 26;Boo;4,7;14 16.2;+51 22;90;45;42;q;Spring 2
Delta Boo;49 Boo, Thiba;SAO 64589;HIP 74666;STFA 27;Boo;3,6;15 15.5;+33 19;100;25;53;q;Spring 2
Alkalurops;Mu 1 Boo, 51 Boo;SAO 64686;HIP 75411;STFA 28;Boo;4,2;15 24.5;+37 23;90;25;53;q;Spring 2
HR 5397;HD 126367, BU 225;SAO 158558;HIP 70518;SHJ 179;Lib;6,1;14 25.5;-19 58;100;25;46;q;Spring 2
Zuben Elgenubi;Alpha 2 Lib, 9 Lib;SAO 158840;HIP 72622;SHJ 186;Lib;2,6;14 50.9;-16 03;35;7;46;q;Spring 2
HR 5816;HD 139461;SAO 140672;HIP 76603;STF1962;Lib;5,7;15 38.7;-08 47;90;70;57;q;Spring 2
