|Name                  |CON|RA     |Dec   |Mag |SIZE       |TIR|BSA|COMMENTS                                                                                                                                      |
|                      |   |       |      |    |           |   |   |                                                                                                                                              |
|7 Sisters of the Pole |CEP|00 00.1| 86 45| 6  |3d X 2.4d  | 1 | 1 |A False Pleiades of stars of 6th magnitude; 1.5 deg north of cluster NGC 188                                                                  |
|Little Joe            |PSC|00 02.0|-04 27| 5  |2d X 1d    |18 | 3 |27;29;30 and 33 PSC; Colorful trapezoid between Circlet and Diphda--Stephen Saber; term from shooting dice 'Little Joe from Kokomo' two 2's   |
|Queen's 'W'           |CAS|01 00.0| 60 00| 2  |13d X 5d   | 1 | 1 |Alpha; Beta; Gamma; Delta and Epsilon Cassiopieae form a 'W' or 'M' shape; most of the throne of the Queen                                    |
|Eddie's Coaster       |CAS|01 02.0| 63 36| 7  |2d X 1.5d  | 1 | 1 |Discovered by Eddie Carpenter; curved chain of 7th to 9th magnitude stars; Shaped like a roller coaster; seen in 8X42 binoculars              |
|Queen's Kite          |CAS|01 38.0| 58 30| 5  |2d X 1.5d  | 1 | 1 |Rough pentagon of stars including Chi CAS may be it; but no prominent kite shape here                                                         |
|Golf Putter           |AND|01 52.5| 37 30| 7  |95' X 25'  | 4 | 3 |1 degree long chain of stars with several stars at the end that form a golf club shape                                                        |
|Triangulum Minor      |TRI|02 20.0| 30 00| 5  |90' X 60'  | 4 | 3 |A small triangle formed by 6; 10 and 12 Triangulii; an obsolete constellation                                                                 |
|Diamond Ring          |UMI|02 32.0| 89 00| 2  |45'        | 1 | 1 |A circlet of 7th and 8th magnitude stars with Polaris the brightest                                                                           |
|Lilium (Lilly)        |ARI|02 45.0| 27 00| 4  |2 deg      | 4 | 3 |35;39 and 41 Aretis; 17th century constellation; AKA Musca Borealis the Northern Fly                                                          |
|Head of the Whale     |CET|02 50.0| 07 00| 3  |10d X 7d   | 4 | 3 |Alpha; Lambda; Mu; Xi2; Nu and Gamma Ceti form a circlet; easy naked eye                                                                      |
|Medusa's Head         |PER|03 00.0| 40 00| 3  |2 deg      | 4 | 3 |Beta; Omega; Rho; Pi; 20; 15; 12 Persei; the Gorgon's Head                                                                                    |
|Saxophone             |PER|03 24.3| 49 52| 2  |2 deg      | 4 | 3 |Alpha Per Cluster; Mel 20; long curved star chain like musical instrument                                                                     |
|Chi 1;2;3             |FOR|03 27.0|-35 00| 6  |30' X 30'  |18 | 3 |An arrowhead-shaped group 1 degree west of galaxy NGC 1365                                                                                    |
|Kemble's Kite         |CAS|03 28.0| 72 00| 6  |90' X 30'  | 1 | 1 |Kite shaped grouping 2 degrees west of Gamma CAM; includes SAO 4917 a red M2 star                                                             |
|Segment of Perseus    |PER|03 40.0| 48 00| 3  |25 deg     | 4 | 3 |A chain of the major stars of Perseus; In order: Eta; Gamma; Alpha; Delta; Epsilon and Zeta                                                   |
|Ally's Braid          |TAU|03 47.0| 23 57| 7  |42'        | 5 | 4 |Trailing from Alcyone (Eta Tauri) in the Pleiades; 7 stars in a beautiful chain to the SE of Alcyone (Ally)--Stephen Saber                    |
|Kemble's Cascade      |CAM|04 00.0| 63 00| 5  |2.5 deg    | 1 | 1 |Prominent chain of stars that ends in cluster NGC 1502; counted 19 stars in chain with 8X42 binoculars--obs. Steve Coe                        |
|Davis' Dog            |TAU|04 22.5| 21 25| 5  |3.5d X 1.5d| 5 | 4 |Includes Upsilon; 51 and 53 Tauri; a 'Canis Major' shape of rather prominent stars                                                            |
|Hyades                |TAU|04 27.0| 17 04| 3  |5 deg      |11 | 4 |Mel 25; Sisters of Pleiades                                                                                                                   |
