"CON","NAME           ","R.A.   ","DEC.  ","COMP","OTHER NAMES               ","Mag ","Mag2","SEP  ","PA ","NOTES                                                        ","U2K","TIR","BSA","SAO   "
"AND","STT 514        ","00 04.6","+42 06","    ","                          ","7   ","9.5 ","5.3  ","168","                                                             ","59 ","4  ","3  ","      "
"AND","STF 3056       ","00 04.7","+34 16","AB  ","                          ","8   ","8   ","0.6  ","148","K0                                                           ","89 ","4  ","3  ","53617 "
"AND","STF 3056       ","00 04.7","+34 16","ABxC","                          ","    ","9.7 ","95.7 ","238","                                                             ","89 ","4  ","3  ","53617 "
"AND","SU And         ","00 04.7","+43 33","    ","                          ","var.","13  ","15   ","280","CoCo; Primary is carbon star; mag var 8.0-8.5                ","59 ","4  ","3  ","      "
"AND","Burnham  997   ","00 05.0","+45 40","    ","                          ","8   ","9   ","4    ","338","                                                             ","59 ","4  ","3  ","      "
"AND","STF 3064       ","00 07.6","+40 09","    ","                          ","7   ","10  ","24.8 ","3  ","                                                             ","59 ","4  ","3  ","      "
"AND","STT 256        ","00 08.1","+31 24","    ","                          ","7.9 ","7.9 ","109.5","115","                                                             ","89 ","4  ","3  ","      "
"AND","Alpha And      ","00 08.4","+29 05","    ","Alpheratz                 ","2.1 ","11.3","81.5 ","280","A0                                                           ","89 ","4  ","3  ","73765 "
"AND","MLB 552        ","00 10  ","+30 14","    ","                          ","9.6 ","10.6","8.4  ","191","                                                             ","89 ","4  ","3  ","      "
"AND","STF    3       ","00 10.1","+46 23","    ","                          ","7.5 ","8.5 ","5    ","83 ","                                                             ","59 ","4  ","3  ","      "
"AND","h 1947         ","00 16.4","+43 36","    ","                          ","6.2 ","10.2","9.2  ","76 ","A0                                                           ","59 ","4  ","3  ","      "
"AND","STF   19       ","00 16.7","+36 38","    ","                          ","7   ","9.5 ","2.3  ","139","                                                             ","89 ","4  ","3  ","      "
"AND","GRB 34         ","00 18.4","+44 01","    ","                          ","8.1 ","10.5","35   ","56 ","Red Dwarf                                                    ","59 ","4  ","3  ","      "
"AND","STF   24       ","00 18.5","+26 08","    ","                          ","7   ","8   ","5.2  ","249","A2                                                           ","126","4  ","3  ","      "
