|NAME         |OTHER NAMES                        |CON|RA J2K |DecJ2K|V   |B-V |SPEC. |NOTES                                                       |
|SU And       |BD +42 4827; CCCS 3219; EsB 765    |AND|00 04.6|+43 33| 8.5|2.53|C6    |Period is Irr; 8.0-8.5m; in asterism                        |
|VX And       |HD 1546; CCCS 11; EsB 4            |AND|00 19.9|+44 43| 7.8|1.6 |N7;C4 |Period is 367 days; 8.0-9.5m                                |
|R And        |HD 1967; SAO 53860                 |AND|00 24.0|+38 35| 7.4|2   |S6    |                                                            |
|AQ And       |BD +34:56; CCCS 16                 |AND|00 27.5|+35 36| 8.6|2.1 |N;C5  |Period is 332 days; 6.9-8.2m; deep red                      |
|HD 11224     |SAO 55030                          |AND|01 51.1|+38 01| 7.5|1.6 |M3    |west of CL NGC 752                                          |
|HD 11727     |SAO 55102                          |AND|01 55.9|+37 17| 6  |1.63|K5    |SW edge CL NGC 752; middle of 3 tinted stars                |
|VY And       |CCCS 3174                          |AND|23 01.8|+45 53| 9.6|3.81|R8    |                                                            |
|EW And       |HD 220870; CCCS 3189               |AND|23 27.0|+49 31| 9  |2.79|N;C7  |                                                            |
|BD +48 4070  |SAO 53088                          |AND|23 30.1|+49 08| 6.2|1.46|K5    |in CL NGC 7686                                              |
|ST And       |BD +34 4974; CCCS 3194             |AND|23 38.8|+35 46| 8.2|2.1 |Nb    |Variable 8.2-11.8m                                          |
|AB Ant       |SAO 201156; CCCS 1630; HD 88539    |ANT|10 11.9|-35 19| 6.8|2.27|N     |Period Irr; 6.8-6.9m                                        |
|U Ant        |SAO 201533; HD 91793; CCCS 1706    |ANT|10 35.2|-39 34| 6  |2.88|N;C5  |Period 170 days; 8.1-9.7m                                   |
|U Aps        |HD 136543                          |APS|15 28.0|-75 56| 8.1|3.8 |Nb    |                                                            |
|HK Aql       |HD 172829; SAO 123824              |AQL|18 42.3|+00 09| 8.5|2   |K5    |                                                            |
|UW Aql       |BD+00 4064                         |AQL|18 57.5|+00 27| 8.8|2.6 |M0    |                                                            |
|UV Aql       |BD +14 3729; HD 176200; CCCS 2684  |AQL|18 58.5|+14 22| 8  |2.1 |N4;C5 |Period 340 days; 8.6-9.6m; near Epsilon Aql                 |
