Nr,NGC/IC,Name,Type,Const,RA Hr,RA Min,Dec Deg,Dec Min,Magnitude,Size,GC Conc or Class,# Stars,Min Aperture,Herschel 400,Description
1,40,,pn,CEP,0,13,n72,32,10.7,38x35,,,4 inch,Y,Consists of magn. 11.5 star set in a thick ring. Nice in a 10 inch or larger scope.
2,55,,eg,SCL,0,14.9,s39,11,8.2,32'x6.5',SB,,7x50mm,,"WOW! Huge, bright, mottled, cigar shaped edge-on; Brter towards one end. (8 in.)"
3,129,,oc,CAS,0,29.9,n60,14,6.5,21',,35,"2.4 in, 15X",Y,"Well resolved, bright, coarse oc; 3 brter stars nearly form an equilateral triangle."
4,134,,eg,SCL,0,30.3,s33,15,10.1,8.1'x2.6,SBa,,4 inch,,"In large scopes, like a smaller NGC-4565. Beautiful. Egn NGC-131 lies v. nearby."
5,185,,eg,CAS,0,39,n48,20,9.2,11'x10',dE3,,"4 in, 20X",Y,"Lg., LSB egn w/ brter center. Nrby NGC-147 is lger, v. fnt. (Members of Local Grp.)"
6,188,,oc,CEP,0,44,n85,20,8.1,14',,550,"3 in, 12X",,"A large, round, rich, LSB oc of 12th magn. and fainter stars. 5 billion years old!"
7,225,,oc,CAS,0,43.4,n61,47,7,12',,76,"2.4 in, 15X",Y,Loose and roughly triangle shaped oc. One side is a crooked line of brighter stars.
8,246,The Skull Nebula,pn,CET,0,47,s11,53,8,4.6'x4.1,,,4 inch,Y,"Skull, or wolf head appearance. Fantastic!!! +3 field stars. Use O III filter."
9,247,,eg,CET,0,47.1,s20,46,8.8,20'x7.4',Sc,,"3 in, 12X",Y,"Wow! Large, club shaped egn; Has broad hub; much detail and structure seen."
10,253,The Silver Dollar Galaxy,eg,SCL,0,47.6,s25,17,7.1,25'x7.4',Sc,,7x50mm,Y,"WOW! Huge, bright., w/ lots of detail and mottling; small nucleus. Impressive!"
11,281,,gn + oc,CAS,0,52.8,n56,37,8,35'x30',,,"2.4 in, 10X",,"Large, best in O III filter."
12,288,,gc,SCL,0,52.8,s26,35,8.1,14',X,,"2.4 in, 15X",Y,"Very fine, large, easily resolved gc; has a somewhat unsymmetrical shape. (8 in.)"
13,300,,eg,SCL,0,54.9,s37,41,8.7,20'x15',Sd,,"2.4 in, 10X",,"Large oval haze. Member of the Sculptor gal. grp: incl's NGC-55, 247, 253, 7793."
14,404,,eg,AND,1,9.4,n35,43,10.1,4.4'x4.2,S0?,,"3 in, 20X",Y,"Small, bright egn. Very pretty field includes beta Andromedae."
15,457,The Owl Cluster,oc,CAS,1,19.1,n58,20,6.4,13',,204,"2.4 in, 12X",Y,"WOW! The Owl, ET, B-52, or Monster cluster. Best non Messier oc in CAS!"
16,613,,eg,SCL,1,34.3,s29,25,10,5.8'x4.6,SBbc,,"3 in, 20X",Y,"Bright, elongated egn contains a starlike nucleus. Very nice in a 10 inch scope."
17,663,,oc,CAS,1,46,n61,15,7.1,16',,108,"2.4 in, 12X",Y,"Very fine, large, bright oc. Has star voids throughout. Easy in 2 inch finders."
18,672,,eg,TRI,1,47.9,n27,26,10.8,6.6'x2.7,SBcd,,"3 in, 20X",,"An oval egn w/ a blobby center. Nrby egn IC-1727 is big, v. fnt, & elongated. (10 in.)"
19,752,,oc,AND,1,57.8,n37,41,5.7,45',,77,7x50mm,Y,Pretty in finders. Look for golf club hitting NGC-752 as ball!
20,772,,eg,ARI,1,59.3,n19,1,10.3,7.1'x4.5,Sb,,4 inch,Y,Bright egn shows much structure and v. small nucleus as seen in large scopes.
21,869;884,The Double Cluster,oc + oc,PER,2,20.7,n57,8,,30'+30',,350+300,7x50mm,Y,"WOW! Two large, rich, naked eye oc's that nearly touch. Magnificent!"
22,891,The Andromeda Edge-On,eg,AND,2,22.6,n42,21,10,13'x2.8',SBb?,,"4 in, 25X",Y,"Exquisite, perfect edge-on shows dust lane in v. lg. scopes. Beautiful in a 30 inch!"
23,908,,eg,CET,2,23.1,s21,14,10.2,5.5'x2.8,Sc,,"3 in, 20X",Y,"V. nice, brt, lg., oval egn has a grainy texture. 3 nearby fnter egn seen. (10 in.)"
24,925,,eg,TRI,2,27.3,n33,35,10,9.8'x6.0,SBd,,"2.4 in, 15X",,"Wow! Lg., brt, egn w/ v. grainy texture. Central bar + arms? seen w/ a 10 in. scope."
25,1023,The Perseus Lenticular,eg,PER,2,40.4,n39,4,9.2,8.7'x2.3,SB0,,4 inch,Y,"Sm, HSB egn; lens shaped w/ elongated core. Lies in a rich field."
26,1055,The Cetus Edge-On,eg,CET,2,41.8,n00,26,10.6,7.6'x3.0,SBb,,"6 in, 40X",Y,Nearly edge-on spiral; One side of hub is cut off by dust. Exquisite! (10 in.)
27,1097,,eg,FOR,2,46.3,s30,17,9.3,9.3'x6.6,SBb,,"2.4 in, 20x",,One of the best barred spirals. Beautiful! Large scopes show arms. (17.5 in.)
28,1232,,eg,ERI,3,9.8,s20,35,9.9,7.8'x6.9,Sc,,"3 in, 20X",,"A large, round smudge w/ central hub. (10 in.) Many arms seen in v. large scopes."
29,1245,,oc,PER,3,14.7,n47,15,8.4,10',,156,"2.4 in, 15X",Y,"Wow! A lg., rich oc of sm. stars. Like a tangle of starry wool w/ many sm. dark gaps."
30,1291,,eg,ERI,3,17.3,s41,8,8.5,10.5',SBa,,"2 in, 15X",,"V. brt egn! Intense oval core is set in a v. lg., hazy-filmy disc. (10 in.) Impressive!"
31,1300,Eridanus Barred Spiral,eg,ERI,3,19.7,s19,25,10.4,6.5'x4.3,SBbc,,4 inch,,One of the best examples of a barred spiral. Bright central bar seen in 17.5 inch.
32,1316,Radio Galaxy Fornax A,eg,FOR,3,22.7,s37,12,8.8,7.5'x5.5,SB0p,,"2.4 in, 15X",,Oval egn w/ intense center and tapered edges. (10 in.) Seen in 50mm finders.
33,1360,,pn,FOR,3,33.3,s25,51,9.4,9'x5',,,"4 in, 20X",Y,"Relatively lg., brt, strange looking pn w/ central star is involved w/ several fld stars."
34,1365,The Fornax Barred Spiral,eg,FOR,3,33.6,s36,8,9.5,9.8'x5.5,SBb,,"4 in, 20X",,"Bar and arms seen in 12 in. scopes. Magnificent, w/ much detail seen in a 30 inch!"
35,1501,,pn,CAM,4,7,n60,55,11,56x48,,,"5 in, 30x",Y,"Bright, round, even disc; tiny central star seen in 10 in. scope. Beautiful."
