arp_number,names,comment
2,UGC 10310,
3,Arp 3,
1,NGC 2857,Sc spiral galaxy
4,Arp 4,
5,NGC 3664,
6,NGC 2537,
7,Arp 7,
8,NGC 497,
9,NGC 2523,
10,UGC 1775,Contains an off-center nucleus
11,UGC 717,
12,NGC 2608,
13,NGC 7448,
14,NGC 7314,
15,NGC 7393,
16,M66,
17,UGC 3972,
18,NGC 4088,
19,NGC 145,
20,UGC 3014,
21,Arp 21,
22,NGC 4027,
23,NGC 4618,Interacting withNGC 4625
24,NGC 3445,
25,NGC 2276,
26,"M101, Pinwheel Galaxy",Face-onspiral galaxy with five notable companion galaxies
27,NGC 3631,
28,NGC 7678,
29,NGC 6946,
30,NGC 6365,"Interacting pair of galaxies, with one galaxy viewed edge-on"
31,IC 167,
32,UGC 10770,
33,UGC 8613,
34,NGC 4615,
35,UGC 212,
36,UGC 8548,
37,M77,
38,NGC 6412,
39,NGC 1347,
40,IC 4271,
41,NGC 1232,
42,NGC 5829,
43,IC 607,
44,IC 609,
45,UGC 9178,Galaxy triplet
46,UGC 12665,
47,Arp 47,
48,Arp 48,
49,NGC 5665,
50,IC 1520,
51,Arp 51,
52,Arp 52,
53,NGC 3290,
54,Arp 54,
55,UGC 4881,
56,UGC 1432,
57,Arp 57,
58,UGC 4457,
59,NGC 341,
60,PGC 1762846,
61,UGC 3104,
62,UGC 6865,
63,NGC 2944,
64,UGC 9503,
65,NGC 90,
66,UGC 10396,
67,UGC 892,
68,NGC 7757,
69,NGC 5579,
70,UGC 934,
71,NGC 6045,
72,"NGC 5994,NGC 5996",
73,IC 1222,
74,UGC 1626,
75,NGC 702,
76,M90,
77,NGC 1097,
78,NGC 772,
79,NGC 5490C,
80,NGC 2633,
81,"NGC 6621,UGC 11175,NGC 6622",
82,"NGC 2535,NGC 2536",
83,"NGC 3799,NGC 3800",
84,"NGC 5394,NGC 5395",
85,"M51, Whirlpool Galaxy",
86,"NGC 7752,NGC 7753",
87,"NGC 3808A,NGC 3808B",
88,Arp 88,
89,NGC 2648,
90,"NGC 5929,NGC 5930",
91,"NGC 5953,NGC 5954",
92,NGC 7603,
93,"NGC 7284,NGC 7285",
94,"NGC 3226,NGC 3227",
95,"IC 4461,IC 4462",
96,UGC 3528,
97,UGC 7085A,
98,UGC 1095,
99,"NGC 7547,NGC 7549,NGC 7550",Galaxy triplet
100,"IC 18,IC 19",
101,"UGC 10164,UGC 10169",
102,Arp 102,
103,UGC 10586,Galaxy triplet
104,"NGC 5216,NGC 5218",
105,NGC 3561,
106,NGC 4211,
107,UGC 5984,
108,Arp 108,
109,UGC 10053,
110,Arp 110,
111,NGC 5421,Galaxy group
112,"NGC 7805,NGC 7806",
113,NGC 70,Part of a group of galaxies
114,"NGC 2276,NGC 2300",
115,UGC 6678,Galaxy triplet
116,"M60,NGC 4647",
117,"IC 982,IC 983",
118,"NGC 1141,NGC 1142",
119,Arp 119,
120,"NGC 4435,NGC 4438",
121,Arp 121,
122,NGC 6040,
123,"NGC 1888,NGC 1889",
124,NGC 6361,
125,UGC 10491,
126,UGC 1449,
127,NGC 191,Actually interacting S0 galaxy and spiral galaxy
128,UGC 827,
129,UGC 5146,
130,IC 5378,
131,Arp 131,
132,Arp 132,
133,NGC 541,
134,M49,
135,NGC 1023,
136,NGC 5820,
137,NGC 2914,Spiral galaxy with faint spiral arms
138,NGC 4015,Interacting pair of galaxies
139,Arp 139,Interacting pair of galaxies
140,"NGC 274,NGC 275",Interacting pair of galaxies
141,UGC 3730,Ring galaxy system
142,"NGC 2936,NGC 2937,UGC 5130",Galaxy triplet
143,"NGC 2444,NGC 2445",Ring galaxy system
144,"NGC 7828,NGC 7829",Ring galaxy system
145,UGC 1840,Ring galaxy system
146,Arp 146,
147,IC 298,
148,Arp 148,
149,IC 803,Interacting galaxies
150,NGC 7609,Interacting galaxies
151,Arp 151,Seyfert galaxy(contains an active galactic nucleus)
152,"M87, Virgo A",Seyfert galaxy(contains an active galactic nucleus)
153,"Centaurus A, NGC 5128",Notable radio galaxy; contains an active galactic nucleus)
154,NGC 1316,Notable radio galaxy; contains an active galactic nucleus)
155,NGC 3656,
156,UGC 5184,
157,NGC 520,Notable intermediate-stage merger
158,NGC 523,
159,NGC 4747,Spiral galaxy with dark dust lanes
160,NGC 4194,Also known as theMedusa Galaxy
161,UGC 6665,
162,NGC 3414,S0 galaxy
163,NGC 4670,Blue compact dwarf galaxy
164,NGC 455,
165,NGC 2418,
166,"NGC 750,NGC 751",Interacting galaxies
167,"NGC 2672,NGC 2673",
168,M32,Dwarf galaxy interacting with Andromeda Galaxy
169,"NGC 7236,NGC 7237,NGC 7237C",Galaxy triplet
170,NGC 7578,
171,"NGC 5718,IC 1042",
172,"IC 1178,IC 1181",
173,UGC 9561,
174,NGC 3068,
175,"IC 3481,IC 3481A,IC 3483",Galaxy triplet
176,NGC 4933,Galaxy triplet
177,Arp 177,
178,"NGC 5613,NGC 5614,NGC 5615",Galaxy triplet
179,Arp 179,
180,Arp 180,Interacting galaxy pair
181,"NGC 3212,NGC 3215",Interacting galaxy pair
182,"NGC 7674,NGC 7674A",Interacting galaxy pair
183,UGC 8560,Spiral galaxy
184,NGC 1961,Spiral galaxy
185,NGC 6217,Spiral galaxy
186,NGC 1614,Spiral galaxyinvolved in recent interaction
187,Arp 187,
188,Tadpole Galaxy,Galaxy involved in recent interaction
189,NGC 4651,Tidal star streams
190,UGC 2320,Interacting galaxy pair
191,UGC 6175,Interacting galaxy pair
192,NGC 3303,Interacting galaxy pair
193,IC 883,Merger remnant
194,UGC 6945,Interacting galaxy pair
195,UGC 4653,Interacting galaxy triplet
196,Arp 196,Interacting galaxy pair
197,"UGC 6503,IC 701",Interacting galaxy pair
198,UGC 6073,Interacting galaxy pair
199,"NGC 5544,NGC 5545",Interacting galaxy pair
200,NGC 1134,Spiral galaxy interacting with low surface brightness galaxy
201,UGC 224,Interacting galaxy pair
202,"NGC 2719,NGC 2719A",Interacting galaxy pair
203,NGC 3712,Low surface brightnessspiral galaxy
204,UGC 8454,Interacting galaxy pair
205,NGC 3448,Merger remnant
206,"UGC 5983,NGC 3432",Interacting galaxy pair
207,UGC 5050,Spiral galaxy interacting with dwarf galaxy
208,Arp 208,Interacting galaxy pair
209,NGC 6052,Interacting galaxy pair
210,NGC 1569,Dwarf galaxy
211,UGCA 290,Interactingdwarf galaxies
212,NGC 7625,Peculiarspiral galaxy
213,IC 356,Peculiarspiral galaxy
214,NGC 3718,Peculiarspiral galaxy
215,NGC 2782,Peculiarspiral galaxy
216,"NGC 7679,NGC 7682",Interacting galaxy pair
217,NGC 3310,Notable nearby starburst;merger remnant
218,Arp 218,Interacting galaxy pair
219,UGC 2812,Galaxy in interaction
220,IC 4553,Merger remnant; notable ultraluminous infrared galaxy
221,Arp 221,Interacting galaxy triplet
222,NGC 7727,Merger remnant
223,NGC 7585,Recent inequal-mass merger
224,NGC 3921,Merger remnant
225,NGC 2655,Recent inequal-mass merger
226,"The Atoms for Peace Galaxy, NGC 7252",Merger remnant
227,"NGC 470,NGC 474",Interacting galaxy pair with oneS0 galaxy
228,IC 162,S0 galaxy
229,"NGC 507,NGC 508",Interacting galaxy pair including one S0 galaxy and one elliptical galaxy
230,IC 51,Peculiar S0 galaxy;possible merger remnant
231,IC 1575,
232,NGC 2911,PeculiarS0 galaxy
233,UGC 5720,Dwarf galaxy
234,NGC 3738,Dwarf galaxy
235,NGC 14,Dwarf galaxy
236,IC 1623,Interacting galaxy pair
237,UGC 5044,Interacting galaxy pair
238,UGC 8335,Interacting galaxy pair
239,"NGC 5278,NGC 5279",Interacting galaxy pair
240,"NGC 5257,NGC 5258",Interacting galaxy pair
241,UGC 9425,Interacting galaxy pair
242,"Mice Galaxies, NGC 4676",Interacting galaxy pair
243,NGC 2623,Interacting galaxy triplet
244,"Antennae Galaxies, NGC 4038, NGC 4039",Interacting galaxy pair
245,"NGC 2992,NGC 2993",Interacting galaxy pair
246,"NGC 7837,NGC 7838",Interacting galaxy pair
247,"IC 2338,IC 2339",Interacting galaxy pair
248,Wild's Triplet,Interacting galaxy triplet
249,UGC 12891,Interacting galaxy pair
250,Arp 250,
251,Arp 251,Interacting galaxy triplet
252,Arp 252,Interacting galaxy pair
253,"UGCA 173,UGCA 174",Interacting galaxy pair
254,NGC 5917,Peculiarspiral galaxy
255,UGC 5304,Interacting galaxy pair
256,Arp 256,Interacting galaxy pair
257,UGC 4638,Interacting galaxy pair
258,UGC 2140,Galaxy group
259,NGC 1741,Galaxy group
260,UGC 7230,Interacting galaxy pair
261,Arp 261,Galaxy group
262,UGC 12856,Interacting galaxy pair
263,NGC 3239,Dwarf galaxy
264,NGC 3104,Dwarf galaxy
265,IC 3862,Interacting galaxy pair
266,NGC 4861,Dwarf galaxy
267,UGC 5764,Dwarf galaxy
268,"UGC 4305,Holmberg II",Dwarf galaxy
269,"NGC 4485,NGC 4490",Interacting galaxy pair
270,"NGC 3395,NGC 3396",Interacting galaxy pair
271,"NGC 5426,NGC 5427",Interacting galaxy pair
272,"NGC 6050,IC 1179",Interacting galaxy pair
273,"UGC 1810,UGC 1813",Interacting galaxy pair
274,NGC 5679,Interacting galaxy triplet
