Col #	NGC/Other Cat.	Con	RA	DEC	m (v/p)	# Stars	Size	Class	n
1	103	Cas	00h 25m 17.4s	+61º 19' 19"	9.8v	(30)	5	Plei	 
2	129	Cas	00h 29m 54.1s	+60º 12' 35"	6.5v	20	21	Plei	 
3	133	Cas	00h 31m 16.9s	+63º 21' 10"	9.4v	20	7	Plei	 
4	136	Cas	00h 31m 30.7s	+61º 30' 34"	11.3p	(20)	1.2	Praes	 
5	146	Cas	00h 33m 03.9s	+63º 18' 33"	9.1v	20	6	Plei	 
6	188	Cep	00h 47m 29.7s	+85º 14' 29"	8.1v	(120)	13	Praes	 
7	225	Cas	00h 43m 32.3s	+61º 47' 25"	7.0v	18	12	Plei	 
8	IC1590	Cas	00h 52m 59.3s	+56º 37' 19"	7.4p	nl	25x30	Neb	1
9	366	Cas	01h 06m 25.9s	+62º 13' 44"	12p	(30)	3	Plei	 
10	381	Cas	01h 08m 14.9s	+61º 35' 00"	9.3v	38	6	Praes	 
11	436	Cas	01h 15m 57.7s	+58º 49' 02"	8.8v	25	5	Praes	 
12	457	Cas	01h 19m 32.6s	+58º 17' 27"	6.4v	40	13	Praes	 
13	559	Cas	01h 29m 29.1s	+63º 18' 30"	9.5v	35	4.4	Praes	 
14	581 (M103)	Cas	01h 33m 21.8s	+60º 39' 29"	7.4v	25	6	Praes	 
15	Tr.1	Cas	01h 35m 42.0s	+61º 17' 00"	8.1v	(20)	7.4	Praes	 
16	609	Cas	01h 36m 23.7s	+64º 32' 12"	11.0v	(100+)	3	Praes	 
17	637	Cas	01h 43m 03.1s	+64º 02' 12"	8.2v	11	3.5	Plei	 
18	654	Cas	01h 43m 59.4s	+61º 52' 58"	6.5v	30	5	Praes	 
19	659	Cas	01h 44m 23.0s	+60º 40' 09"	7.9v	15	5	Praes	 
20	663	Cas	01h 46m 16.0s	+61º 13' 06"	7.1v	60	16	Praes	 
21	 	Tri	01h 50m 12.0s	+27º 05' 00"	7.3v	15	7	Plei	2
22	744	Per	01h 58m 29.9s	+55º 28' 29"	7.9v	12	11	Plei	 
23	752	And	01h 57m 47.9s	+37º 51' 00"	5.7v	50	50	Plei	 
24	869	Per	02h 19m 03.8s	+57º 08' 06"	5.3v	250	29	Praes	3
25	884	Per	02h 22m 32.1s	+57º 08' 39"	6.1v	200	29	Praes	3
26	Mel 15 (IC1805)	Cas	02h 32m 42.0s	+61º 27' 00"	7.9v	25	22	Plei	4
27	956	And	02h 32m 30.9s	+44º 35' 37"	8.9p	20	7	Plei	 
28	957	Per	02h 33m 19.0s	+57º 34' 11"	7.6v	18	11	Plei	 
29	Tr.2	Per	02h 37m 18.0s	+55º 59' 00"	5.9v	18	20	Plei	 
30	1027	Cas	02h 42m 35.1s	+61º 35' 40"	6.7v	40	20	Neb	 
31	1039 (M34)	Per	02h 42m 07.4s	+42º 44' 46"	5.2v	60	35	Praes	 
32	IC1848	Cas	02h 51m 12.0s	+60º 26' 00"	6.5v	20	12	Plei	5
33	IC1848	Cas	02h 59m 18.0s	+60º 24' 00"	5.9p	100	39	Plei	5
34	IC1848	Cas	03h 00m 54.0s	+60º 25' 00"	6.8p	60	25	Plei	5
35	1193	Per	03h 05m 55.7s	+44º 22' 59"	12.6v	(40)	1.5	Plei	 
36	Tr.3	Cas	03h 11m 48.0s	+63° 15' 00"	7p	30	23	Plei	 
37	1220	Per	03h 11m 40.7s	+53º 20' 54"	11.8v	(15)	2	Plei	 
38	1245	Per	03h 14m 41.5s	+47º 14' 20"	8.4v	65	10	Praes	 
39	Mel 20 (PMC)	Per	03h 22m 00.0s	+49º 00' 00"	1.2v	60	185	Plei	6
40	1342	Per	03h 31m 40.1s	+37º 22' 28"	6.7v	30	14	Plei	 
41	IC348	Per	03h 44m 30.0s	+32º 17' 00"	7.3v	10	7	Neb	7
42	M45	Tau	03h 47m 00.0s	+24º 07' 00"	1.2v	100	110	Neb	 
43	1444	Per	03h 49m 22.9s	+52º 39' 44"	6.6v	7	4	μNorm	 
44	1496	Per	04h 04m 31.9s	+52º 39' 41"	9.6v	(10)	6	Plei	 
45	1502	Cam	04h 07m 49.3s	+62º 19' 54"	6.9v	15	7	μNorm	 
46	1513	Per	04h 09m 54.7s	+49º 31' 02"	8.4v	40	9	Praes	 
47	1528	Per	04h 15m 18.9s	+51º 12' 41"	6.4v	50	23	Praes	 
48	IC361	Cam	04h 19m 00.0s	+58º 18' 00"	11.7v	(60)	6	Praes	 
49	1545	Per	04h 20m 56.3s	+50º 15' 19"	6.2v	18	18	Plei	 
50	Mel 25 (TMC)	Tau	04h 27m 00.0s	+16º 00' 00"	0.5v	36	330	Plei	8
51	1582	Per	04h 32m 00.0s	+43º 50' 53"	7.0v	60	37	Plei	 
52	1605	Per	04h 34m 54.3s	+45º 16' 11"	10.7v	(40+)	5	Praes	 
53	1624	Per	04h 40m 36.5s	+50º 27' 42"	11.8v	(12)	5x5	Plei	 
54	1647	Tau	04h 45m 55.6s	+19º 06' 42"	6.4v	60	45	Praes	 
55	1662	Ori	04h 48m 28.9s	+10º 55' 49"	6.4v	14	20	Plei	 
56	1664	Aur	04h 51m 08.4s	+43º 40' 28"	7.6v	30	18	Praes	 
57	1746	Tau	05h 03m 50.2s	+23º 46' 04"	6.1v	70	42	Praes	 
58	1778	Aur	05h 08m 05.7s	+37º 01' 22"	7.7v	15	6	Plei	 
59	1807	Tau	05h 10m 41.1s	+16º 31' 52"	7.0v	18	17	Plei	 
60	1817	Tau	05h 12m 26.3s	+16º 41' 03"	7.7v	85	16	Praes	 
61	1857	Aur	05h 20m 05.5s	+39º 20' 37"	7.0v	40	5	Plei	 
62	nl	Aur	05h 22m 30.0s	+41º 00' 00"	4.2v	15	28	Plei	 
63	1893	Aur	05h 22m 45.1s	+33º 25' 13"	7.5v	30	11	Plei	9
64	1883	Aur	05h 25m 54.2s	+46º 29' 25"	12.0v	12	2.5	Plei	 
65	nl	Tau	05h 25m 05.0s	+15º 41' 59"	3.0v	30	220	Plei	 
66	1907	Aur	05h 28m 04.5s	+35º 19' 32"	8.2v	8	6	Praes	 
67	1912 (M38)	Aur	05h 28m 42.5s	+35º 51' 18"	6.4v	120	21	Praes	 
68	1931	Aur	05h 31m 25.8s	+34º 14' 42"	10.1v	(20)	4x4	Neb	 
69	Orion Cluster	Ori	05h 35m 28.8s	+09º 56' 28"	2.8v	25	70	Neb	10
70	Orion Belt	Ori	05h 35m 36.0s	-01º 05' 00"	0.6v	125	140	Neb	11
71	1960 (M36)	Aur	05h 36m 17.7s	+34º 08' 27	6.0v	60	12	Praes	 
72	1980	Ori	05h 35m 25.9s	-05º 54' 35"	2.5v	12	14x14	Neb	 
73	1981	Ori	05h 35m 09.6s	-04º 25' 30"	4.2v	13	25	Plei	 
74	 	Ori	05h 48m 30.0s	+07º 24' 00"	14.4p	12±	5	nl	 
75	2099 (M37)	Aur	05h 52m 18.3s	+32º 33' 11"	5.6v	250	23	Praes	 
76	2112	Ori	05h 53m 45.2s	+00º 24' 39"	9.1v	45	11	Praes	 
77	2129	Gem	06h 01m 06.5s	+23º 19' 20"	6.7v	20	6	Plei	 
78	2126	Aur	06h 02m 33.0s	+49º 51' 57"	10.2v	18	6	Plei	 
79	2141	Ori	06h 02m 55.1s	+10º 26' 47"	9.4v	(100)	10	Praes	 
80	Tr.4	Gem	06h 05m 00.0s	+24º 00' 00"	8.4p	15	6	Plei	 
81	2158	Gem	06h 07m 25.6s	+24º 05' 46"	8.6v	(100+)	5	Praes	12
82	2168 (M35)	Gem	06h 08m 55.9s	+24º 21' 28"	5.1v	175	28	Praes	 
83	2169	Ori	06h 08m 24.3s	+13º 57' 53"	5.9v	8	6	Plei	 
84	2175	Ori	06h 09m 39.6s	+20º 29' 15"	6.8v	16	40x30	μNorm	13
85	2186	Ori	06h 12m 07.1s	+05º 27' 31"	8.7v	10	4	Praes	 
86	2192	Aur	06h 15m 17.4s	+39º 51' 19"	10.9v	(45)	5	Plei	 
87	2194	Ori	06h 13m 45.9s	+12º 48' 24"	8.5v	35	10	Praes	 
88	2204	Cma	06h 15m 32.2s	-18º 39' 57"	8.6v	65	12	Praes	 
89	9-12 Gem	Gem	06h 18m 00.0s	+23º 38' 00"	5.7	20	60	Plei	 
90	2215	Mon	06h 20m 49.2s	-07º 17' 02"	8.4v	22	11	Plei	 
91	 	Mon	06h 21m 42.0s	+02º 22' 00"	6.4p	20	17	Plei	 
92	 	Mon	06h 22m 54.0s	+05º 07' 00"	8.6v	30	11	Neb	 
93	2232	Mon	06h 27m 15.0s	-04º 50' 51"	4.2v	18	29	Plei	 
94	2236	Mon	06h 29m 39.7s	+06º 49' 50"	8.5v	18	6	Plei	 
95	 	Mon	06h 30m 30.0s	+09º 56' 00"	nl	10	27	Neb	 
96	 	Mon	06h 30m 18.0s	+02º 52' 00"	7.3v	12	7	Plei	 
97	 	Mon	06h 31m 18.0s	+05º 55' 00"	5.4p	9	21	Plei	 
98	2243	Cma	06h 29m 34.5s	-31º 16' 53"	9.4v	(100)	5	Praes	 
99	2244	Mon	06h 31m 55.6s	+04º 56' 35"	4.8v	18	24	Plei	 
100	2250	Mon	06h 33m 49.9s	-05º 05' 04"	8.9p	(10)	7	Plei	 
101	2251	Mon	06h 34m 38.5s	+08º 21' 59"	7.3v	20	10	Plei	 
102	2252	Mon	06h 34m 42.9s	+05º 21' 59"	7.7v	10±	20	Plei	 
103	2254	Mon	06h 35m 49.7s	+07º 40' 24"	9.1v	20	4	Plei	 
104	 	Mon	06h 36m 30.0s	+04º 49' 00"	9.6p	15	21	Chain	 
105	Tr.5	Mon	06h 37m 36.0s	+09º 26' 00"	10.9p	20	8	Plei	 
106	 	Mon	06h 37m 06.0s	+05º 57' 00"	4.6p	23	45	Plei	 
107	 	Mon	06h 37m 42.0s	+04º 44' 00"	5.1p	30	35	Plei	 
108	2259	Mon	06h 38m 21.4s	+10º 53' 01"	10.8v	(25)	4.5	Plei	 
109	2262	Mon	06h 39m 38.1s	+01º 08' 37"	11.3v	(35)	3.5	Plei	14
110	 	Mon	06h 38m 24.0s	+02º 01' 00"	10.5p	60	12	Praes	 
111	 	Mon	06h 38m 42.0s	+06º 54' 00"	7.0p	8	3.2	μNorm	 
112	2264	Mon	06h 40m 58.3s	+09º 53' 44"	4.1v	45	20	μNorm	 
113	2266	Gem	06h 43m 19.2s	+26º 58' 10"	9.5v	50±	6	Praes	 
114	2269	Mon	06h 43m 17.1s	+04º 37' 28"	10.0v	6±	4	Plei	 
115	 	Mon	06h 46m 30.0s	+01º 46' 00"	9.2p	25	7	Plei	 
116	2281	Aur	06h 48m 17.8s	+41º 04' 44"	5.4v	23	14	Plei	 
117	2286	Mon	06h 47m 40.1s	-03º 08' 52"	7.5v	50	14	Plei	 
118	2287 (M41)	Cma	06h 46m 00.0s	-20º 46' 00"	4.5v	160	38	Praes	 
119	2301	Mon	06h 51m 45.3s	+00º 27' 33"	6.0v	60	12	Plei	 
120	2304	Gem	06h 55m 11.9s	+17º 59' 19"	10.0v	30±	5	Praes	 
121	 	Cma	06h 54m 12.0s	-24º 38' 00"	2.6v	20	50	Plei	 
122	2309	Mon	06h 56m 03.6s	-07º 10' 28"	10.5v	14±	3	Plei	 
123	2311	Mon	06h 57m 47.5s	-04º 36' 41"	9.6v	20	6	Plei	 
124	2323 (M50)	Mon	07h 02m 42.3s	-08º 23' 26"	5.9v	45	16	Plei	 
125	2324	Mon	07h 04m 07.9s	+01º 02' 41"	8.4v	50	7	Praes	 
126	2331	Gem	07h 06m 59.8s	+27º 15' 42"	8.5v	20	18	Plei	 
127	2335	Mon	07h 06m 49.5s	-10º 01' 43"	7.2v	40	12	Plei	 
128	2343	Mon	07h 08m 06.8s	-10º 37' 01"	6.7v	12	6	Plei	 
129	2345	Cma	07h 08m 18.8s	-13º 11' 38"	7.7v	45	12	Praes	 
130	2353	Mon	07h 14m 30.3s	-10º 15' 57"	7.1v	60	20	μNorm	 
131	2354	Cma	07h 14m 15.3s	-25º 41' 33"	6.5v	30	20	Praes	 
132	 	Cma	07h 14m 24.0s	-31º 10' 00"	3.6v	18	95	Plei	 
133	2355	Gem	07h 16m 59.3s	+13º 44' 59"	9.7v	30	9	Praes	 
134	2360	Cma	07h 17m 43.1s	-15º 38' 29"	7.2v	50	12	Praes	 
135	 	Pup	07h 17m 18.0s	-36º 50' 00"	2.1v	16	50	Neb? 	 
136	2362	Cma	07h 18m 41.5s	-24º 57' 15"	3.8v	20	8	μNorm	 
