Collinder number	NGC/IC number	Other names	Image	Object type	Constellation	Apparent magnitude
Cr 1	NGC 103		NGC 103 PanS.jpg	Open cluster	Cassiopeia	9.8
Cr 2	NGC 129		NGC 0129 DSS.jpg	Open cluster	Cassiopeia	6.5
Cr 3	NGC 133		NGC 133.png	Open cluster	Cassiopeia	9.4
Cr 4	NGC 136		NGC 136 PanS.jpg	Open cluster	Cassiopeia	11.3
Cr 5	NGC 146		NGC 146 PanS.jpg	Open cluster	Cassiopeia	9.1
Cr 6	NGC 188			Open cluster	Cepheus	8.1
Cr 7	NGC 225		NGC225HunterWilson.jpg	Open cluster	Cassiopeia	7.0
Cr 8	IC 1590		NGC 0281 DSS.jpg	Open cluster	Cassiopeia	7.4
Cr 9	NGC 366		NGC 0366 DSS.jpg	Open cluster	Cassiopeia	12.0
Cr 10	NGC 381		NGC 381 PanS.jpg	Open cluster	Cassiopeia	9.3
Cr 11	NGC 436		NGC 0436 DSS.jpg	Open cluster	Cassiopeia	8.8
Cr 12	NGC 457	Owl or E.T. Cluster	NGC457.jpg	Open cluster	Cassiopeia	6.4
Cr 13	NGC 559		NGC 559.png	Open cluster	Cassiopeia	9.5
Cr 14	NGC 581		NGC 0581 DSS.jpg	Open cluster	Cassiopeia	7.4
Cr 15	-	Trumpler 1	Trumpler 1.jpg	Open cluster	Cassiopeia	8.1
Cr 16	NGC 609			Open cluster	Cassiopeia	11.0
Cr 17	NGC 637		NGC 0637 DSS.jpg	Open cluster	Cassiopeia	8.2
Cr 18	NGC 654		NGC 654,VdB6,LDN 1332,1334,1337 (Cassiopeia).jpg	Open cluster	Cassiopeia	6.5
Cr 19	NGC 659		NGC 659.png	Open cluster	Cassiopeia	7.9
Cr 20	NGC 663		NGC663HunterWilson.jpg	Open cluster	Cassiopeia	7.1
Cr 21	-			Asterism	Triangulum	7.3
Cr 22	NGC 744		NGC 0744 DSS.jpg	Open cluster	Perseus	7.9
Cr 23	NGC 752		NGC 752.png	Open cluster	Andromeda	5.7
Cr 24	NGC 869	h Persei of Double cluster	NGC869NGC884.jpg	Open cluster	Perseus	5.3
Cr 25	NGC 884	χ Persei of Double cluster	NGC869NGC884.jpg	Open cluster	Perseus	6.1
Cr 26	IC 1805		Melotte15HunterWilson.jpg	Open cluster	Cassiopeia	7.9
Cr 27	NGC 956		NGC956 - SDSS DR14.jpg	Asterism	Andromeda	8.9
Cr 28	NGC 957		NGC 0957 DSS.jpg	Open cluster	Perseus	7.6
