object,type,comments,p-object
IC239,Galaxy,P27,
NGC205,Galaxy,"M110, Herschel 400 H18-5 Satellite of Andromeda",
NGC221,Galaxy,M32 Satellite of Andromeda,
NGC224,Galaxy,M31 Andromeda Galaxy,
NGC404,Galaxy,Herschel 400 H224-2 Not Found 404 Galaxy,
NGC752,Open Cluster,"C28, Herschel 400 H32-7",
NGC891,Galaxy,"C23, Herschel 400 H19-5 Outer Limits Galaxy",
NGC956,Asterism,P123,
NGC7640,Galaxy,P218,
NGC7662,Planetary Nebula,"C22, Herschel 400 H18-4 Blue Snowball Nebula",
NGC7686,Open Cluster,Herschel 400 H69-8,
NGC2997,Galaxy,P276,
NGC6981,Globular Cluster,M72,
NGC6994,Asterism,M73,
NGC7009,Planetary Nebula,"C55, Herschel 400 H1-4 Saturn Nebula",
NGC7089,Globular Cluster,M2,
NGC7184,Galaxy,P206,
NGC7293,Planetary Nebula,C63 Helix Nebula,
NGC7377,Galaxy,P229,
NGC7492,Globular Cluster,P208,
NGC7606,Galaxy,Herschel 400 H104-1,
NGC7723,Galaxy,Herschel 400 H110-1,
NGC7727,Galaxy,Herschel 400 H111-1,
IC4846,Planetary Nebula,P258,
NGC6709,Open Cluster,P1 Levy’s Cluster,
NGC6738,Asterism,P18,
NGC6741,Planetary Nebula,P207 Phantom Streak Nebula,
NGC6751,Planetary Nebula,P348 Glowing Eye Nebula,
NGC6755,Open Cluster,Herschel 400 H19-7,
NGC6756,Open Cluster,Herschel 400 H62-7,
NGC6760,Globular Cluster,P19,
NGC6778,Planetary Nebula,P354,
NGC6781,Planetary Nebula,Herschel 400 H743-3 Snowglobe Nebula,
NGC6790,Planetary Nebula,P51 Mustang Nebula,
NGC6803,Planetary Nebula,P209,
NGC6804,Planetary Nebula,P350,
NGC6807,Planetary Nebula,P353,
NGC772,Galaxy,Herschel 400 H112-1 Fiddlehead Galaxy,
NGC821,Galaxy,"P234, partially obscured by Star SAO 92805",
IC405,Emission/Reflect,Neb C31 Flaming Star Nebula,
IC410,Emission Nebula,P277 Tadpole Nebula,
IC417,HII,Ionized Nebula P314 Spider Nebula,
IC2149,Planetary Nebula,P126,
NGC1664,Open Cluster,Herschel 400 H59-8,
NGC1778,Open Cluster,P68,
NGC1798,Open Cluster,P253,
NGC1857,Open Cluster,Herschel 400 H33-7,
NGC1883,Open Cluster,P211,
NGC1893,Open Cluster,"P69, embedded in IC410 Tadpole Nebula",
NGC1907,Open Cluster,Herschel 400 H39-7,
NGC1912,Open Cluster,M38 Starfish Cluster,
NGC1931,Emission/Reflect,Neb Herschel 400 H261-1 Fly Nebula,
NGC1960,Open Cluster,M36 Pinwheel Cluster,
NGC2099,Open Cluster,M37 Salt and Pepper Cluster,
NGC2126,Open Cluster,Herschel 400 H68-8,
NGC2192,Open Cluster,P212,
NGC2281,Open Cluster,Herschel 400 H71-8 Broken Heart Cluster,
NGC5248,Galaxy,"C45, Herschel 400 H34-1",
NGC5466,Globular Cluster,Herschel 400 H9-6,
NGC5557,Galaxy,Herschel 400 H99-1,
NGC5676,Galaxy,Herschel 400 H189-1,
NGC5689,Galaxy,Herschel 400 H188-1,
IC342,Galaxy,C5 Hidden Galaxy,
IC356,Galaxy,P127,
IC361,Open Cluster,P213,
IC3568,Planetary Nebula,P128 Lemon Slice Nebula,
NGC1501,Planetary Nebula,Herschel 400 H53-4 Camel’s Eye Nebula,
NGC1502,Open Cluster,"Herschel 400 H47-7, endpoint of Kemble’s Cascade",
NGC1569,Galaxy,P136,
NGC1961,Galaxy,Herschel 400 H747-3,
NGC2146,Galaxy,P130 Dusty Hand Galaxy,
NGC2336,Galaxy,P70,
NGC2403,Galaxy,"C7, Herschel 400 H44-5",
NGC2655,Galaxy,Herschel 400 H288-1,
NGC2715,Galaxy,P265,
NGC2632,Open Cluster,"M44 Beehive Cluster, Praesepe",
NGC2682,Open Cluster,M67 King Cobra Cluster,
NGC2775,Galaxy,"C48, Herschel 400 H2-1",
NGC4111,Galaxy,Herschel 400 H195-1,
NGC4143,Galaxy,Herschel 400 H54-4,
NGC4145,Galaxy,P342,
NGC4151,Galaxy,Herschel 400 H165-1,
NGC4214,Galaxy,Herschel 400 H95-1,
NGC4217,Galaxy,P83,
NGC4242,Galaxy,P214,
NGC4244,Galaxy,C26,
NGC4258,Galaxy,"M106, Herschel 400 H43-5",
NGC4346,Galaxy,Herschel 400 H210-1,
NGC4395,Galaxy,P71,
NGC4449,Galaxy,"C21, Herschel 400 H213-1",
NGC4485,Galaxy,"Herschel 400 H197-1, paired with NGC 4490",
NGC4490,Galaxy,"Herschel 400 H198-1 Cocoon Galaxy, w/NGC 4485",
NGC4618,Galaxy,Herschel 400 H178-1,
NGC4631,Galaxy,"C32, Herschel 400 H42-4 Whale Galaxy",
NGC4656,Galaxy,Herschel 400 H176-1 Hockey Stick Galaxy,
NGC4736,Galaxy,M94 Cat’s Eye Galaxy,
NGC4800,Galaxy,Herschel 400 H211-1,
NGC5005,Galaxy,"C29, Herschel 400 H96-1, paired with NGC 5033",
NGC5033,Galaxy,"Herschel 400 H97-1, paired with NGC 5005",
NGC5055,Galaxy,M63 Sunflower Galaxy,
NGC5194,Galaxy,"M51 Whirlpool Galaxy, paired with NGC 5195",
NGC5195,Galaxy,"Herschel 400 H186-1, paired with M51 (NGC 5194)",
NGC5272,Globular Cluster,M3,
NGC5273,Galaxy,Herschel 400 H98-1,
NGC5353,Galaxy,"P215, paired with NGC 5354",
NGC5371,Galaxy,P177,
IC2163,Galaxy,"P133, colliding with NGC 2207",
IC2165,Planetary Nebula,P216,
NGC2204,Open Cluster,Herschel 400 H13-7,
NGC2207,Galaxy,"P134, colliding with IC 2163",
NGC2217,Galaxy,P72 Snake Eye Galaxy,
NGC2243,Open Cluster,P132,
NGC2280,Galaxy,P371,
NGC2287,Open Cluster,M41 Little Beehive Cluster,
NGC2293,Galaxy,"P23, paired with NGC 2292",
NGC2325,Galaxy,P155,
NGC2345,Open Cluster,P73,
NGC2354,Open Cluster,Herschel 400 H16-7,
NGC2359,HII,Ionized Nebula P20 Thor’s Helmet Nebula,
NGC2360,Open Cluster,"C58, Herschel 400 H12-7 Caroline’s Cluster",
NGC2362,Open Cluster,"C64, Herschel 400 H17-7 Tau Canis Majoris Cluster",
NGC2367,Open Cluster,P74,
NGC2374,Open Cluster,P75,
NGC2380,Galaxy,P131,
NGC2383,Open Cluster,P135,
NGC2384,Open Cluster,P76,
NGC6907,Galaxy,P344,
NGC7099,Globular Cluster,M30 Jellyfish Globular Cluster,
IC10,Galaxy,P77,
IC59,Emission/Reflect,Neb P21 Gamma Cassiopeiae Nebula (West),
IC63,Emission/Reflect,Neb P22 Gamma Cassiopeiae Nebula (East),
IC166,Open Cluster,P217,
IC289,Planetary Nebula,P290,
IC1590,Open Cluster,"P144, included in NGC 281 Pacman Nebula",
IC1747,Planetary Nebula,P146,
IC1795,HII,"Ionized Nebula P122 Fish Head Nebula, partially overlaps NGC 896",
IC1805,Emission Nebula,"P2 Heart Nebula, includes Open Cluster Melotte 15",
IC1848,Emission Nebula,"P3 Soul Nebula, Westerhout 5",
NGC103,Open Cluster,P137,
NGC110,Open Cluster,P250,
NGC129,Open Cluster,Herschel 400 H79-8,
NGC133,Open Cluster,P138,
NGC136,Open Cluster,Herschel 400 H35-6,
NGC146,Open Cluster,P204,
NGC147,Galaxy,C17 Satellite of Andromeda,
NGC185,Galaxy,"C18, Herschel 400 H707-2 Satellite of Andromeda",
NGC189,Open Cluster,P5,
NGC225,Open Cluster,Herschel 400 H78-8 Sailboat Cluster,
NGC278,Galaxy,Herschel 400 H159-1,
NGC281,HII,Ionized Nebula P4 Pacman Nebula,
NGC366,Open Cluster,P220,
NGC381,Open Cluster,Herschel 400 H64-8,
NGC436,Open Cluster,Herschel 400 H45-7,
NGC457,Open Cluster,"C13, Herschel 400 H42-1 Dragonfly Cluster",
NGC559,Open Cluster,"C8, Herschel 400 H48-7",
NGC581,Open Cluster,M103,
NGC609,Open Cluster,P219,
NGC637,Open Cluster,Herschel 400 H49-7,
NGC654,Open Cluster,Herschel 400 H46-7,
NGC659,Open Cluster,Herschel 400 H65-8,
NGC663,Open Cluster,"C10, Herschel 400 H31-6",
NGC1027,Open Cluster,"Herschel 400 H66-8, overlaps part of Heart Nebula",
NGC7635,HII,Ionized Nebula C11 Bubble Nebula,
NGC7654,Open Cluster,M52 Scorpion Cluster,
NGC7788,Open Cluster,P139,
NGC7789,Open Cluster,Herschel 400 H30-6 White Rose Cluster,
NGC7790,Open Cluster,Herschel 400 H56-7,
IC4329,Galaxy,P272,
NGC4936,Galaxy,P285,
Caldwell9,HII,"Ionized Nebula C9 Cave Nebula, Sharpless 155",
IC1396,Emission Nebula,P6 Elephant’s Trunk Nebula,
IC1470,HII,Ionized Nebula P192,
NGC40,Planetary Nebula,"C2, Herschel 400 H58-4 Bow Tie Nebula",
NGC188,Open Cluster,C1 Polarissima Cluster,
NGC2300,Galaxy,P160,
NGC6939,Open Cluster,Herschel 400 H42-6,
NGC6951,Galaxy,P267,
NGC7023,Reflection Nebula,C4 Iris Nebula,
NGC7129,Reflection Nebula,P58,
