catalog_identifier	name	long_name	ra	dec	magnitude	major_axis	Type	Const
1	Har 1	WLM	0.516666666666667	-15.4374666666667	10.6	0	Gx	Cet
2	Har 2	85 Peg	0.575	27.0977444444444	5.8	0	D*	Peg
3	Har 3	kappa Scl	2.36666666666667	-27.9758666666667	5.4	0	D*	Scl
4	Har 4	NGC 55	3.8125	-39.1919111111111	7.9	32	Gx	Scl
5	Har 5	35 Psc	3.775	8.8358	6	0	D*	Psc
6	Har 6	38 Psc	4.25	8.8833	7.2	0	D*	Psc
7	Har 7	AC 1	5.25416666666667	32.9949666666667	6.9	0	D*	And
8	Har 8	NGC 104	6.04583333333333	-72.0871888888889	4	31	Gb	Tuc
9	Har 9	Kron 3	6.25	-73.7167	4	0	Gb	Tuc
10	Har 10	NGC 121	6.975	-71.5396888888889	10	1.5	Gb	Tuc
11	Har 11	NGC 134	7.62083333333333	-33.2505555555556	10	8.1	Gx	Scl
12	Har 12	beta Tuc	7.9125	-62.9477444444444	4.4	0	D*	Tuc
13	Har 13	BU 395	9.36666666666667	-24.7552777777778	5.6	0	D*	Cet
14	Har 14	ESO 350-G40	9.25	-33.75	13.5	0	Gx	Scl
15	Har 15	55 Psc	10.0125	21.4544444444444	5.4	0	D*	Psc
16	Har 16	NGC 205	10.125	41.6858	8	17	Gx	And
17	Har 17	NGC 221	10.9583333333333	40.8830888888889	8	8	Gx	And
18	Har 18	NGC 224	10.9666666666667	41.2694777777778	3	178	Gx	And
19	Har 19	NGC 246	11.7958333333333	-11.8921888888889	10.9	3.8	PN	Cet
20	Har 20	NGC 247	11.8166666666667	-20.7817	9.1	20	Gx	Cet
21	Har 21	NGC 253	12.1666666666667	-25.2927444444444	7.1	25	Gx	Scl
22	Har 22	65 Psc	12.5041666666667	27.7269777777778	5.5	0	D*	Psc
23	Har 23	NGC 288	13.475	-26.5916333333333	8	13.8	Gb	Scl
24	Har 24	NGC 300	13.75	-37.6902444444444	8.7	20	Gx	Scl
25	Har 25	NGC 330	14.0916666666667	-72.4902444444444	9	2	OC	Tuc
26	Har 26	NGC 346	14.7916666666667	-72.1902444444445	10	14	C+N	Tuc
27	Har 27	Sculptor Dwarf	15.0041666666667	-33.6888555555556	10.5	0	Gx	Scl
28	Har 28	NGC 362	15.8291666666667	-70.8552777777778	6.6	13	Gb	Tuc
29	Har 29	NGC 371	15.8916666666667	-72.0902444444444	0	8	OC	Tuc
30	Har 30	NGC 376	16.2416666666667	-72.8236444444444	10.5	0	Gb	Tuc
31	Har 31	IC 1613	16.2583333333333	2.13058888888889	9.3	12	Gx	Cet
32	Har 32	beta Phe	16.55	-46.7080555555556	3.3	0	D*	Phe
33	Har 33	NGC 419	17.0916666666667	-72.8902444444445	10	2.6	Gb	Tuc
34	Har 34	zeta Phe	17.1208333333333	55.7525	4.02	0	***	Phe
35	Har 35	IC 1644	17.25	-73.2	11.7	0	Nb	Tuc
36	Har 36	NGC 404	17.3958333333333	35.7183666666667	10	4.4	Gx	And
37	Har 37	BU 303	17.4458333333333	23.8102777777778	6.7	0	D*	Psc
38	Har 38	zeta Psc	18.4708333333333	7.57586666666667	5.21	0	***	Psc
39	Har 39	phi Psc	18.4708333333333	24.5996888888889	4.7	0	D*	Psc
40	Har 40	NGC 456	18.7	-73.2835777777778	0	15	Nb	Tuc
41	Har 41	kappa Tuc	18.9625	-68.8663888888889	4.3	0	D*	Tuc
42	Har 42	HJ 2036	20.0208333333333	-15.8019444444444	6.7	0	D*	Cet
43	Har 43	NGC 524	21.4833333333333	9.5358	10	3.2	Gx	Psc
44	Har 44	NGC 602	22.6125	-73.5575	15.4	0	C+N	Hyi
45	Har 45	eta Psc	22.9041666666667	15.3438555555556	3.83	0	***	Psc
46	Har 46	NGC 598	23.5	30.6572222222222	5	73	Gx	Tri
47	Har 47	NGC 613	23.6083333333333	-29.4250333333333	10	5.8	Gx	Scl
48	Har 48	NGC 625	23.7958333333333	-41.4446888888889	12	3	Gx	Phe
49	Har 49	STF 138	24.0458333333333	7.65944444444444	6.8	0	D*	Psc
50	Har 50	tau Scl	24.0666666666667	-29.8966333333333	5.7	0	D*	Scl
51	Har 51	NGC 628	24.4583333333333	15.7974666666667	9	10.2	Gx	Psc
52	Har 52	UV Cet	24.7416666666667	-17.9466333333333	12.8	0	*	Cet
53	Har 53	DUN 5	24.9708333333333	-56.1874666666667	5.8	0	D*	Eri
54	Har 54	NGC 2573	25.6916666666667	-89.3424666666667	13	3.6	Gx	Oct
55	Har 55	NGC 650	25.6166666666667	51.5722555555556	12	4.8	PN	Per
56	Har 56	ESO 245-G5	26.25	-43.6	12.3	0	Gx	Phe
57	Har 57	epsilon Scl	26.4416666666667	-25.0416333333333	5.3	0	D*	Scl
58	Har 58	STF 174	27.5708333333333	22.2899666666667	5.8	0	D*	Ari
59	Har 59	ESO 245-G7	28.25	19.3	4.6	0	D*	Phe
60	Har 60	gamma Ari	28.4166666666667	19.2921888888889	4.75	0	***	Ari
61	Har 61	HJ 3475	28.8541666666667	-60.3038888888889	6.4	0	D*	Hyi
62	Har 62	STF 186	29.0083333333333	1.86305555555556	6	0	D*	Cet
63	Har 63	chi Eri	29.0166666666667	-51.5996888888889	3.7	0	D*	Eri
64	Har 64	NGC 752	29.7125	37.6996888888889	5.7	50	OC	And
65	Har 65	NGC 772	29.8666666666667	19.0214222222222	10	7.1	Gx	Ari
66	Har 66	alpha Psc	30.5458333333333	2.75972222222222	3.82	0	***	Psc
67	Har 67	gamma And	30.7666666666667	42.3308666666667	2.1	0	***	And
68	Har 68	6 Tri	33.1291666666667	30.3183666666667	4.9	0	D*	Tri
69	Har 69	NGC 869	34.8125	57.1522222222222	4	30	OC	Per
70	Har 70	omicron Cet	34.8708333333333	2.03281111111111	6.47	0	***	Cet
71	Har 71	NGC 891	35.9291666666667	42.3625	9.9	14	Gx	And
72	Har 72	NGC 908	35.8	-21.2405222222222	10	5.5	Gx	Cet
73	Har 73	NGC 936	37.1916666666667	-1.16222222222222	10	5.2	Gx	Cet
74	Har 74	omega For	38.4916666666667	-28.2233666666667	5	0	D*	For
75	Har 75	nu Cet	39.0041666666667	5.605	4.9	0	D*	Cet
76	Har 76	ESO 356-G4	39.75	-34.5333	7.5	0	Gx	For
77	Har 77	NGC 1023	40.1416666666667	39.0778111111111	9	8.7	Gx	Per
78	Har 78	84 Cet	40.3416666666667	-0.684688888888889	5.7	0	D*	Cet
79	Har 79	NGC 1039	40.5625	42.7935777777778	5	35	OC	Per
80	Har 80	NGC 1068	40.9541666666667	0.0189222222222222	8	7	Gx	Cet
81	Har 81	gamma Cet	40.8625	3.24746666666667	3.56	0	***	Cet
82	Har 82	NGC 1097	41.6083333333333	-30.2844111111111	9.2	9	Gx	For
83	Har 83	pi Ari	42.3625	17.4769777777778	5.3	0	D*	Ari
84	Har 84	theta Eri	44.5916666666667	40.6974666666667	2.88	0	***	Eri
85	Har 85	epislon Ari	44.75	21.3333	5.2	0	D*	Ari
86	Har 86	STF 336	45.4125	32.4286444444444	6.6	0	D*	Per
87	Har 87	rho Eri	45.7083333333333	-7.67614444444444	5.3	0	D*	Eri
88	Har 88	HJ 3568	46.8708333333333	-78.9833	5.7	0	D*	Hyi
89	Har 89	beta Per	47.0875	40.9527777777778	2.09	0	***	Per
90	Har 90	NGC 1232	47.7208333333333	-20.5883	9	7.8	Gx	Eri
91	Har 91	alpha For	48.0458333333333	28.015	3.86	0	***	For
92	Har 92	NGC 1261	48.0833333333333	-55.2278111111111	8.4	7	Gb	Hor
93	Har 93	JC 8	48.1333333333333	-44.4144444444444	5.9	0	D*	Eri
94	Har 94	NGC 1291	49.3541666666667	-41.1346888888889	8	10.5	Gx	Eri
95	Har 95	NGC 1313	49.5791666666667	-66.5072222222222	9	8.5	Gx	Ret
96	Har 96	tau Eri	42.9083333333333	21.9835777777778	4.76	0	***	Eri
97	Har 97	NGC 1300	50.2	-19.4208666666667	10	6.5	Gx	Eri
98	Har 98	NGC 1316	50.95	-37.2019444444445	8	7.1	Gx	For
99	Har 99	NGC 1325	51.1375	-21.5530555555556	11	4.6	Gx	Eri
100	Har 100	NGC 1344	52.1083333333333	-31.0789222222222	10	3.9	Gx	For
101	Har 101	NGC 1350	52.8125	-33.6383	10	4.3	Gx	For
102	Har 102	NGC 1360	53.3416666666667	-25.8652777777778	9.4	6.5	PN	For
103	Har 103	NGC 1365	53.6791666666667	-36.1355222222222	9	9.8	Gx	For
104	Har 104	NGC 1379	54.0416666666667	-35.4522222222222	12	2	Gx	For
105	Har 105	NGC 1380	54.3916666666667	-34.9866333333333	11	4.9	Gx	For
106	Har 106	STF 422	54.2333333333333	0.596077777777778	5.8	0	D*	Tau
107	Har 107	NGC 1399	54.9	-35.4613888888889	9	3.2	Gx	For
108	Har 108	STF 425	55.075	34.1280888888889	6.8	0	D*	Per
109	Har 109	NGC 1433	55.5291666666667	-47.2178111111111	10	6.8	Gx	Hor
110	Har 110	NGC 1466	56.4041666666667	-71.6958	11	2.3	Gb	Hyi
111	Har 111	NGC 1448	56.4041666666667	-44.6583333333333	11	8.1	Gx	Hor
112	Har 112	Pleiades	56.7916666666667	24.1269777777778	1.6	120	OC	Tau
113	Har 113	IC 351	57.1833333333333	35.0577777777778	12	0.1	PN	Per
114	Har 114	30 Tau	57.1083333333333	11.1522222222222	5.1	0	D*	Tau
115	Har 115	DUN 16	57.175	-37.6169777777778	4.3	0	D*	Eri
116	Har 116	STT 65	57.5	25.5833	5.8	0	D*	Tau
117	Har 117	IC 2051	58.1875	-83.8452444444444	11.4	2.6	Gx	Men
118	Har 118	zeta Per	58.5	31.8833	2.9	0	D*	Per
119	Har 119	32 Eri	58.6083333333333	-2.94746666666667	4.5	0	D*	Eri
120	Har 120	epsilon Per	59.5125	40.0211444444444	2.9	0	D*	Per
121	Har 121	NGC 1511	60.1625	-67.6485777777778	12	3.3	Gx	Hyi
122	Har 122	NGC 1499	60.3583333333333	36.6278111111111	0	145	Nb	Per
123	Har 123	NGC 1512	61	-43.3622222222222	10	4	Gx	Hor
124	Har 124	STF 495	61.9666666666667	15.1708666666667	6	0	D*	Tau
125	Har 125	NGC 1532	63.0458333333333	-32.8694777777778	11	5.6	Gx	Eri
126	Har 126	47 Tau	63.525	9.27114444444445	4.8	0	D*	Tau
127	Har 127	NGC 1535	63.6	-12.7341333333333	10	0.7	PN	Eri
128	Har 128	39 Eri	63.6333333333333	-10.2508333333333	4.9	0	D*	Eri
129	Har 129	omicron Eri	62.8583333333333	6.15583333333333	4.04	0	***	Eri
130	Har 130	NGC 1549	64.2083333333333	-55.6055555555556	9	3.7	Gx	Dor
131	Har 131	NGC 1559	64.6666666666667	-62.7983	10	3.3	Gx	Ret
132	Har 132	theta Ret	64.4291666666667	-63.2527777777778	5.9	0	D*	Ret
133	Har 133	NGC 1566	65.0208333333333	-54.9349666666667	9	7.6	Gx	Dor
134	Har 134	BU 744	65.4125	-25.7244777777778	6.1	0	D*	Eri
135	Har 135	NGC 1574	65.5125	-56.9725333333333	10	2	Gx	Ret
136	Har 136	BU 87	65.6375	20.8289222222222	5.9	0	D*	Tau
