NGC_#	Con	Type	RA_2000	Declination	Mag	Size	Hershel_#	Observation Notes
404	AND	E0	01 09.5	#ERROR!	10.1	4'X4'	H II 224	Bright, pretty large, somewhat elongated, somewhat brighter in the middle, near Beta And.
752	AND	OPNCL	01 57.8	#ERROR!	5.7	50.0'	H VII 32	Bright, Large, not Compressed, many nice chains of stars.
891	AND	Sb	02 22.6	#ERROR!	11.5	14.0'X3.0'	H V 19	17.5"--pretty Bright, pretty Large, very Elongated, central bulge obvious, outer arms show sculptured detail at 200X
7662	AND	PLNNB	23 25.9	#ERROR!	8.6	17"X14"	H IV 18	17.5"--pretty Bright, pretty Small, Round greenish dot at 100X. 320X central hole seen easily, central star suspected in good seeing.
7686	AND	OPNCL	23 30.2	#ERROR!	5.6	15.0'	H VIII 69	Pretty bright, pretty compressed, round, surrounds a yellow 8th mag star, very nice at 100X.
205	AND	E6	00 40.4	#ERROR!	8	17'X10'	H V 18	(M 110) Bright, Large, not compressed, dimmer than M 32 in the 8" at 60X. Just seen in the 10 X 50 binoculars.
6756	AQL	OPNCL	19 08.7	#ERROR!	10.6	4.0'	H VII 62	Pretty small, much compressed, elongated, compact cluster at 165X. I counted 15 members resolved.
6781	AQL	PLNNB	19 18.5	#ERROR!	11.8	111"X109"	H III 743	Bright, Large, somewhat elongated at 100X. It is immediately obvious without the UHC filter. This planetary is shaped like the gibbous moon with the south side brighter in an arc. There is one star involved that stands out very nicely. The UHC filter helps some. I estimate its' size at one arc minute.
6755	AQL	OPNCL	19 07.8	#ERROR!	7.5	15.0'	H VII 19	Large, not compressed, irregular shape and has nice chains of stars at 100X. 50 members counted. This object and 6756 both fit in the one degree field of my giant 38mm Erfle eyepiece. I called it the Double Cluster in Aquila. Both clusters are just visible in the 11 X 80 finder.
7606	AQR	GALXY	23 19.1	-08 29	11.5	5.8'X2.6'	H I 104	Pretty bright, pretty much elongated and brighter in the middle with a stellar nucleus at 165X.
7723	AQR	GALXY	23 38.9	-12 58	12	3.6'X2.6'	H I 110	Pretty faint, pretty large, somewhat elongated. It has a stellar core at 100X. The core is about 10" in size at 220X.
7727	AQR	GALXY	23 39.9	-12 18	11.5	4.2'X3.4'	H I 111	Pretty faint, round, pretty bright nucleus, averted vision helps the contrast of this galaxy. There is an attendant galaxy about 20' to the West. I believe it is NGC 7724.
7009	AQR	PLNNB	21 04.2	-11 22	8.3	28"X23"	H IV 1	is the Saturn Nebula, a famous planetary with outer ansae (wing-like projections) and a bright inner disk. It was discovered by William Herschel in 1782 but Lord Rosse was the first to see the extending ansae. The projections reminded him of the planet Saturn and he gave this object its' nickname. Amateurs have been trying to duplicate that observation ever since. The observation of the Saturn Nebula is made with Helen and Richard Lines' 20" f/6 Newtonian in Meyer, Az. The nebula is bright, small, somewhat elongated and light green at 150X. Raising the power to 225X will show the ansae as faint projections from the bright central section. At 400X the central star is obvious and the ansae stand out more clearly. One of the bright spots along the ansae (Helen Lines calls them wing tanks) is visible at this higher power. All these observations are on a night I rated 7/10 for seeing and transparency and I found that the U 7009 UHC filter did NOT help with either the central disk or the ansae detail. Several observers, myself included saw the nebula as light green, without the UHC filter installed.
772	ARI	Sb	01 59.4	#ERROR!	11.5	8.0'X5.0'	H I 112	Bright, Large, little elongated in PA 135 degrees. The arms of this face-on spiral are very mottled. The core is much brighter than the arms at 165X and the very center has a stellar nucleus in moments of good seeing.
2126	AUR	OPNCL	06 03.0	#ERROR!	10.2	6.0'	H VIII 68	pretty bright, pretty large, irregular shape, not compressed. 22 stars counted in an arrowhead shape at 135X. There is a 6th mag star on the NE edge of the cluster.
1931	AUR	CL+NB	05 31.4	#ERROR!	11.3	3'X3'	H I 261	Bright, pretty large and somewhat elongated. Looks like a small comet at very low powers. There is a triple star in the center, it is resolved at 200X.
2281	AUR	OPNCL	06 49.3	#ERROR!	5.4	15.0'	H VIII 71	Pretty bright, pretty large, not compressed, not rich at 100X. A dozen 10th and 11th mag stars with some fainter attendants.
