000.0-06.8 |    0.   91.30002
000.1+02.6 |    9.   91.30002
000.1+04.3 |<   5.   67.30013                    |   1.8   ZPB 89
000.1+17.2 |    4.6  71..9065                    |   1.8  89..1570
000.1-01.1 |    3.6  88..3092, 71..9065
000.1-02.3 |    9.0  88..3092, 88..2065
000.1-05.6 |   12.4  88..3092, 71..9065
000.2-01.9 |    8.2  88..3092, 71..9065          |   5.   89..1570
000.2-04.6 |    6.4  88..2065
000.3+06.9 |   11.6  91..3001
000.3+12.2 |    8.4  71..9065                    |   5.5  90..1502
000.3-02.8 |    0.   91.30002
000.3-04.6 |    4.8  88..2065, 71..9065
000.4-01.9 |    6.6  88..3092, 88..2065          |  16.4  91..1533
000.4-02.9 |    5.7  88..3092, 71..9065          |   7.   89..1570
000.5-01.6 |    0.   CS 90
000.5-03.1 |    8.2  88..2065
000.6-01.3 |    3.0  88..3092
000.6-02.3 |    0.   CS 90
000.7+03.2 |    5.2  71..9065                    |   5.    ZPB 89
000.7+04.7 |    2.7  77..1552                    |   1.5  88.30862
000.7-02.7 |    7.2  88..3092, 88..2065
000.7-03.7 |    7.3  88..3092, 88..2065, 71..9065
000.7-07.4 |    5. : 91.30002
000.8-01.5 |    0.   91.30002
000.8-07.6 |    4. : 91.30002
000.9-02.0 |    5.2  88..3092, 88..2065
000.9-04.8 |   11.4  88..2065, 71..9065          |  12.   89..1570
001.0+01.9 |   37.   71..9065                    |  46.   89..1570
001.0-02.6 |    5.2  88..3092, 88..2065
001.1-01.6 |    6.0  88..3092
001.2+02.1 |    4.   71..9065                    |   3.1  89..1570
001.2-03.0 |<   5.   67.30013                    |   2.5   ZPB 89
001.2-03.9 |    4.0  88..2065
001.3-01.2 |    4.2  71..9065                    |   4.5  89..1570
001.4+05.3 |    5.   71..9065                    |   4.3  89..1570
001.4-03.4 |   13.   85..3143
001.5-06.7 |<   5.   67.30013                    |   1.3  90..1502
001.6-01.3 |    4.5  88..3092, 88..2065
001.7+05.7 |    6.6  71..9065                    |   6.5  89..1570
001.7-01.6 |    0.   CS 90
001.7-04.4 |<   5.   67.30013                    |   2.5   ZPB 89
001.7-04.6 |    3.   71..9065                    |   2.5   ZPB 89
001.8-03.8 |   12.   85..3143
002.0-02.0 |    6.0  88..3092
002.0-06.2 |    5.8  88..3092, 88..2065, 90.00001|   4.    ZPB 89
002.0-13.4 |    7.5  71..9065, 87...536          |   1.6  84..2631
002.1+03.3 |    0.   CS 90                       |   4.8  88.30862
002.1-02.2 |    6.6  88..3092, 88..2065
002.1-04.2 |    4.8  88..3092, 88..2065, 90.00001|   1.2   ZPB 89
002.2+00.5 |   28.   91.30002
002.2-02.5 |    5.4  88..2065
002.2-02.7 |    8.5  88..3092, 88..2065          |   0.7   ZPB 89
002.2-06.3 |    7.0  88..3092, 88..2065          |<  2.2  89..1570
002.2-09.4 |    7.   CK 88                       |   7.   89..1570
002.3+02.2 |    8.   91.30002
002.3-03.4 |    4.2  88..2065, 71..9065
002.3-07.8 |   14.2  71..9065
002.4+05.8 |   38.   87...536
002.4-03.2 |   12.   91.30002
002.4-03.7 |<   3.3  67.30013                    |   3.5   ZPB 89
002.5-01.7 |    5.1  88..3092, 71..9065
002.5-05.4 |   17.1  88..2065
002.6+02.1 |   11.   91.30002
002.6+04.2 |   10. : 91.30002                    |   3.2  91..1533
002.6+08.1 |    6.4  CK 88                       |   6.   89..1570
002.6-03.4 |    0.   CS 90                       |   2.5   ZPB 89
