000.0-06.8 |18 10 02.0 -32 20 34.   67.30013|H 1-62       |359-06 1 |18100-3220 |HARO 1952                       |AS 290,ESO 456-76,He 2-367,MHa 77- 52,SaSt 2-19,VV' 368,Wray 16-389
000.1+02.6 |17 32 27.2 -27 22 10.   79.10517|Al 2-J       |         |17322-2721 |ALLEN  1979                     |
000.1+04.3 |17 26 17.  -26 23 42. d 77..1552|H 1-16       |  0+04 2 |17262-2623 |HARO 1952                       |ESO 520-02,He 2- 231,Sa 2-206,VV' 201,Wray 16- 276
000.1+17.2 |16 40 54.  -18 51     a 75..9016|PC 12        |  0+17 1 |16409-1851 |MINKOWSKI 1957                  |ESO 586-01,He 2- 180,Sa 2-152
000.1-01.1 |17 47 12.8 -29 24 29.   67.30013|M 3-43       |  0-01 1 |17472-2924 |MINKOWSKI 1948                  |Bl G,ESO 455-48,VV' 265,19W122
000.1-02.3 |17 52 09.  -29 57 35.   77..1552|Bl 3-10      |  0-02 2 |17519-2957 |BLANCO 1964                     |ESO 456-16,Sa 2-265
000.1-05.6 |18 05 10.  -31 37 54. * 76.26001|H 2-40       |  0-05 1 |           |HARO 1952                       |ESO 456-59,Sa 3-120,VV' 351,Wray 16- 374
000.2-01.9 |17 50 34.  -29 43 12. d 77..1552|M 2-19       |  0-01 5 |17505-2943 |MINKOWSKI 1947                  |Bl N,ESO 456-07,He 2- 302,Sa 3- 88,VV 125,VV' 279,Wray 16- 325
000.2-04.6 |18 01 30.2 -31 03 04.   66.30012|Wray 16-363  |         |           |WRAY 1966                       |Sa 3-117
000.3+06.9 |17 17 18.  -24 48 54. * 90..2002|Trz 41       |         |           |TERZAN 1985                     |
000.3+12.2 |16 58 34.00-21 45 14.0  90..1502|IC 4634      |  0+12 1 |16585-2145 |FLEMING 1893                    |ARO  50,ESO 587- 01,He 2- 189,Sa 2-164,StWr 4- 1,VV  85,VV' 151
000.3-02.8 |17 54 29.3 -30 01 45.   77..1552|M 3-47       |  0-02 5 |           |MINKOWSKI 1948                  |ESO 456-22,Sa 3-100,VV' 296
000.3-04.6 |18 01 48.  -30 58 30. d 77..1552|M 2-28       |  0-04 1 |18018-3058 |MINKOWSKI 1947                  |ESO 456-49,He 2- 338,Sa 2-293,VV 144,VV' 336,Wray 16- 366
000.4-01.9 |17 51 13.6 -29 35 38.   67.30013|M 2-20       |  0-01 6 |17512-2935 |MINKOWSKI 1947                  |Bl P,ESO 456-12,He 2- 304,Sa 2-262,VV 127,VV' 282,Wray 16- 326
000.4-02.9 |17 55 07.1 -30 00 27.   67.30013|M 3-19       |  0-02 6 |17551-3000 |MINKOWSKI 1948                  |ESO 456-26,Sa 3-103,VV' 301,Wray 16- 339
000.5-01.6 |17 50 13.7 -29 16 31.   79.10517|Al 2-Q       |         |17502-2916 |ALLEN 1979                      |
000.5-03.1 |17 56 03.3 -30 02 38.   88..2065|KFL  1       |         |           |KINMAN et al 1988               |
000.6-01.3 |17 49 24.  -29 05 54. d 81..1503|Bl 3-15      |  0-01 2 |           |BLANCO 1964                     |ESO 455-58
000.6-02.3 |17 53 12.4 -29 37 42.   67.30013|H 2-32       |  0-02 3 |           |HARO 1952                       |Bl 3-12,ESO 456-20,Sa 3-98,VV' 290,Wra 16-232
000.7+03.2 |17 31 47.75-26 34 01.3  83..1405|He 2-250     |  0+03 1 |17318-2634 |HENIZE 1964                     |ESO 520-09,Th 3-66,Sa 3- 64,M 4- 5,Wray 17- 92
000.7+04.7 |17 26 20.2 -25 47 03.   89..1570|H 2-11       |  0+04 1 |17263-2546 |HARO 1952                       |ESO 520-04,VV' 200
000.7-02.7 |17 54 57.8 -29 44 06.   76..9055|M 2-21       |  0-02 4 |17548-2944 |MINKOWSKI 1947                  |ESO 456-24,He 2- 315,Sa 2-271,VV 131,VV' 300,Wray 16- 337
000.7-03.7 |17 59 06.  -30 14 24. d 77..1552|M 3-22       |  0-03 1 |17590-3014 |MINKOWSKI 1948                  |ESO 456-39,H 1-48,Sa 2-283,VV' 320
000.7-07.4 |18 14 21.5 -31 57 45.   80..1575|M 2-35       |  0-07 1 |18143-3158 |MINKOWSKI 1947                  |ESO 457-04,He 2- 384,Sa 2-324,StWr 2-16,VV 168,VV' 384,Wray 16- 403
000.8-01.5 |17 50 40.  -28 58 48. d 77..1552|Bl O         |  0-01 3 |17506-2858 |BLANCO 1961                     |ESO 456-11,Sa 3- 90
000.8-07.6 |18 15 22.  -31 56 06. d 80..1575|H 2-46       |  0-07 2 |18152-3156 |HARO 1952                       |ESO 457-07,Sa 2-327,VV' 388
000.9-02.0 |17 52 50.7 -29 10 53.   76..9055|Bl 3-13      |  0-02 1 |17528-2910 |BLANCO 1964                     |ESO 456-18,Sa 3- 94,Wray 16- 329
000.9-04.8 |18 03 52.  -30 34 36. d 77..1552|M 3-23       |  0-04 2 |18038-3034 |MINKOWSKI 1948                  |ESO 456-54,He 2- 348,Sa 2-297,VV' 346,Wray 16- 370
001.0+01.9 |17 37 20.4 -26 59 15.   67.30013|K 1- 4       |  1+01 1 |17374-2700 |KOHOUTEK 1962                   |ESO 520-16,He 2- 264,Sa 3- 69,Wray 17-95
001.0-02.6 |17 55 14.  -29 20 36. d 76.26001|Sa 3-104     |         |17552-2920 |SANDULEAK 1976                  |
001.1-01.6 |17 51 41.4 -28 48 26.   76.26001|Sa 3- 92     |         |           |SANDULEAK 1976                  |Al 2-S = PK 1-01 5
001.2+02.1 |17 37 09.  -26 42 48. d 76.26001|He 2-262     |  1+02 1 |17371-2641 |HENIZE 1964                     |ESO 520-15,Sa 3- 68,Wray 17-  94
