id	main_id	ra	dec	otype
"PK 151+02  1"	"LBN 151.25+02.12"	64.92088	53.14204	"HII"
"PK 102-05  1"	"PN A66   80"	338.69003189956	52.4349527839	"PN"
"PK 123+34  1"	"IC 3568"	188.27856215089	82.56394517878	"PN"
"PK 289+01  1"	"WRAY 16-84"	165.81613939134	-58.45724062091	"No*"
"PK 332-09  1"	"CPD-56  8032"	257.2538659938558	-56.91329552292667	"PN"
"PK 328-01  1"	"IRAS 15579-5445"	240.46192908968996	-54.89445465708	"PN"
"PK 017-01  1"	"VSP 2-18"	276.80569999999994	-14.143199999999998	"PN"
"PK 014+04  1"	"PN Sa  3-111"	270.27811308421957	-14.505914797064724	"PN"
"PK 006+04  1"	"PN H  2-18"	265.86979884416746	-21.16433756736361	"PN"
"PK 093+05  1"	"NGC  7008"	315.13674000000003	54.54316	"PN"
"PK 137+16  1"	"NAME Camel Galaxy"	66.31916666666667	72.80666666666666	"LSB"
"PK 275-03  2"	"WRAY 17-30"	141.13499097949	-54.78237246521	"LP?"
"PK 004-05  2"	"EM* AS  294"	273.9429519728	-27.89616880391	"LP*"
"PK 334+03  1"	"WRAY 16-206"	243.15614039667	-46.62691044901	"WR*"
"PK 309+00  2"	"WRAY 16-136"	207.38567647081	-61.528408937710005	"WR*"
"PK 001+00  1"	"[B61]  9"	266.47991765648993	-26.96967144746	"Em*"
"PK 346-04  1"	"PN Sa  2-202"	262.29156368701	-42.54595497273001	"PN"
"PK 334+00  1"	"PN Pe  2-9"	246.23905406028	-48.727822377219994	"Em*"
"PK 217+14  1"	"PN A66   24"	117.90647315719	3.0058769117800006	"PN"
"PK 080-06  1"	"V* V1610 Cyg"	315.576125	36.69361111111111	"pA*"
"PK 083-08  1"	"PN G083.9-08.4"	320.5640586966	38.12089828899	"PN"
"PK 086-08  1"	"PN Hu  1-2"	323.284627601	39.63598734132	"PN"
"PK 107-13  1"	"PN Vy  2-3"	350.74126801609	46.89946483246	"PN"
"PK 078-02  1"	"PN K  4-53"	310.5697666666667	37.67377222222222	"PN"
"PK 084-04  1"	"PN K  3-80"	316.91531391691	40.96457261682	"PN"
"PK 100-08  1"	"PN Me  2-2"	337.9319807425	47.80106579073	"PN"
"PK 099-08  1"	"PN HDW   13"	337.64012499999995	47.52388888888889	"PN"
"PK 110-12  1"	"PN K  1-20"	354.795175	48.20807500000001	"PN"
"PK 084-03  1"	"NGC  7027"	316.75654979999996	42.236242000000004	"PN"
"PK 087-03  1"	"PN We  2-245"	319.53095833333333	43.81274166666667	"PN"
"PK 089-05  1"	"IC 5117"	323.129038	44.596539	"PN"
"PK 091-04  1"	"PN K  3-84"	324.70417523717	46.00769269889	"PN"
"PK 104-06  1"	"LS III +51   42"	342.9121548414	51.84512245399	"Em*"
"PK 112-10  1"	"PN A66   84"	356.93355960171994	51.39921165369	"PN"
"PK 130-11  1"	"PN M  1-1"	24.33067664078	50.46981779701	"PN"
"PK 144-15  1"	"PN A66    4"	41.348548386749165	42.55127544112055	"PN"
"PK 079+00  1"	"PN KjPn    4"	307.07175	40.33580555555556	"PN?"
"PK 078+00  1"	"PN Sd    1"	307.32887916666664	40.25572222222222	"PN"
"PK 077+02  1"	"PN Kj  2-1"	304.30179191825	39.763379949240004	"PN?"
"PK 089-00  1"	"SH  1-89"	318.53178333333335	47.772825	"PN"
"PK 088-01  1"	"NGC  7048"	318.5632820424063	46.288084395584995	"PN"
"PK 089-02  1"	"PN M  1-77"	319.78070189449	46.31310018421	"PN"
"PK 093-02  1"	"PN M  1-79"	324.25625	48.93406111111111	"PN"
"PK 095-02  1"	"PN M  2-49"	325.8233333333333	50.42066666666666	"PN"
"PK 097-02  1"	"PN G097.6-02.4"	329.42410270401	51.69424718793001	"PN"
"PK 100-05  1"	"IC 5217"	335.98215839050994	50.96679565007	"PN"
"PK 108-05  1"	"V* LL Cas"	347.33401898733	54.7472349393	"Mi*"
"PK 106-04  1"	"PN K  3-86"	343.6884166666666	54.93369444444444	"PN"
"PK 113-06  1"	"PN A66   83"	356.6946208333333	54.74380277777778	"PN"
"PK 119-06  1"	"PN Hu  1-1"	7.064312499999999	55.965133333333334	"PN"
"PK 118-08  1"	"PN Vy  1-1"	4.67572179064	53.87216072861	"PN"
"PK 124-07  1"	"PN WeSb    1"	15.2254412139625	55.06667601543195	"PN"
"PK 130-10  1"	"M  76"	25.58189905342	51.57542638057	"PN"
"PK 077+03  2"	"PN KjPn    2"	303.84245833333335	40.579055555555556	"PN"
"PK 077+03  1"	"EM* AS  389"	303.1000842725	40.75817686211	"Em*"
"PK 084+01  1"	"PN K  4-55"	311.29175416666664	44.65405	"PN"
"PK 084+02  1"	"PN K  4-54"	310.72201464935995	45.941978172469994	"LP*"
"PK 089+00  1"	"NGC  7026"	316.57738475622	47.85188187105	"PN"
"PK 091+01  1"	"PN G091.6+01.8"	317.71843750000005	50.78734166666666	"PN"
"PK 093-00  1"	"PN K  3-82"	322.71448036426	50.002351604	"PN"
"PK 093+01  1"	"IRAS 21190+5140"	320.1868333333333	51.89097222222223	"HII"
"PK 094-00  1"	"PN K  3-83"	323.932639	50.90451000000001	"PN"
"PK 095+00  1"	"PN K  3-62"	322.95910743763	52.56432549611	"PN"
"PK 102-02  1"	"PN G102.9-02.3"	336.5719476793299	54.82729005508	"PN"
"PK 104-01  1"	"PN M  2-53"	338.07383333333337	56.173922222222224	"PN"
"PK 107-02  2"	"PN K  3-87"	343.77889481724	56.70861739018999	"PN"
"PK 107-02  1"	"PN M  1-80"	344.08291099999997	57.155795999999995	"PN"
"PK 111-03  1"	"PN We  2-260"	350.59583333333336	57.77333333333333	"PN?"
"PK 111-02  1"	"PN Hb   12"	351.56176515686	58.18181758121	"PN"
"PK 114-04  1"	"PN G114.0-04.6"	356.44895873241	57.06623417784	"PN"
"PK 120-05  1"	"SH  2-176"	7.952499999999998	57.382880555555545	"PN"
"PK 120-05"	"SH  2-176"	7.952499999999998	57.382880555555545	"PN"
"PK 122-04  1"	"PN A66    2"	11.394491666666667	57.9596888888889	"PN"
"PK 133-08  1"	"V* V471 Per"	29.706936066180003	52.89679522182	"EB*"
"PK 141-07  1"	"PN A66    5"	43.06279583333333	50.59835	"PN"
"PK 147-09  1"	"PN HaWe    3"	49.1418306267	46.89369369318	"PN?"
"PK 149-09  1"	"PN HDW    3"	51.81422008625	45.40566411358001	"PN"
"PK 078+05  1"	"PN Dd    1"	302.17949999999996	42.50310833333333	"PN"
"PK 079+06  1"	"PN K  3-56"	301.73077083333334	44.23851388888889	"PN"
"PK 079+05  1"	"PN M  4-17"	302.2580291666667	43.72876111111111	"PN"
"PK 086+05  1"	"PN G086.1+05.4"	307.96826666666664	48.88051388888889	"PN"
"PK 085+04  1"	"PN A66   71"	308.09673333333336	47.34733611111111	"PN"
"PK 088+04  1"	"PN K  3-78"	311.34453576485	50.37773891281	"PN"
"PK 096+02  1"	"PN K  3-61"	322.50315237460995	54.45755419742	"PN"
"PK 096+01  1"	"PN K  4-45"	323.8377541666666	53.78644722222222	"Y*O"
"PK 098+02  1"	"PN K  3-63"	324.7999	55.767761111111106	"PN"
"PK 104+00  1"	"PN Bl  2-1"	335.06928	58.237934	"PN"
"PK 103+00  2"	"PN M  2-52"	335.12676999999996	57.60545694444444	"PN"
"PK 103+00  1"	"PN M  2-51"	334.0162083333333	57.47604166666667	"PN"
"PK 108+00  1"	"PN K  3-85"	342.71823444588	59.50532057996999	"Em*"
"PK 107-00  1"	"PN K  4-57"	342.14302157242	58.48563004118	"PN"
"PK 110-01  1"	"PN WeSb    6"	348.26624999999996	59.29694444444444	"PN"
"PK 110-00  1"	"V* V807 Cas"	348.05409618817	59.59975785935	"El*"
"PK 112-00  1"	"PN KjPn    8"	351.04363333333333	60.95854166666667	"PN"
"PK 121-02  1"	"PK 121-02  1"	9.675	60.266666666666666	"?"
"PK 128-04  1"	"SH  2-188"	22.638241073129997	58.41397930163	"PN"
"PK 129-05  1"	"PN G129.6-05.6"	25.024429166666664	56.58187222222222	"PN"
"PK 131-05  1"	"PN G131.4-05.4"	28.264299999999995	56.40475277777777	"PN"
"PK 082+07  1"	"NGC  6884"	302.59851032684	46.46100883178	"PN"
"PK 088+06  1"	"LEDA  166684"	308.87021940212003	51.59094407294	"rG"
"PK 093+05  2"	"NGC  7008"	315.13674000000003	54.54316	"PN"
"PK 092+05  1"	"PN K  3-79"	313.30639583333334	53.7616	"PN"
"PK 098+04  1"	"PN K  3-60"	321.860331	57.651714	"PN"
"PK 107+02  1"	"NGC  7354"	340.08280569342	61.28576296827001	"PN"
"PK 116+00  1"	"PN We  2-262"	358.07495234323886	62.53644949510759	"PN?"
"PK 119+00  1"	"PN BV    1"	5.001874999999999	62.98421111111111	"PN"
"PK 121+00  1"	"PN BV    2"	10.090058333333333	62.859522222222225	"PN"
"PK 127-01  1"	"PN K  4-59"	22.637823085610002	60.52208267959	"Em*"
"PK 129-02  1"	"PN G129.2-02.0"	25.658333333333335	60.162366666666664	"PN"
"PK 132-00  1"	"IRAS 02044+6031"	32.02098147503	60.76683419508999	"Y*O"
"PK 084+09  1"	"PN K  3-73"	300.9998041666667	49.318375	"PN"
"PK 095+07  1"	"PN A66   73"	314.11263333333335	57.43418055555555	"PN"
"PK 114+03  1"	"SH  2-167"	353.8767561974037	64.87192922990857	"HII"
"PK 113+05  1"	"2MASS J23091627+6647306"	347.31784842815	66.79175103191	"Em*"
"PK 112+03  1"	"PN K  3-88"	348.0645583333333	64.654925	"PN"
"PK 118+02  1"	"SH  1-118"	1.8339073896500004	64.95590445082	"PN"
"PK 121+03  1"	"PN G121.6+03.5"	9.725741666666666	66.39684166666667	"PN"
"PK 124+02  1"	"PN G124.0+02.9"	15.601895800370002	65.77569236778	"PN"
"PK 126+03  1"	"PN K  3-90"	21.24423347157	65.6433605957	"PN"
"PK 130+01  1"	"IC 1747"	29.39870800127	63.32179092466	"PN"
"PK 147-02  1"	"PN M  1-4"	55.43091307073	52.28340762551	"PN"
"PK 150-03"	"PN IsWe    1"	57.27460565837	50.004138477219996	"PN"
"PK 150-03  1"	"PN IsWe    1"	57.27460565837	50.004138477219996	"PN"
"PK 082+11  1"	"NGC  6833"	297.44402811438	48.96114257691001	"PN"
"PK 083+12  1"	"NGC  6826"	296.20062509412	50.52506917637	"PN"
"PK 101+08  1"	"NGC  7076"	321.59808333333336	62.892174999999995	"PN"
"PK 104+07  1"	"NGC  7139"	326.535775	63.791513888888886	"PN"
"PK 107+07  1"	"PN G107.7+07.8"	333.34382235064	65.8987232333	"PN"
"PK 108+08"	"PN G107.7+07.8"	333.34382235064	65.8987232333	"PN"
"PK 111+06  1"	"PN KjPn    6"	342.25907188701	67.02729237217	"PN"
"PK 113+06  1"	"PN KjPn    7"	346.9166666666667	66.98833333333333	"PN?"
"PK 119+06  1"	"PN A66    1"	3.229166666666667	69.17333333333333	"PN"
"PK 129+04  1"	"PN K  3-91"	29.651122883890004	66.5662492734	"PN"
"PK 130+03  1"	"PN K  3-92"	30.92154583333333	64.96052222222222	"PN"
"PK 131+02  1"	"PN A66    3"	33.02776467542	64.15064801706	"PN"
"PK 132+04  1"	"PN K  3-93"	36.625062500000006	65.79808055555554	"PN"
"PK 138+02  1"	"IC  289"	47.58042305376	61.316920423170004	"PN"
"PK 153-01  1"	"PN K  3-65"	63.97720833333332	48.827805555555564	"PN"
"PK 077+14  1"	"PN A66   61"	289.79251136779	46.24777050590999	"PN"
"PK 077+14"	"PN A66   61"	289.79251136779	46.24777050590999	"PN"
"PK 110+12"	"WD 2218+706"	334.89034444260994	70.93421743764	"WD*"
"PK 111+11  1"	"WD 2218+706"	334.89034444260994	70.93421743764	"WD*"
"PK 114+10  1"	"UGC 12261"	344.1612896	71.4792975	"AG?"
"PK 116+08  1"	"PN M  2-55"	352.96961666666664	70.369475	"PN"
"PK 118+08  1"	"PN M  2-56"	359.15168738598	70.80506850278	"pA*"
"PK 120+09  1"	"NGC    40"	3.25423754052	72.5219537052	"PN"
"PK 118+08  2"	"PN A66   86"	0.37905833333333333	70.7083138888889	"PN"
"PK 136+04  1"	"PN A66    6"	44.674432769984584	64.50174334988388	"PN"
"PK 136+05"	"PN HFG    1"	45.94587365126	64.9098660212	"PN"
"PK 136+05  1"	"PN HFG    1"	45.94587365126	64.9098660212	"PN"
"PK 138+04  1"	"PN HDW    2"	47.74525	62.79858333333333	"PN"
"PK 142+03  1"	"PN K  3-94"	54.03369166666666	60.06285833333333	"PN"
"PK 151+00  1"	"PN K  3-64"	63.3635625	51.850255555555556	"PN"
"PK 158+00  1"	"SH  2-216"	70.83859926169	46.70162088691	"PN"
"PK 160-00  1"	"PN G160.5-00.5"	71.67933333333333	44.46711111111111	"PN"
"PK 124+10  1"	"PN HDW    1"	16.781763920849997	73.55651324428	"PN"
"PK 124+10  7"	"PN HDW    1"	16.781763920849997	73.55651324428	"PN"
"PK 144+06  1"	"NGC  1501"	61.74746704555	60.920632928340005	"PN"
"PK 147+04  1"	"PN M  2-2"	63.312619352709994	56.94955772461	"PN"
"PK 149+04  1"	"PN K  4-47"	65.18842461764	56.303365309259995	"PN"
"PK 078+18  1"	"NGC  6742"	284.83345833333334	48.46534444444445	"PN"
"PK 146+07  1"	"PN M  4-18"	66.46181506781	60.12021679075001	"PN"
"PK 117+18  1"	"IC 1454"	340.60257999655	80.44201308472	"PN"
"PK 156+12  1"	"PN HDW    4"	84.48431009241	55.53770865489	"PN"
"PK 094+27  1"	"PN K  1-16"	275.46711951582	64.36483508114	"PN"
"PK 144+24  1"	"EGB  4"	97.39150014745002	71.07677628155	"CV*"
"PK 158+17  1"	"PN PuWe    1"	94.89142856127	55.61219653839	"PN"
"PK 153+22  1"	"PN A66   16"	100.98090868597	61.79018253695	"PN"
"PK 075+35  1"	"PN Sa  4-1"	258.45979638103	49.26972958016	"PN"
"PK 075+35"	"PN Sa  4-1"	258.45979638103	49.26972958016	"PN"
"PK 076+36"	"PN Sa  4-1"	258.45979638103	49.26972958016	"PN"
"PK 094+38  1"	"EGB  7"	251.87362500000003	64.12488888888889	"PN?"
"PK 095+38"	"EGB  7"	251.87362500000003	64.12488888888889	"PN?"
"PK 095+38  1"	"EGB  7"	251.87362500000003	64.12488888888889	"PN?"
"PK 170+15"	"NGC  2242"	98.53061791728	44.77716333248	"PN"
"PK 170+15  1"	"NGC  2242"	98.53061791728	44.77716333248	"PN"
"PK 158+37  1"	"PN A66   28"	130.39814568511	58.23010684998	"PN"
"PK 158+37"	"PN A66   28"	130.39814568511	58.23010684998	"PN"
"PK 164+31  1"	"PN ARO  121"	119.46507051555	53.42137513468	"PN"
"PK 148+57  1"	"M  97"	168.69880122825	55.01902300891	"PN"
"PK 220-53  1"	"NGC  1360"	53.31102855331001	-25.87166045775	"PN"
"PK 156-13  1"	"PN HaWe    5"	56.36117156784	37.81450496333	"PN"
"PK 159-15  1"	"IC  351"	56.88741935131	35.04684420203	"PN"
"PK 171-25  1"	"PN Ba    1"	58.4022875	19.49406111111111	"PN"
"PK 161-14  1"	"IC 2003"	59.09161841126999	33.87521110473	"PN"
"PK 165-15  1"	"NGC  1514"	62.32077328068	30.775964141030002	"PN"
"PK 165-06  1"	"PN K  3-67"	69.949701	36.761841000000004	"PN"
"PK 167-09  1"	"PN K  3-66"	69.1551562981	33.65835408055	"PN"
"PK 174-14  1"	"PN H  3-29"	69.34818750000001	25.04552777777778	"PN"
"PK 166-06  1"	"RAFGL  618"	70.72343418025	36.11483358395	"pA*"
"PK 163-00  1"	"PN G163.1-00.8"	73.62910000000001	42.27802777777778	"PN"
"PK 205-26  1"	"PN MaC  2-1"	75.92438685913	-6.167507540489999	"PN"
"PK 215-30  1"	"PN A66    7"	75.78138642496	-15.606311337320001	"PN"
"PK 243-37"	"PN PRTM    1"	75.75721626934	-39.762368339169996	"PN"
"PK 167-00  1"	"PN A66    8"	76.66007749112	39.13574117967999	"PN"
"PK 173-05  1"	"LBN   809"	76.78790000000001	30.824480555555557	"RNe"
"PK 190-17  1"	"Jonckheere  320"	76.39282407943	10.706367993930002	"PN"
"PK 169-00  1"	"IC 2120"	79.537	37.53786	"HII"
"PK 172+00  1"	"PN A66    9"	82.23625	36.05138888888889	"PN?"
"PK 178-02  1"	"PN K  3-68"	82.89939999999999	28.97820833333333	"PN"
"PK 196-12  1"	"PN A66   11"	84.33986234255	8.258134763910002	"G"
"PK 197-14  1"	"PN K  1-7"	82.939575	6.933772222222222	"PN"
"PK 203-18  1"	"PN MaC  2-2"	82.24166666666666	-0.6797222222222222	"PN?"
"PK 215-24  1"	"IC  418"	81.86752480565	-12.69730063549	"PN"
"PK 170+04  1"	"PN K  3-69"	85.34222145529	39.25219042097	"PN"
"PK 173+02  1"	"SH  2-235 A"	85.22222083333334	35.70619166666667	"HII"
"PK 173+03  1"	"PN G173.5+03.2"	85.64355416666668	36.15216388888889	"PN"
