pk_id	alias
"PK 102-05  1"	"PN A66   80"
"PK 123+34  1"	"IC 3568"
"PK 093+05  1"	"NGC  7008"
"PK 217+14  1"	"PN A66   24"
"PK 084-03  1"	"NGC  7027"
"PK 089-05  1"	"IC 5117"
"PK 112-10  1"	"PN A66   84"
"PK 144-15  1"	"PN A66    4"
"PK 088-01  1"	"NGC  7048"
"PK 100-05  1"	"IC 5217"
"PK 113-06  1"	"PN A66   83"
"PK 130-10  1"	"M  76"
"PK 130-10  1"	"NGC   651"
"PK 130-10  1"	"NGC   650"
"PK 089+00  1"	"NGC  7026"
"PK 102-02  1"	"PN A66   79"
"PK 114-04  1"	"PN A66   82"
"PK 122-04  1"	"PN A66    2"
"PK 141-07  1"	"PN A66    5"
"PK 085+04  1"	"PN A66   71"
"PK 082+07  1"	"NGC  6884"
"PK 082+07  1"	"NGC  6766"
"PK 093+05  2"	"NGC  7008"
"PK 107+02  1"	"NGC  7354"
"PK 095+07  1"	"PN A66   73"
"PK 130+01  1"	"IC 1747"
"PK 082+11  1"	"NGC  6833"
"PK 083+12  1"	"NGC  6826"
"PK 101+08  1"	"PN A66   75"
"PK 101+08  1"	"NGC  7076"
"PK 104+07  1"	"NGC  7139"
"PK 119+06  1"	"PN A66    1"
"PK 131+02  1"	"PN A66    3"
"PK 138+02  1"	"IC  289"
"PK 077+14  1"	"PN A66   61"
"PK 077+14"	"PN A66   61"
"PK 120+09  1"	"NGC    40"
"PK 118+08  2"	"PN A66   86"
"PK 136+04  1"	"PN A66    6"
"PK 144+06  1"	"NGC  1501"
"PK 078+18  1"	"NGC  6742"
"PK 078+18  1"	"PN A66   50"
"PK 117+18  1"	"IC 1454"
"PK 117+18  1"	"PN A66   81"
"PK 153+22  1"	"PN A66   16"
"PK 170+15"	"NGC  2242"
"PK 170+15  1"	"NGC  2242"
"PK 158+37  1"	"PN A66   28"
"PK 158+37"	"PN A66   28"
"PK 148+57  1"	"M  97"
"PK 148+57  1"	"NGC  3587"
"PK 220-53  1"	"NGC  1360"
"PK 159-15  1"	"IC  351"
"PK 161-14  1"	"IC 2003"
"PK 165-15  1"	"NGC  1514"
"PK 215-30  1"	"PN A66    7"
"PK 167-00  1"	"PN A66    8"
"PK 169-00  1"	"IC 2120"
"PK 172+00  1"	"PN A66    9"
"PK 196-12  1"	"PN A66   11"
"PK 197-14  1"	"PN A66   10"
"PK 215-24  1"	"IC  418"
"PK 176+00  1"	"NGC  1985"
"PK 196-10  1"	"NGC  2022"
"PK 197-03  1"	"PN A66   14"
"PK 198-06  1"	"PN A66   12"
"PK 204-08  1"	"PN A66   13"
"PK 221-12  1"	"IC 2165"
"PK 233-16  1"	"PN A66   15"
"PK 216-00  1"	"PN A66   18"
"PK 221-04  1"	"PN A66   17"
"PK 200+08  1"	"PN A66   19"
"PK 215+03  1"	"NGC  2346"
"PK 189+19  1"	"NGC  2371"
"PK 189+19  1"	"NGC  2372"
"PK 189+19  1"	"NGC  2371     2"
"PK 197+17  1"	"NGC  2392"
"PK 205+14  1"	"PN A66   21"
"PK 214+07  1"	"PN A66   20"
"PK 215+11  1"	"PN A66   22"
"PK 231+04  2"	"NGC  2438"
"PK 234+02  1"	"NGC  2440"
"PK 243-01  1"	"NGC  2452"
"PK 249-05  1"	"PN A66   23"
"PK 224+15  1"	"PN A66   25"
"PK 224+15"	"PN A66   25"
"PK 250+00  1"	"PN A66   26"
"PK 254+00  1"	"NGC  2579"
"PK 239+13  1"	"NGC  2610"
"PK 252+04  1"	"PN A66   27"
"PK 208+33  1"	"PN A66   30"
"PK 214+31  1"	"NGC  2661"
"PK 244+12  1"	"PN A66   29"
"PK 219+31  1"	"PN A66   31"
"PK 219+31"	"PN A66   31"
"PK 002-52  1"	"IC 5148"
"PK 002-52  1"	"IC 5150"
"PK 036-57"	"NGC  7293"
"PK 036-57  1"	"NGC  7293"
"PK 037-34  1"	"NGC  7009"
"PK 118-74  1"	"NGC   246"
"PK 065-27  1"	"NGC  7078   648"
"PK 066-28  1"	"NGC  7094"
"PK 072-17  1"	"PN A66   74"
"PK 072-17"	"PN A66   74"
"PK 081-14  1"	"PN A66   78"
"PK 106-17  1"	"NGC  7662"
"PK 227+33  1"	"PN A66   32"
"PK 261+08  1"	"NGC  2818A"
"PK 238+34  1"	"PN A66   33"
"PK 248+29  1"	"PN A66   34"
"PK 272+12  1"	"NGC  3132"
"PK 294+43  1"	"NGC  4361"
"PK 303+40  1"	"PN A66   35"
"PK 318+41  1"	"PN A66   36"
"PK 326+42  1"	"IC  972"
"PK 326+42  1"	"PN A66   37"
"PK 341+05  1"	"NGC  6153"
"PK 346-08  1"	"IC 4663"
"PK 345+00  1"	"IC 4637"
"PK 358-21  1"	"IC 1297"
"PK 341+13  1"	"NGC  6026"
"PK 342+10  1"	"NGC  6072"
"PK 349+01  1"	"NGC  6302"
"PK 349-01  1"	"NGC  6337"
"PK 346+12  1"	"PN A66   38"
"PK 358-07  1"	"NGC  6563"
"PK 003-04  5"	"NGC  6565"
"PK 003-02  3"	"IC 4673"
"PK 005-06  1"	"NGC  6620"
"PK 008-07  2"	"NGC  6644"
"PK 017-21  1"	"PN A66   65"
"PK 002+05  1"	"NGC  6369"
"PK 009-05  1"	"NGC  6629"
"PK 010-06  1"	"IC 4732"
"PK 019-23  1"	"PN A66   66"
"PK 359+15  1"	"PN A66   40"
"PK 000+12  1"	"IC 4634"
"PK 008+03  1"	"NGC  6445"
"PK 007+01  1"	"IC 4670"
"PK 010+00  1"	"NGC  6537"
"PK 010-01  1"	"NGC  6578"
"PK 011-00  2"	"NGC  6567"
"PK 015-03  1"	"PN A66   44"
"PK 017-10  1"	"PN A66   51"
"PK 009+10  1"	"PN A66   41"
"PK 011+05  1"	"NGC  6439"
"PK 025-17  1"	"NGC  6818"
"PK 009+14  1"	"NGC  6309"
"PK 020-00  1"	"PN A66   45"
"PK 025-11  1"	"PN A66   60"
"PK 025-04  2"	"IC 1295"
"PK 027-09  1"	"IC 4846"
"PK 038-25  1"	"PN A66   70"
"PK 016+13  1"	"PN A66   42"
"PK 027-03  1"	"PN A66   49"
"PK 029-05  1"	"NGC  6751"
"PK 029+00  1"	"PN A66   48"
"PK 033-06  1"	"NGC  6772"
"PK 030+03  1"	"PN A66   47"
"PK 033-02  1"	"NGC  6741"
"PK 034-06  1"	"NGC  6778"
"PK 033-05  1"	"PN A66   55"
"PK 037-05  1"	"PN A66   58"
"PK 037-06  1"	"NGC  6790"
"PK 042-14  1"	"NGC  6852"
"PK 037-03  2"	"PN A66   56"
"PK 043-13  1"	"PN A66   67"
"PK 034+11  1"	"NGC  6572"
"PK 040-00  1"	"PN A66   53"
"PK 041-02  1"	"NGC  6781"
"PK 042-06  1"	"NGC  6807"
"PK 044-09  1"	"PN A66   64"
"PK 036+17  1"	"PN A66   43"
"PK 045-04  1"	"NGC  6804"
"PK 046-04  1"	"NGC  6803"
"PK 025+40  1"	"IC 4593"
"PK 047-04  1"	"PN A66   62"
"PK 054-12  1"	"NGC  6891"
"PK 050+05  1"	"PN A66   52"
"PK 053-03  1"	"PN A66   63"
"PK 059-18  1"	"PN A66   72"
"PK 053+03  1"	"PN A66   59"
"PK 057-08  1"	"NGC  6879"
"PK 058-10  1"	"IC 4997"
"PK 043+37  1"	"NGC  6210"
"PK 055+06  1"	"PN A66   54"
"PK 060-04  1"	"PN A66   68"
"PK 060-07  2"	"NGC  6886"
"PK 061-09  1"	"NGC  6905"
"PK 055+16  1"	"PN A66   46"
"PK 058+06  1"	"PN A66   57"
"PK 060-03  1"	"M  27"
"PK 060-03  1"	"NGC  6853"
"PK 060-03"	"M  27"
"PK 060-03"	"NGC  6853"
"PK 047+42  1"	"PN A66   39"
"PK 062+09  1"	"NGC  6765"
"PK 065+00  1"	"NGC  6842"
"PK 063+13  1"	"M  57"
"PK 063+13  1"	"NGC  6720"
"PK 063+13"	"M  57"
"PK 063+13"	"NGC  6720"
"PK 069-02  1"	"NGC  6894"
"PK 070+01  2"	"NGC  6857"
"PK 064+48  1"	"NGC  6058"
"PK 074+02  1"	"NGC  6881"
"PK 076+01  1"	"PN A66   69"
"PK 265+04  1"	"NGC  2792"
"PK 277-03  1"	"NGC  2899"
"PK 278-05  1"	"NGC  2867"
"PK 281-05  1"	"IC 2501"
"PK 285-05  1"	"IC 2553"
"PK 286-04  1"	"NGC  3211"
"PK 285-14  1"	"IC 2448"
"PK 291-04  1"	"IC 2621"
"PK 292+01  1"	"NGC  3699"
"PK 296-20  1"	"NGC  3195"
"PK 294+04  1"	"NGC  3918"
"PK 298-04  1"	"NGC  4071"
"PK 304-04  1"	"IC 4191"
"PK 307-03  1"	"IC 4274"
"PK 307-03  1"	"NGC  5189"
"PK 309-04  2"	"NGC  5315"
"PK 317-05  1"	"NGC  5844"
"PK 312+10  1"	"NGC  5307"
"PK 322-05  1"	"NGC  5979"
"PK 328-17  1"	"IC 4662"
"PK 317+19  1"	"NGC  5408"
"PK 319+15  1"	"IC 4406"
"PK 327+10  1"	"IC 1108"
"PK 327+10  1"	"NGC  5882"
"PK 334-09  1"	"IC 4642"
"PK 338-08  1"	"NGC  6326"
"PK 336-00  1"	"NGC  6164"
"PK 336-00  1"	"NGC  6165"
"PK 331+16  1"	"NGC  5873"
"PK 338+05  1"	"IC 4599"
"PK 345-08  1"	"IC 1266"
"PK 348-13  1"	"IC 4699"
"PK 050-36  1"	"PN A66   76"
"PK 097+03  1"	"PN A66   77"
"PK 166+10  1"	"IC 2149"
"PK 096+29  1"	"NGC  6543"
"PK 206-40  1"	"NGC  1535"
"PK 261+32  1"	"NGC  3242"
"PK 002-13  1"	"IC 4776"
