119+06.1   A 1             00 10 12.6   +68 53 36.    1950   50.134.178          00 12 55.16 +69 10 16.7
119+06.1   A 1             00 10 12.0   +68 53 42.    1950   70.002.006          00 12 54.56 +69 10 22.7
119+06.1   A 1             00 12 55.12  +69 10 16.8   2000   72.002.012 rad      00 12 55.12 +69 10 16.8
119+06.1   A 1             00 10 12.2   +68 53 41.    1950   Ko,Ku (1999)        00 12 54.76 +69 10 21.7
120+09.1   NGC 40          00 07 35.10  +71 57 57.4   1900   CGPN/Kb 09          00 13 01.26 +72 31 19.8
120+09.1   NGC 40          00 06 31.12  +71 51 17.3   1880   CGPN/Wn 09          00 13 01.24 +72 31 20.5
120+09.1   NGC 40          00 10 16.5   +72 14 39.    1950   CGPN/Ko 64d         00 13 00.96 +72 31 19.7
120+09.1   NGC 40          00 10 16.64  +72 14 38.6   1950   12.133.017          00 13 01.10 +72 31 19.2
120+09.1   NGC 40          00 10 16.5   +72 14 39.    1950   65.134.076          00 13 00.96 +72 31 19.7
120+09.1   NGC 40          00 10 16.4   +72 14 38.    1950   70.002.006          00 13 00.86 +72 31 18.7
120+09.1   NGC 40          00 13 01.05  +72 31 19.6   2000   72.002.012 rad      00 13 01.05 +72 31 19.6
120+09.1   NGC 40          00 10 16.54  +72 14 39.3   1950   GSC 4302-01297      00 13 01.00 +72 31 19.9
120+09.1   NGC 40          00 13 01.03  +72 31 19.0   2000   HIP 001041          00 13 01.03 +72 31 19.0
120+09.1   NGC 40          00 10 12.6   +68 53 36.    1950   50.134.178          00 12 55.16 +69 10 16.7
120+09.1   NGC 40          00 10 12.0   +68 53 42.    1950   70.002.006          00 12 54.56 +69 10 22.7
120+09.1   NGC 40          00 12 55.12  +69 10 16.8   2000   72.002.012 rad      00 12 55.12 +69 10 16.8
120+09.1   NGC 40          00 10 12.2   +68 53 41.    1950   Ko,Ku (1999)        00 12 54.76 +69 10 21.7
120+09.1   NGC 40          00 07 35.10  +71 57 57.4   1900   CGPN/Kb 09          00 13 01.26 +72 31 19.8
120+09.1   NGC 40          00 06 31.12  +71 51 17.3   1880   CGPN/Wn 09          00 13 01.24 +72 31 20.5
120+09.1   NGC 40          00 10 16.5   +72 14 39.    1950   CGPN/Ko 64d         00 13 00.96 +72 31 19.7
120+09.1   NGC 40          00 10 16.64  +72 14 38.6   1950   12.133.017          00 13 01.10 +72 31 19.2
120+09.1   NGC 40          00 10 16.5   +72 14 39.    1950   65.134.076          00 13 00.96 +72 31 19.7
120+09.1   NGC 40          00 10 16.4   +72 14 38.    1950   70.002.006          00 13 00.86 +72 31 18.7
120+09.1   NGC 40          00 13 01.05  +72 31 19.6   2000   72.002.012 rad      00 13 01.05 +72 31 19.6
120+09.1   NGC 40          00 10 16.54  +72 14 39.3   1950   GSC 4302-01297      00 13 01.00 +72 31 19.9
120+09.1   NGC 40          00 13 01.03  +72 31 19.0   2000   HIP 001041          00 13 01.03 +72 31 19.0
120+09.1   NGC 40          00 10 16.8   +72 14 37.    1950   IRAS00102+7214      00 13 01.26 +72 31 17.6
118-08.1   Vy 1-1          00 16 01.5   +53 35 41.    1950   CGPN/Ko 65a         00 18 42.16 +53 52 20.1
118-08.1   Vy 1-1          00 16 01.58  +53 35 40.6   1950   12.133.017          00 18 42.24 +53 52 19.7
118-08.1   Vy 1-1          00 16 01.55  +53 35 40.5   1950   37.134.035          00 18 42.21 +53 52 19.6
118-08.1   Vy 1-1          00 16 01.5   +53 35 41.    1950   70.002.006          00 18 42.16 +53 52 20.1
118-08.1   Vy 1-1          00 18 41.91  +53 52 19.9   2000   70.002.006 rad      00 18 41.91 +53 52 19.9
118-08.1   Vy 1-1          00 16 01.4   +53 35 36.    1950   IRAS00160+5335      00 18 42.06 +53 52 15.1
119+00.1   BV 1            00 17 14.5   +62 42 22.    1950   CGPN/Ko 65a         00 19 58.83 +62 59 00.7
119+00.1   BV 1            00 17 15.0   +62 42 22.    1950   30.135.052          00 19 59.34 +62 59 00.7
119+00.1   BV 1            00 17 14.6   +62 42 22.    1950   70.002.006          00 19 58.93 +62 59 00.7
119+00.1   BV 1            00 20 00.06  +62 58 56.3   2000   72.002.012 rad      00 20 00.06 +62 58 56.3
119+00.1   BV 1            00 17 14.4   +62 42 15.    1950   IRAS00172+6242      00 19 58.73 +62 58 53.7
119-06.1   Hu 1-1          00 25 30.2   +55 41 20.    1950   CGPN/Ko 64d         00 28 15.48 +55 57 55.1
119-06.1   Hu 1-1          00 25 30.29  +55 41 19.5   1950   12.133.017          00 28 15.57 +55 57 54.6
119-06.1   Hu 1-1          00 25 30.33  +55 41 19.7   1950   37.134.035          00 28 15.61 +55 57 54.8
119-06.1   Hu 1-1          00 25 30.3   +55 41 19.    1950   50.134.178          00 28 15.58 +55 57 54.1
119-06.1   Hu 1-1          00 25 30.4   +55 41 19.    1950   70.002.006          00 28 15.68 +55 57 54.1
119-06.1   Hu 1-1          00 28 15.63  +55 57 54.4   2000   70.002.006 rad      00 28 15.63 +55 57 54.4
119-06.1   Hu 1-1          00 25 30.2   +55 41 20.    1950   St,Sa (1977)        00 28 15.48 +55 57 55.1
119-06.1   Hu 1-1          00 25 30.4   +55 41 18.    1950   IRAS00255+5541      00 28 15.68 +55 57 53.1
120-05.1   Sh 2-176        00 29 06.0   +57 06 00.    1950   70.002.006        * 00 31 53.54 +57 22 33.1
120-05.1   Sh 2-176        00 28 57.6   +57 05 44.    1950   Ko,Ku (1999)        00 31 45.07 +57 22 17.2
108-76.1   BOBN 1          00 34 44.8   -13 59 29.    1950   70.002.006          00 37 15.98 -13 42 59.0
108-76.1   BOBN 1          00 34 44.9   -13 59 28.    1950   Ko,Ku (1999)        00 37 16.08 -13 42 58.0
121+03.1   We 1-1          00 35 55.2   +66 07 12.    1950   20.135.021          00 38 53.65 +66 23 40.6
121+03.1   We 1-1          00 35 55.8   +66 07 18.    1950   50.134.178          00 38 54.25 +66 23 46.6
121+03.1   We 1-1          00 35 55.6   +66 07 22.    1950   70.002.006          00 38 54.05 +66 23 50.6
121+03.1   We 1-1          00 38 54.19  +66 23 47.2   2000   72.002.012 rad      00 38 54.19 +66 23 47.2
121+03.1   We 1-1          00 35 55.9   +66 07 13.    1950   IRAS00359+6607      00 38 54.35 +66 23 41.6
121+00.1   BV 2            00 37 25.7   +62 35 02.    1950   CGPN/Ko 65a         00 40 21.34 +62 51 29.6
121+00.1   BV 2            00 37 26.0   +62 34 49.    1950   30.135.052          00 40 21.64 +62 51 16.6
121+00.1   BV 2            00 37 25.6   +62 35 01.    1950   70.002.006          00 40 21.24 +62 51 28.6
121+00.1   BV 2            00 40 22.48  +62 51 35.1   2000   72.002.012 rad      00 40 22.48 +62 51 35.1
121+00.1   BV 2            00 37 26.7   +62 34 51.    1950   IRAS00374+6234      00 40 22.35 +62 51 18.6
122-04.1   A 2             00 42 40.6   +57 41 10.    1950   34.134.010          00 45 34.68 +57 57 33.5
122-04.1   A 2             00 42 40.9   +57 41 08.    1950   50.134.178          00 45 34.98 +57 57 31.5
122-04.1   A 2             00 42 40.7   +57 41 12.    1950   70.002.006          00 45 34.78 +57 57 35.5
122-04.1   A 2             00 45 34.78  +57 57 33.3   2000   70.002.006 rad      00 45 34.78 +57 57 33.3
122-04.1   A 2             00 42 40.7   +57 41 19.    1950   IRAS00426+5741      00 45 34.78 +57 57 42.5
118-74.1   NGC 246         00 44 32.1   -12 08 44.    1950   02.133.027        * 00 47 03.04 -11 52 21.6
118-74.1   NGC 246         00 44 35.3   -12 09 03.    1950   09.133.025          00 47 06.23 -11 52 40.6
118-74.1   NGC 246         00 44 32.9   -12 08 44.    1950   34.134.010          00 47 03.84 -11 52 21.6
118-74.1   NGC 246         00 44 31.1   -12 08 44.    1950   50.134.178          00 47 02.04 -11 52 21.6
118-74.1   NGC 246         00 44 32.7   -12 08 42.    1950   70.002.006          00 47 03.64 -11 52 19.6
118-74.1   NGC 246         00 47 03.45  -11 52 18.2   2000   AC 2316872          00 47 03.45 -11 52 18.2
118-74.1   NGC 246         00 47 03.35  -11 52 18.9   2000   HIP 003678          00 47 03.35 -11 52 18.9
125-47.1   PHL 932         00 57 18.1   +15 28 11.    1950   41.002.074        * 00 59 56.58 +15 44 20.6
125-47.1   PHL 932         00 57 10.0   +15 26 00.    1950   50.134.178          00 59 48.46 +15 42 09.7
125-47.1   PHL 932         00 57 19.0   +15 28 00.    1950   70.002.006          00 59 57.48 +15 44 09.6
125-47.1   PHL 932         00 57 18.3   +15 28 03.    1950   Ko,Ku (1999)        00 59 56.78 +15 44 12.6
125-47.1   PHL 932         00 59 56.43  +15 44 13.5   2000   AC 0452873          00 59 56.43 +15 44 13.5
125-47.1   PHL 932         00 57 18.25  +15 28 04.2   1950   GSC 1189-01457      00 59 56.73 +15 44 13.8
125-47.1   PHL 932         00 59 56.65  +15 44 13.7   2000   HIP 004666          00 59 56.65 +15 44 13.7
124-07.1   WeSb 1          00 57 55.7   +54 47 30.    1950   30.135.002        * 01 00 53.85 +55 03 38.5
124-07.1   WeSb 1          00 57 55.7   +54 47 45.    1950   70.002.006          01 00 53.86 +55 03 53.5
124-07.1   WeSb 1          00 57 56.1   +54 47 52.    1950   Ko,Ku (1999)        01 00 54.26 +55 04 00.5
124+02.1 * KLSS 2-7        00 59 12.3   +65 30 29.    1950   63.134.060          01 02 24.76 +65 46 35.9
124+02.1 * KLSS 2-7        01 02 24.7   +65 46 36.    2000   66.134.013          01 02 24.7  +65 46 36.
124+02.1 * KLSS 2-7        00 59 12.1   +65 30 28.    1950   IRAS00592+6530      01 02 24.56 +65 46 34.9
124+10.1   EL 0103+73      01 03 31.2   +73 17 22.    1950   43.134.029        * 01 07 08.07 +73 33 23.5
124+10.1   EL 0103+73      01 03 36.0   +73 16 56.    1950   70.002.006          01 07 12.92 +73 32 57.4
124+10.1   EL 0103+73      01 03 31.1   +73 17 21.    1950   Ko,Ku (1999)        01 07 07.97 +73 33 22.5
126+03.1   K 3-90          01 21 32.8   +65 22 59.    1950   50.134.178          01 24 58.68 +65 38 35.5
126+03.1   K 3-90          01 21 32.7   +65 22 59.    1950   70.002.006          01 24 58.58 +65 38 35.5
126+03.1   K 3-90          01 24 58.78  +65 38 34.2   2000   70.002.006 rad      01 24 58.78 +65 38 34.2
126+03.1   K 3-90          01 21 33.5   +65 23 02.    1950   IRAS01215+6523      01 24 59.39 +65 38 38.5
128-04.1 * S 22            01 27 25.0   +58 06 33.    1950   70.002.006        * 01 30 39.63 +58 22 00.3
128-04.1 * S 22            01 27 18.7   +58 09 22.    1950   Ko,Ku (1999)        01 30 33.36 +58 24 49.5
130-11.1   M 1-1           01 34 13.    +50 12 59.    1950   CGPN/Mi 59          01 37 19.46 +50 28 14.8
130-11.1   M 1-1           01 34 12.9   +50 12 57.    1950   CGPN/Ko 64d         01 37 19.36 +50 28 12.8
130-11.1   M 1-1           01 34 13.01  +50 12 56.3   1950   37.134.035          01 37 19.47 +50 28 12.1
130-11.1   M 1-1           01 34 13.0   +50 12 56.    1950   50.134.178          01 37 19.46 +50 28 11.8
130-11.1   M 1-1           01 34 13.1   +50 12 55.    1950   70.002.006          01 37 19.56 +50 28 10.8
130-11.1   M 1-1           01 37 19.27  +50 28 11.7   2000   70.002.006 rad      01 37 19.27 +50 28 11.7
130-11.1   M 1-1           01 34 13.0   +50 12 55.    1950   IRAS01342+5012      01 37 19.46 +50 28 10.8
129-05.1   KLSS 2-8        01 36 50.0   +56 19 33.    1950   63.134.060          01 40 05.72 +56 34 43.9
129-05.1   KLSS 2-8        01 40 05.7   +56 34 44.    2000   66.134.013          01 40 05.7  +56 34 44.
129-05.1   KLSS 2-8        01 36 50.3   +56 19 43.    1950   Ko,Ku (1999)        01 40 06.03 +56 34 53.9
130-10.1   NGC 650-1       01 35 49.56  +51 02 58.4   1897   CGPN/We 03        * 01 42 18.17 +51 34 13.1
130-10.1   NGC 650-1       01 34 47.38  +50 58 10.8   1880   CGPN/Wn 09          01 42 19.59 +51 34 37.2
130-10.1   NGC 650-1       01 39 10.2   +51 19 23.    1950   02.133.027          01 42 19.63 +51 34 29.7
130-10.1   NGC 650-1       01 39 10.20  +51 19 24.9   1950   12.133.017          01 42 19.64 +51 34 31.6
130-10.1   NGC 650-1       01 39 10.5   +51 19 30.    1950   50.134.178          01 42 19.94 +51 34 36.7
130-10.1   NGC 650-1       01 39 10.5   +51 19 28.    1950   70.002.006          01 42 19.94 +51 34 34.7
130-10.1   NGC 650-1       01 42 19.69  +51 34 31.7   2000   70.002.006 rad      01 42 19.69 +51 34 31.7
130-10.1   NGC 650-1       01 39 09.6   +51 19 19.    1950   IRAS01391+5119      01 42 19.03 +51 34 25.7
129-02.1 * We 2-5          01 39 11.0   +59 54 00.    1950   50.134.178        * 01 42 34.11 +60 09 06.5
129-02.1 * We 2-5          01 39 15.0   +59 55 00.    1950   70.002.006          01 42 38.18 +60 10 06.3
129-02.1 * We 2-5          01 39 14.8   +59 54 51.    1950   Ko,Ku (1999)        01 42 37.97 +60 09 57.3
131-05.1   BV 3            01 49 42.0   +56 09 36.    1950   30.135.052          01 53 02.51 +56 24 22.0
131-05.1   BV 3            01 49 41.2   +56 09 34.    1950   34.134.010          01 53 01.70 +56 24 20.0
131-05.1   BV 3            01 49 42.6   +56 09 33.    1950   70.002.006          01 53 03.11 +56 24 19.0
131-05.1   BV 3            01 53 02.40  +56 24 20.0   2000   70.002.006 rad      01 53 02.40 +56 24 20.0
130+01.1   IC 1747         01 53 57.7   +63 04 42.    1950   CGPN/Ko 64d         01 57 35.46 +63 19 18.8
130+01.1   IC 1747         01 53 57.9   +63 04 42.    1950   41.134.007          01 57 35.66 +63 19 18.8
130+01.1   IC 1747         01 53 57.7   +63 04 40.    1950   70.002.006          01 57 35.46 +63 19 16.8
130+01.1   IC 1747         01 57 35.85  +63 19 18.8   2000   70.002.006 rad      01 57 35.85 +63 19 18.8
130+01.1   IC 1747         01 53 57.9   +63 04 46.    1950   St,Sa (1977)        01 57 35.67 +63 19 22.8
130+01.1   IC 1747         01 53 57.8   +63 04 39.    1950   IRAS01539+6304      01 57 35.56 +63 19 15.8
129+04.1   K 3-91          01 54 47.0   +66 19 24.    1950   50.134.178        * 01 58 35.45 +66 33 58.8
129+04.1   K 3-91          01 54 46.9   +66 19 27.    1950   70.002.006          01 58 35.35 +66 34 01.9
129+04.1   K 3-91          01 58 35.43  +66 34 13.8   2000   70.002.006 rad      01 58 35.43 +66 34 13.8
148-48.1 * GR 0155+10      01 55 19.2   +10 42 02.    1950   Ko,Ku (1999)        01 57 59.18 +10 56 37.2
133-08.1 * M 1-2           01 55 33.    +52 39 17.    1950   CGPN/Mi 59          01 58 49.79 +52 53 50.8
133-08.1 * M 1-2           01 55 32.9   +52 39 15.    1950   CGPN/Ko 64d         01 58 49.69 +52 53 48.8
133-08.1 * M 1-2           01 55 32.5   +52 39 10.    1950   33.134.004          01 58 49.28 +52 53 43.8
133-08.1 * M 1-2           01 55 32.86  +52 39 14.8   1950   51.117.039          01 58 49.65 +52 53 48.6
133-08.1 * M 1-2           01 55 32.9   +52 39 15.    1950   70.002.006          01 58 49.69 +52 53 48.8
133-08.1 * M 1-2           01 55 32.7   +52 39 15.    1950   LSV+52 1            01 58 49.48 +52 53 48.8
133-08.1 * M 1-2           01 55 32.6   +52 39 10.    1950   IRAS01555+5239      01 58 49.38 +52 53 43.8
130+03.1   K 3-92          01 59 55.9   +64 43 12.    1950   50.134.178        * 02 03 41.74 +64 57 35.7
130+03.1   K 3-92          01 59 55.4   +64 43 14.    1950   70.002.006          02 03 41.24 +64 57 37.7
131+02.1   A 3             02 08 19.1   +63 55 02.    1950   34.134.010          02 12 06.67 +64 09 06.5
131+02.1   A 3             02 08 19.6   +63 54 56.    1950   50.134.178          02 12 07.17 +64 09 00.5
131+02.1   A 3             02 08 19.1   +63 54 58.    1950   70.002.006          02 12 06.67 +64 09 02.5
131+02.1   A 3             02 12 06.46  +64 09 08.4   2000   72.002.012 rad      02 12 06.46 +64 09 08.4
132+04.1   K 3-93          02 22 29.1   +65 34 24.    1950   70.002.006          02 26 30.02 +65 47 53.3
132+04.1   K 3-93          02 26 29.83  +65 47 52.7   2000   72.002.012 rad      02 26 29.83 +65 47 52.7
132+04.1   K 3-93          02 22 29.3   +65 34 23.    1950   Ko,Ku (1999)        02 26 30.22 +65 47 52.3
144-15.1   A 4             02 42 09.6   +42 20 31.    1950   34.134.010          02 45 23.39 +42 33 07.9
144-15.1   A 4             02 42 10.0   +42 20 28.    1950   70.002.006          02 45 23.79 +42 33 04.9
141-07.1   A 5             02 48 44.9   +50 23 35.    1950   34.134.010        * 02 52 13.52 +50 35 52.3
141-07.1   A 5             02 48 46.2   +50 23 37.    1950   70.002.006          02 52 14.83 +50 35 54.2
141-07.1   A 5             02 48 45.2   +50 23 37.    1950   Ko,Ku (1999)        02 52 13.82 +50 35 54.3
