Sharpless Index,Description
1,"This combination HII region and reflection nebula is ionised by the B1V class star Pi Scorpii, a member of the nearby Upper Scorpius subgroup of the Sco OB2 association, which forms part of the Gould belt and the inner edge of the Orion spur."
2,"This HII region surrounds the O6.5 Ia supergiant and X-ray eclipsing binary HD 153919. It is seen behind the closer star cluster NGC 6281.HD 153919 is a runaway star ejected from the Sco OB1 star association in a supernova explosion about 2 million years ago."
3,"This bubble, most commonly called RCW 120, is ionised by the O8 V star CGO 439. Distance estimates consistently place it relatively close by (about 1340 pc) in the Sagittarius arm."
4,"Infrared imagery reveals that RCW 121 (Sh 2-4) and RCW 122 lie at the edge of an enormous bubble ionised by the star cluster Havlen-Moffat 1. This cluster is 2-4 million years old and contains the Wolf-Rayet stars WR 87 and WR 89 as well as several O-stars."
5,"This large diffuse nebula lies in the same direction as the Wolf-Rayet star WR 89.Infrared imagery reveals that RCW 123 (Sh 2-5) lies within an enormous bubble ionised by the star cluster Havlen-Moffat 1. This cluster is 2-4 million years old and contains the Wolf-Rayet stars WR 87 and WR 89 as well as several O-stars. Distance estimates place it in the Centaurus arm."
6,"This is NGC 6302, the Bug nebula, the remains of a dying G V class star. You can see an amazing Hubble image of this planetary nebula."
7,"Sh 2-7 is the core of a huge diffuse nebula and is ionised by the B0.2IVe subgiant binary Delta Scorpii, a member of the nearby Sco OB2 association."
8,"This is NGC 6334, the Cat's Paw nebula. This complex of HII regions contains one larger bubble (Gum 63) adjacent to three smaller bubbles (Gum 61, Gum 62 and Gum 64b) in addition to several other partially obscured nebulae and at least eleven major infrared sources that are probably mostly cooler B stars. It lies at the same distance as NGC 6357, the War and Peace nebula, and is separated from it by a dark cloud. Both are near the Sco OB4 association in the Sagittarius arm."
9,"This combination reflection nebula and HII region is ionised by the B1 III variable giant Sigma Scorpii in the nearby Upper Scorpius subgroup of the Sco OB2 association."
10,"This mysterious nebula, catalogued as RCW 130 and Sh 2-10, lies in the direction of the Sco OB4 association. Two Wolf-Rayet stars, WR 86 and WR 88, are visible towards its edge."
11,"The HII region NGC 6357, also called W 22 or the War and Peace Nebula, is ionised by the Pismis 24 and AH03 J1725-34.4 star clusters. Pismis 24 includes the multiple O4 and O4-5 star system [N78] 35 according to a 1984 paper. (SIMBAD gives a cooler O7 III class for this star.)Near by is the Wolf-Rayet star WR 93, which is also a multiple star system with a class O7-9 companion. The Cat's Paw nebula NGC 6334 lies at approximately the same distance and is separated from it by a dark cloud. You can see both nebulae together in this image.An amazing closeup of part of this nebula can be seen in this Hubble image."
12,"This diffuse nebula is ionised by the binary O-star (O7V + O7V) HD 159176 in the star cluster NGC 6383."
13,"This nebula surrounds the O9.5V binary HD 158186, which lies in the direction of the small cluster Antalova 1."
14,"This nebula appears as a faint blue haze in the direction of the constellation Scorpius. There are no significant references in the scientific literature for this object and indeed the BFS catalog removes Sh 2-14 from its revised Sharpless catalog because Blitz, Fich and Stark could not detect it."
15,"This HII region is ionised by the O8 V star HD 161853 and is part of the Sh 2-15 to Sh 2-20 complex of HII regions located in the Sgr OB5 association in the Sagittarius arm. It is the location of the radio source W25."
16,"Sh 2-16 is part of the Sh 2-15 to Sh 2-20 complex of HII regions located in the Sgr OB5 association in the Sagittarius arm. It appears to be ionised by the O9.5 V star LSS 4381."
17,"Sh 2-17 is part of the Sh 2-15 to Sh 2-20 complex of HII regions located in the Sgr OB5 association in the Sagittarius arm.There are no papers suggesting ionising stars for Sh 2-17 and there are no OB stars in this direction in the Reed OB star catalog either. However, the infrared cluster [DB2000] 58 appears to be embedded in the nebula and may contain the ionising stars."
18,"This small nebula is part of the Sh 2-15 to Sh 2-20 complex of HII regions located in the Sgr OB5 association in the Sagittarius arm. It lies next to RCW 140 (Sh 2-19). No ionising stars are cited in the scientific literature but the nebula is believed to contain the infrared cluster [DB2000] 1 which may perhaps contain ionising stars."
19,"This nebula is part of the Sh 2-15 to Sh 2-20 complex of HII regions located in the Sgr OB5 association in the Sagittarius arm."
20,"This nebula is part of the Sh 2-15 to Sh 2-20 complex of HII regions located in the Sgr OB5 association in the Sagittarius arm. It contains the infrared star clusters [DB2000] 5 and [DB2000] 6."
21,"This HII region is located in the galactic bar below the galactic plane and is associated with the infrared star clusters [DB2000] 7, [DB2000] 10, [DB2000] 11 and [DB2000] 12."
22,"This is a ring nebula surrounding the O8 III giant 63 Ophiuchi (HD 162978), which lies at the edge of the Sgr OB1 association in the Sagittarius arm.You can see the full extent of this huge object in this SuperCOSMOS image."
23,"There is nothing significant on this nebula in the scientific literature. It is close to the A4V star 16 Scorpii and may possibly be a faint reflection nebula.Dean Salman has a good image of this object on his Sharpless nebula website.Both Sh 2-23 and Sh 2-24 can be seen together in this IRAS infrared image. Sh 2-24 is the bright ellipse and Sh 2-23 is the much fainter squiggle below and to the right."
24,"The eerie blue glow of MBM 57 is at a distance stretching between 50 and 240 pc, making it one of the closest known molecular clouds.Dean Salman has a good image of this object on his Sharpless nebula website.Both Sh 2-23 and Sh 2-24 can be seen together in this IRAS infrared image. Sh 2-24 is the bright ellipse and Sh 2-23 is the much fainter squiggle below and to the right."
