Results from heasarc_hiiregion: Sharpless H II Regions
Coordinate system: Equatorial
|name|ra        |dec      |diameter|form|structure|bright|stars|
|S  4|17 19 48.5|-39 20 20|       5|   2|        3|     3|    0|
|S  3|17 13 44.9|-38 30 11|      12|   2|        3|     3|    0|
|S  5|17 20 03.4|-38 27 18|     100|   3|        2|     2|    9|
|S  2|17 04 06.5|-38 08 35|      60|   3|        2|     2|    1|
|S  6|17 15 03.8|-37 07 01|       4|   3|        2|     3|    0|
|S  8|17 21 24.5|-36 02 06|     120|   3|        3|     3|    4|
|S 11|17 26 30.7|-34 12 22|      90|   3|        3|     3|    2|
|S 10|17 18 59.8|-34 05 24|      60|   3|        2|     2|    1|
|S 12|17 35 55.9|-32 35 56|     120|   1|        2|     2|    9|
|S 13|17 30 28.3|-31 33 47|      40|   2|        2|     2|    1|
|S 15|17 50 34.1|-31 15 50|      30|   2|        2|     2|    3|
|S 14|17 30 18.2|-30 15 47|       2|   3|        1|     2|    0|
|S 16|17 47 52.1|-29 18 14|      20|   3|        2|     2|    0|
|S 18|17 48 45.8|-29 15 07|       4|   1|        2|     2|    0|
|S 19|17 49 21.4|-29 07 01|      12|   1|        1|     2|    0|
|S 21|17 51 38.9|-28 53 42|       5|   3|        2|     2|    0|
|S 17|17 46 08.6|-28 51 29|      25|   3|        2|     2|    0|
|S 20|17 49 14.2|-28 40 01|      10|   3|        2|     2|    0|
|S311|07 52 20.6|-26 26 28|      45|   3|        2|     3|    2|
|S  1|15 58 50.9|-26 07 16|     150|   3|        2|     3|    1|
|S312|08 59 09.6|-25 41 17|     720|   3|        2|     2|    0|
|S  9|16 21 10.8|-25 35 20|      80|   3|        2|     2|    1|
|S 22|17 55 03.6|-25 02 10|      60|   3|        2|     2|    5|
|S310|07 13 03.4|-24 35 10|     480|   3|        2|     2|    2|
|S 25|18 05 25.7|-24 23 38|      90|   3|        3|     3|   14|
|S304|06 43 26.4|-24 07 59|     200|   3|        2|     2|    0|
|S 29|18 10 30.7|-23 59 56|      40|   3|        2|     2|    3|
|S308|06 54 09.6|-23 56 31|      35|   3|        3|     2|    1|
|S 31|18 11 18.2|-23 47 49|       8|   1|        1|     2|    1|
|S 32|18 10 53.8|-23 38 53|       8|   1|        2|     2|    2|
|S 28|18 02 41.5|-23 35 02|      40|   1|        2|     1|    0|
|S 26|17 58 58.8|-23 19 34|      20|   3|        2|     1|    0|
|S 52|19 47 46.8|-23 05 13|       2|   2|        1|     2|    0|
|S 30|18 03 34.1|-23 00 54|      20|   3|        3|     3|    1|
|S  7|16 00 19.4|-22 57 04|     240|   3|        2|     1|    1|
|S313|12 53 31.4|-22 51 36|      12|   1|        2|     2|    0|
|S303|06 54 01.7|-22 25 30|      90|   2|        2|     2|    0|
|S 34|18 06 24.2|-21 39 29|      90|   3|        2|     2|    1|
|S 35|18 15 50.4|-20 15 07|      20|   3|        1|     2|    5|
|S 37|18 17 43.0|-19 39 50|      20|   3|        2|     2|    3|
|S309|07 32 06.0|-19 25 48|      12|   2|        1|     2|    0|
|S306|07 30 36.5|-19 06 36|      30|   3|        2|     1|    4|
|S307|07 35 31.9|-18 45 14|       6|   3|        2|     3|    0|
|S 39|18 16 46.3|-18 39 00|       3|   3|        1|     2|    0|
|S305|07 30 07.9|-18 31 30|       4|   3|        2|     3|    0|
|S301|07 09 48.7|-18 28 44|       9|   2|        2|     3|    0|
|S 38|18 08 45.4|-18 16 08|       3|   3|        2|     1|    0|
|S 41|18 15 51.4|-18 14 06|      90|   3|        2|     2|    6|
|S 40|18 12 02.2|-17 44 42|      15|   3|        2|     2|    0|
|S 43|18 16 25.2|-17 24 00|      15|   2|        1|     2|    0|
|S302|07 31 41.8|-16 58 44|      21|   2|        1|     2|    4|
|S 42|18 10 17.5|-16 48 54|       3|   3|        1|     2|    0|
|S 44|18 16 29.3|-16 44 02|      60|   3|        2|     2|    2|
|S 51|18 40 46.6|-16 33 29|      35|   3|        1|     1|    0|
|S 45|18 20 46.1|-16 10 23|      60|   3|        3|     3|    6|
|S 47|18 17 44.4|-15 36 50|       5|   1|        2|     2|    1|
|S300|07 31 03.4|-15 24 36|       3|   2|        1|     1|    0|
|S299|07 30 39.6|-15 17 35|       1|   3|        1|     1|    0|
|S 50|18 25 30.2|-14 42 43|      35|   3|        2|     2|    1|
|S 48|18 22 24.0|-14 35 10|      10|   3|        2|     2|    1|
|S 46|18 06 11.0|-14 09 32|      25|   2|        2|     2|    1|
|S 63|19 57 43.0|-14 06 58|      55|   3|        2|     1|    0|
|S 49|18 18 40.6|-13 57 43|      90|   3|        3|     3|   10|
|S 53|18 25 14.6|-13 13 44|      15|   3|        2|     2|    0|
|S298|07 18 37.9|-13 11 56|      22|   3|        3|     3|    1|
|S297|07 05 15.4|-12 20 02|       7|   3|        2|     3|    1|
|S 55|18 32 11.0|-11 45 43|       5|   3|        2|     1|    1|
|S 54|18 17 53.0|-11 43 48|     140|   3|        3|     3|    7|
|S295|07 02 41.3|-11 27 43|       8|   1|        1|     1|    1|
|S293|07 01 47.5|-11 18 32|      11|   1|        1|     2|    1|
|S296|07 05 48.0|-11 13 08|     200|   3|        2|     3|   10|
|S 27|16 37 12.2|-10 34 12|     480|   3|        2|     2|    1|
|S292|07 04 25.7|-10 26 56|      21|   3|        2|     3|    1|
|S 56|18 31 06.0|-09 42 54|       7|   1|        2|     1|    0|
|S294|07 16 34.3|-09 26 38|       7|   3|        2|     3|    0|
|S 57|18 30 33.4|-08 36 58|       2|   3|        2|     1|    1|
|S 58|18 31 27.1|-08 27 50|       8|   3|        2|     2|    0|
|S 23|16 13 24.5|-08 22 19|      50|   3|        2|     1|    0|
|S291|06 55 25.0|-08 01 41|       8|   2|        1|     2|    0|
|S 59|18 37 01.0|-07 36 00|      20|   3|        2|     1|    0|
|S289|06 45 56.4|-07 20 17|      11|   2|        1|     1|    1|
|S 24|16 11 03.6|-07 04 37|      30|   2|        1|     2|    0|
|S 60|18 36 41.0|-06 42 04|      20|   3|        2|     2|    0|
|S278|05 19 48.2|-05 39 50|      50|   3|        2|     2|    0|
|S281|05 34 54.5|-05 28 01|      60|   3|        2|     3|    3|
|S 61|18 32 55.0|-05 00 36|       2|   3|        2|     3|    0|
|S287|06 59 32.4|-04 48 14|      12|   3|        2|     2|    0|
|S279|05 35 20.2|-04 48 04|      20|   3|        2|     3|    1|
|S286|06 54 33.1|-04 30 32|       6|   2|        1|     1|    0|
|S288|07 08 33.6|-04 18 29|       1|   3|        2|     3|    0|
|S276|05 27 28.1|-03 57 54|    1200|   2|        2|     2|    0|
|S 62|18 27 34.3|-03 51 22|       4|   3|        1|     1|    0|
|S 65|18 46 58.1|-03 44 35|       7|   3|        2|     2|    0|
|S277|05 40 43.4|-02 26 49|     120|   3|        2|     3|    1|
|S 67|18 49 24.7|-02 21 14|      10|   2|        1|     1|    0|
|S 66|18 45 30.0|-01 59 46|       8|   3|        2|     2|    0|
|S 64|18 31 35.8|-01 54 47|      25|   3|        2|     2|    0|
|S 33|15 59 52.3|-01 37 01|      35|   3|        2|     1|    0|
|S285|06 55 12.2|-00 30 36|       1|   1|        2|     3|    0|
|S 69|18 44 25.9|-00 16 55|      20|   2|        2|     2|    1|
|S284|06 45 01.9|+00 13 52|      80|   2|        2|     2|    0|
|S 36|16 05 30.2|+00 23 38|      45|   1|        2|     1|    0|
|S283|06 38 39.1|+00 42 47|       3|   3|        1|     1|    0|
|S 68|18 25 11.3|+00 51 18|       8|   3|        2|     2|    0|
|S 77|19 48 17.0|+01 08 53|       8|   2|        1|     1|    0|
|S282|06 37 59.0|+01 30 50|      35|   3|        2|     2|    1|
|S 71|19 02 02.4|+02 09 36|       3|   2|        2|     3|    0|
|S 72|19 03 50.2|+02 18 50|      25|   3|        2|     2|    0|
|S280|06 34 19.2|+02 32 24|      40|   3|        2|     2|    4|
|S245|04 02 33.4|+04 07 41|     720|   3|        2|     2|    2|
|S275|06 31 42.7|+04 55 48|     100|   1|        2|     3|    9|
|S 74|19 08 49.0|+05 36 32|       3|   3|        2|     2|    0|
|S260|04 55 07.7|+05 39 43|      22|   3|        3|     1|    0|
|S251|04 32 49.7|+05 51 47|      35|   3|        3|     1|    0|
|S262|05 06 45.1|+06 10 05|      20|   3|        2|     1|    0|
|S 70|18 14 38.6|+07 03 47|       5|   3|        1|     2|    0|
|S 75|18 59 15.4|+07 07 12|      10|   1|        2|     1|    0|
|S250|04 40 11.3|+07 21 47|      10|   3|        2|     1|    0|
|S265|05 18 36.2|+07 26 24|      70|   3|        2|     2|    0|
|S 76|18 56 25.4|+07 48 47|       7|   1|        2|     1|    0|
|S263|05 21 44.6|+08 23 56|      22|   2|        2|     2|    1|
|S290|08 54 10.8|+08 55 16|      17|   2|        2|     2|    0|
|S273|06 40 48.2|+09 54 29|     250|   3|        2|     3|   11|
|S264|05 35 12.5|+09 55 59|     390|   1|        1|     2|    9|
|S 81|20 01 13.2|+11 47 35|      10|   3|        1|     1|    0|
|S272|06 15 00.5|+12 20 13|       1|   2|        1|     2|    0|
|S271|06 14 54.5|+12 21 14|       2|   1|        2|     3|    0|
|S270|06 10 13.7|+12 48 54|       1|   3|        2|     3|    0|
|S274|07 29 07.0|+13 15 43|       8|   3|        3|     3|    0|
