CONST;STAR;SAO#;RA2K_H;RA2K_M;RA2K_S;DEC2K_SIGN;DEC2K_D;DEC2K_M;DEC2K_S;VARTYPE;MagMax;MagMin;PERIOD_Days;DESCRIPTION
Andromeda;SU And;;0;4;36,4;+;43;33;5;LC;8;8,5;;Red Carbon Star
Andromeda;VX And;;0;19;54;+;44;42;34;SRA;7,8;9,3;369;Red Carbon Star
Andromeda;Z And, The Original Symbiotic Variable;;23;33;40;+;48;49;6;ZAND;8;12,4;;Symbiotic Variable, a binary where the secondary is pulling material from the outer envelope of the primary.
Andromeda;R And;53860;0;24;1,9;+;38;34;37;M;5,8;14,9;409,33;Pulsating Mira-type red giant
Andromeda;AQ And;;0;27;31,7;+;35;35;15;SR;9,9;11,8;346;
Aquarius;RY Aqr;;21;20;16;-;10;48;8;EA/SD:;8,8;10,1;1,966594;Eclipsing binary
Aquarius;R Aqr;165849;23;43;49,5;-;15;17;4;M;5,8;12,4;386,96;Pulsating (Mira-type) red giant.  A spectroscopic binary - companion is a variable subdwarf.  Thus the system as a whole has irregular variability.
Aquila;V Aql;142985;19;4;24,2;-;5;41;5;SRB;6,6;8,4;353;Red Carbon Star
Aquila;R Aql;124266;19;6;22,3;+;8;13;48;M;5,5;12;284,2;"Mira-type pulsating red giant.  The variability is a bit of an optical illusion - its light output is shifting from visible to infrared as it cools; the actual energy output is only dropping one magnitude.  At minimum its temperature has dropped from 2350°K to 1890°K; one of the coolest stars known."
Aquila;Eta Aql;125159;19;52;28,4;+;1;0;20;DCEP;3,48;4,39;7,176641;One of the brightest Cepheid variables.
Auriga;Epsilon Aur;39955;5;1;58,1;+;43;49;24;EA/GS;2,92;3,83;9892;"White supergiant eclipsing binary.  Every 27 years the companion eclipses the primary for about a year, dropping the magnitude to 3.8; the next eclipse is due in 2009.  The companion has never been seen, and seems to be a star surrounded by a shell of obscuring dust."
Auriga;Zeta Aur;39966;5;2;28,7;+;41;4;33;EA/GS;3,7;3,97;972,16;Orange giant eclipsing binary.
Auriga;TX Aur;;5;9;5,5;+;39;0;8;LB;8,5;9,2;;"Red Carbon Star; near SAO 57755.  "
Auriga;UV Aur;;5;21;48,9;+;32;30;43;M;7,4;10,6;394,42;Red Carbon Star
Auriga;UU Aur;;6;36;32,8;+;38;26;44;SRB;7,83;10;234;Red Carbon Star
Camelopardalis;U Cam;;3;41;48,2;+;62;38;54;SRB;11;12,8;;
Camelopardalis;ST Cam;;4;51;13,3;+;68;10;8;SRB;9,2;12;300;Red Carbon Star
Cancer;X Cnc;98230;8;55;22,9;+;17;13;53;SRB;5,6;7,5;195;
Canes Venatici;Y CVn, La Superba;44317;12;45;7,8;+;45;26;25;SRB;7,4;10;157;"Red Carbon Star.  Named ""La Superba"" by the 19th century astronomer Pietro Secchi.  An enormous star whose diameter is 1 billion miles (outside the orbit of Saturn)!"
Canis Major;W CMa;152427;7;8;3,4;-;11;55;24;LB;6,35;7,9;;Red Carbon Star
Capricornus;RT Cap;;20;17;6,5;-;21;19;4;SRB;8,9;11,7;393;Red Carbon Star
Cassiopeia;ST Cas;;0;17;32,1;+;50;17;14;SR;11,6;12,4;;Red Carbon Star, actually mag 9 at maximum.
Cassiopeia;RZ Cas;12445;2;48;55,5;+;69;38;3;EA/SD;6,18;7,72;1,195247;Eclipsing binary: varies from mag 6.2 to 7.7 in a single 4-hour period every 1.19 days - variation should be visible in one evening.
Cassiopeia;R Cas;35938;23;58;24,9;+;51;23;20;M;4,7;13,5;430,46;Long-period Mira-type variable (pulsating cool red giant).  Variability occurs as its light output shifts to infrared.
Centaurus;T Cen;204739;13;41;45,6;-;33;35;51;SRA;5,5;9;90,44;
Cepheus;U Cep;;1;2;18,4;+;81;52;32;EA/SD;6,75;9,24;2,4930475;Eclipsing binary.
Cepheus;T Cep;19229;21;9;31,8;+;68;29;27;M;5,2;11,3;388,14;Red giant Mira-type variable.
Cepheus;S Cep;10100;21;35;12,8;+;78;37;28;M;7,4;12,9;486,84;"One of the reddest stars in the sky.  Mira-type pulsating red giant; first observed by Lelande in 1789."
Cepheus;VV Cep;19753;21;56;39,1;+;63;37;32;EA/GS+SRC;4,8;5,36;7430;A semi-regular variable red supergiant.  Also an eclipsing binary, being eclipsed by a smaller blue companion - this period is 20 years but the magnitude variation due to the eclipse is slight.  The primary may be the largest star in the sky, with a diameter of 1621 times the Sun, which is outside the orbit of Saturn!
Cepheus;MU Cep, Herschel's Garnet Star;33693;22;23;38,6;+;57;40;51;CEP;12,7;14,1;3,76782;"Supergiant star and one of the reddest naked-eye stars in the sky; Mars' North Star.  Irregular variable; perhaps a billion miles in diameter; thus its outer atmosphere is cool enough to contain water vapor as steam!"
