Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,503398-1892,MOLEX_503398-1892,157.940000,-106.610000,90.000000,top
D14,LED,LED_1210_3225Metric,211.448850,-100.845883,0.000000,top
L4,2.2uH,L_Coilcraft_XAL4020-XXX,190.010000,-119.525000,-90.000000,top
R6,180R,R_0402_1005Metric,173.360000,-107.930000,-90.000000,top
R26,1k,R_0402_1005Metric,200.570000,-119.145000,-90.000000,top
C29,22uF,C_0805_2012Metric,180.870000,-118.140000,-90.000000,top
R19,5.1k,R_0402_1005Metric,184.130000,-51.025000,90.000000,top
U5,RT9742CGJ5,TSOT-23-5,187.690000,-102.030000,90.000000,top
D12,LED,LED_1210_3225Metric,223.448850,-76.865883,0.000000,top
C47,47nF,C_0603_1608Metric,180.240000,-109.440000,90.000000,top
D20,LED,LED_1210_3225Metric,211.140000,-111.400000,180.000000,top
U1,TPS61088RHLR,RHL0020A,190.095000,-113.335000,0.000000,top
SW0,SW_Push,SW_Push_6x6mm_SMT_withhole_tight,211.428850,-95.845883,0.000000,top
C28,22uF,C_0805_2012Metric,178.520000,-118.140000,-90.000000,top
R5,680,R_0402_1005Metric,209.780000,-108.930000,180.000000,top
SW_PLUS1,SW_Push,SW_Push_6x6mm_SMT_withhole_tight,238.466588,-59.835883,0.000000,top
SW5,SW_Push,SW_Push_6x6mm_SMT_withhole_tight,211.428850,-71.845883,0.000000,top
Q1,Q_NPN_EBC,PF_SOT-23-NPN,217.460000,-66.020000,180.000000,top
D3,LED,LED_1210_3225Metric,223.498850,-88.845883,0.000000,top
C46,5.6nF,C_0603_1608Metric,186.470000,-109.700000,90.000000,top
C35,100nF,C_0603_1608Metric,190.870000,-100.870000,0.000000,top
R21,5.1k,R_0402_1005Metric,165.730000,-51.000000,90.000000,top
R18,5.1k,R_0402_1005Metric,185.130000,-51.027500,90.000000,top
SW3,SW_Push,SW_Push_6x6mm_SMT_withhole_tight,223.428850,-83.845883,0.000000,top
D8,LED,LED_1210_3225Metric,238.486588,-64.765883,0.000000,top
C43,22uF,C_0805_2012Metric,191.500000,-104.770000,180.000000,top
D18,LED,LED_1210_3225Metric,229.700000,-112.310000,180.000000,top
SW1,SW_Push,SW_Push_6x6mm_SMT_withhole_tight,199.428850,-83.845883,0.000000,top
C54,2.2uF,C_0603_1608Metric,186.550000,-113.820000,-90.000000,top
BZ1,MLT-5020,MagneticBuzzer_HuaWha_MLT-5020,203.000000,-111.000000,0.000000,top
SW8,SW_Push,SW_Push_6x6mm_SMT_withhole_tight,211.428850,-59.835883,0.000000,top
C51,100nf,C_0603_1608Metric,191.000000,-116.150000,180.000000,top
C52,10uf,C_0805_2012Metric,194.300000,-120.740000,180.000000,top
U9,BQ25895RTW,Texas_RTW_WQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias,176.692000,-108.365750,-90.000000,top
D9,LED,LED_1210_3225Metric,238.486588,-76.845883,0.000000,top
R7,10k,R_0402_1005Metric,182.090000,-110.590000,180.000000,top
C27,10uF,C_0805_2012Metric,158.800000,-116.270000,90.000000,top
R34,680,R_0402_1005Metric,231.050000,-109.780000,90.000000,top
R16,22,R_0402_1005Metric,193.300000,-94.760000,0.000000,top
SW9,SW_Push,SW_Push_6x6mm_SMT_withhole_tight,223.428850,-59.835883,0.000000,top
D5,LED,LED_1210_3225Metric,199.423850,-64.835883,0.000000,top
SW7,SW_Push,SW_Push_6x6mm_SMT_withhole_tight,199.428850,-59.835883,0.000000,top
R20,5.1k,R_0402_1005Metric,166.740000,-51.000000,90.000000,top
SW2,SW_Push,SW_Push_6x6mm_SMT_withhole_tight,211.428850,-83.845883,0.000000,top
C33,10uF,C_0805_2012Metric,192.390000,-98.100000,0.000000,top
D1,LED,LED_1210_3225Metric,199.423850,-88.845883,0.000000,top
R36,182k 1%,R_0402_1005Metric,189.600000,-110.670000,180.000000,top
D6,LED,LED_1210_3225Metric,211.448850,-76.795883,0.000000,top
C53,1uF,C_0603_1608Metric,194.080000,-116.060000,180.000000,top
Q2,AO3400A,SOT-23,203.050000,-118.737500,270.000000,top
D7,LED,LED_1210_3225Metric,223.448850,-64.845883,0.000000,top
C45,22uF,C_0805_2012Metric,191.470000,-106.910000,180.000000,top
SW_MINUS1,SW_Push,SW_Push_6x6mm_SMT_withhole_tight,238.466588,-71.845883,0.000000,top
C21,10uF,C_0603_1608Metric,234.845000,-54.225000,90.000000,top
R14,12k,R_0402_1005Metric,164.760000,-118.650000,-90.000000,top
SW10,SW_PWR,SW_Push_6x6mm_SMT_withhole_tight,238.466588,-112.445883,0.000000,top
C42,47uF,C_1206_3216Metric,181.440000,-106.300000,0.000000,top
D2,LED,LED_1210_3225Metric,211.448850,-88.845883,0.000000,top
SW_5WAY1,MU-AS90R,MUAS70R,230.926588,-98.145883,0.000000,top
C22,100nF,C_0603_1608Metric,236.450000,-54.220000,90.000000,top
C34,100nF,C_0603_1608Metric,162.320000,-115.370000,0.000000,top
R39,150k 1%,R_0402_1005Metric,186.730000,-111.680000,0.000000,top
SW4,SW_Push,SW_Push_6x6mm_SMT_withhole_tight,199.428850,-71.845883,0.000000,top
C40,1uF,C_0603_1608Metric,179.570000,-103.120000,0.000000,top
R37,56k 1%,R_0402_1005Metric,189.150000,-109.150000,90.000000,top
R40,270k 1%,R_0402_1005Metric,188.520000,-116.180000,0.000000,top
C44,22uF,C_0805_2012Metric,191.470000,-109.090000,180.000000,top
R32,10k,R_0402_1005Metric,199.400000,-119.155000,-90.000000,top
C50,47nF,C_0603_1608Metric,194.250000,-114.530000,180.000000,top
D10,LED,LED_1210_3225Metric,238.686250,-89.020883,0.000000,top
R8,10k,R_0402_1005Metric,172.430000,-110.290000,180.000000,top
U4,RT9742CGJ5,TSOT-23-5,161.970000,-118.207500,180.000000,top
D4,LED,LED_1210_3225Metric,199.423850,-76.845883,0.000000,top
R17,330,R_0402_1005Metric,217.220000,-63.940000,-90.000000,top
R10,100k,R_0402_1005Metric,186.780000,-120.180000,-90.000000,top
D11,LED,LED_1210_3225Metric,211.448850,-64.845883,0.000000,top
SW_SQUARE1,SW_Push,SW_Push_6x6mm_SMT_withhole_tight,238.466588,-83.845883,0.000000,top
C49,4.7uF,C_0603_1608Metric,182.710000,-108.100000,0.000000,top
R38,11k,R_0402_1005Metric,188.060000,-110.130000,-90.000000,top
C48,10uF,C_0603_1608Metric,174.690000,-112.990000,180.000000,top
L2,2.2uH,L_Coilcraft_XAL4020-XXX,179.840000,-113.940000,180.000000,top
SW6,SW_Push,SW_Push_6x6mm_SMT_withhole_tight,223.428850,-71.845883,0.000000,top
R15,100k,R_0402_1005Metric,199.580000,-116.318699,-90.000000,bottom
C2,100nF,C_0603_1608Metric,232.800000,-54.970000,90.000000,bottom
R24,50,R_0603_1608Metric,168.700000,-86.640000,0.000000,bottom
D16,D,D_SOD-123,167.130000,-89.812500,-90.000000,bottom
R1,73.2k,R_0402_1005Metric,181.550000,-71.270000,90.000000,bottom
C31,15nf,C_0402_1005Metric,178.820000,-71.790000,0.000000,bottom
U3,LTC2954ITS8-1#TRPBF,TSOT-23_TS8_LIT,197.870000,-113.818699,90.000000,bottom
J6,JST 6pin connector - SM06B-SRSS-TB,JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,175.390000,-54.160000,270.000000,bottom
C26,4.7uF,CP_Elec_4x5.4,161.660000,-60.600000,90.000000,bottom
D17,LED,LED_1210_3225Metric,235.890000,-51.760000,90.000000,bottom
R31,33,R_0402_1005Metric,180.680000,-57.790000,180.000000,bottom
R29,22,R_0402_1005Metric,219.890000,-63.660000,-90.000000,bottom
C15,4.7uF,C_1206_3216Metric,169.870000,-84.700000,0.000000,bottom
FB1,120Ω@100MHz,L_1206_3216Metric,165.560000,-59.750000,-90.000000,bottom
U2,BNO055,LGA-28_5.2x3.8mm_P0.5mm,203.820000,-106.330000,270.000000,bottom
R23,100k,R_0402_1005Metric,198.400000,-110.500000,-90.000000,bottom
J7,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,165.980000,-51.825000,180.000000,bottom
R11,10k,R_0402_1005Metric,184.282500,-71.250000,-90.000000,bottom
C4,100nF,C_0603_1608Metric,185.400000,-68.380000,90.000000,bottom
R12,10k,R_0402_1005Metric,203.060000,-109.140000,0.000000,bottom
M1,CM4102008,MODULE_CM4102008,222.500000,-94.060000,0.000000,bottom
M2,CM4102008,MODULE_CM4102008,222.500000,-60.060000,0.000000,bottom
C24,10nF,C_0402_1005Metric,170.900000,-58.820000,-90.000000,bottom
R13,10k,R_0402_1005Metric,207.890000,-106.800000,180.000000,bottom
C16,4.7uF,C_1206_3216Metric,171.360000,-80.550000,-90.000000,bottom
C30,100nF,C_0603_1608Metric,199.690000,-108.980000,90.000000,bottom
J5,~,TE_3-1734592-0,164.700000,-76.400000,90.000000,bottom
C14,100nF,C_0603_1608Metric,208.440000,-105.530000,0.000000,bottom
C5,10uf,C_0805_2012Metric,186.580000,-71.140000,180.000000,bottom
C17,100nF,C_0603_1608Metric,175.150000,-73.775000,180.000000,bottom
D21,SS210,D_SMA,179.930000,-64.400000,180.000000,bottom
R2,49.9k,R_0402_1005Metric,177.620000,-67.200000,-90.000000,bottom
R25,1.8M,R_0402_1005Metric,167.340000,-80.400000,0.000000,bottom
D19,SMAJ5.0A,D_SMA,168.610000,-60.900000,-90.000000,bottom
R27,22,R_0402_1005Metric,218.830000,-56.020000,180.000000,bottom
C9,100nf,C_0603_1608Metric,179.090000,-67.730000,-90.000000,bottom
C3,1uF,C_0603_1608Metric,185.860000,-65.480000,180.000000,bottom
R35,5.1,R_0402_1005Metric,183.995000,-67.245000,-90.000000,bottom
C23,100nF,C_0603_1608Metric,195.000000,-112.248699,-90.000000,bottom
R4,4.7k,R_0402_1005Metric,198.120000,-104.138000,-90.000000,bottom
C7,10uF,C_1206_3216Metric,174.670000,-69.860000,0.000000,bottom
Y1,32.768kHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,203.875000,-102.730000,0.000000,bottom
R22,6.04k,R_0402_1005Metric,180.260000,-71.290000,-90.000000,bottom
C13,22pF,C_0402_1005Metric,206.450000,-102.490000,-90.000000,bottom
C20,1uF,C_0603_1608Metric,168.420000,-82.170000,0.000000,bottom
R3,3.09k,R_0402_1005Metric,177.630000,-69.240000,-90.000000,bottom
C55,100nf,C_0603_1608Metric,196.850000,-117.620000,90.000000,bottom
R33,680,R_0402_1005Metric,233.610000,-52.540000,-90.000000,bottom
R9,44.2k,R_0402_1005Metric,182.710000,-71.280000,-90.000000,bottom
R28,22,R_0402_1005Metric,221.100000,-63.660000,-90.000000,bottom
C11,1uF,C_0603_1608Metric,205.530000,-109.390000,0.000000,bottom
C1,10uF,C_0805_2012Metric,229.250000,-50.915000,90.000000,bottom
J8,FH12-22S-0.5SH55,CONN_FH12-22S-0.5SH55_HIR,213.749999,-116.100399,360.000000,bottom
R46,4.7k,R_0402_1005Metric,198.120000,-106.428000,90.000000,bottom
L1,22uH,L_Wurth_WE-LQSH-3012,188.057500,-68.225000,90.000000,bottom
C18,1uF,C_0603_1608Metric,177.900000,-74.825000,90.000000,bottom
C10,220pF,C_0402_1005Metric,178.820000,-70.790000,0.000000,bottom
R30,33,R_0402_1005Metric,180.740000,-59.110000,180.000000,bottom
J2,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,184.370000,-51.800000,180.000000,bottom
C8,100nF,C_0603_1608Metric,175.155000,-72.170000,0.000000,bottom
C6,10uF,C_1206_3216Metric,174.680000,-67.450000,0.000000,bottom
D15,D,D_SOD-123,169.610000,-89.800000,90.000000,bottom
J4,Battery,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,172.470000,-117.570000,180.000000,bottom
C12,22pF,C_0402_1005Metric,201.300000,-102.490000,-90.000000,bottom
C19,100nF,C_0603_1608Metric,179.430000,-74.820000,90.000000,bottom
C32,1uF,C_0603_1608Metric,201.520000,-114.538699,180.000000,bottom
C25,100nF,C_0603_1608Metric,165.270000,-63.755000,-90.000000,bottom
U8,LM51571RTER,LM51571,181.807500,-68.175000,0.000000,bottom
U7,USBLC6-2SC6,SOT-23-6,187.800000,-58.600000,90.000000,bottom
